second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,134,126,126,0,0,0,0,126,15,55488,55450,5216,472,43.32,545976320
1,187,125,125,0,0,0,0,125,70,55776,55737,5350,463,28.74,546258944
2,213,194,204,0,0,0,0,204,136,55860,55770,5215,604,48.38,422285312
3,188,204,194,0,0,0,0,194,98,0,0,0,0,0,0
4,335,153,153,0,0,0,0,153,255,55606,55455,4714,631,54.87,428388352
5,130,195,195,0,0,0,0,195,313,56004,55785,8759,963,48.81,408272896
6,269,97,125,0,0,0,0,125,425,0,0,0,0,0,0
7,205,57,42,0,0,0,0,42,526,56759,56280,10735,1294,57.61,451694592
8,94,149,139,0,0,0,0,139,512,0,0,0,0,0,0
9,262,66,63,0,0,0,0,63,651,56854,56396,11475,1562,71.05,471625728
10,298,0,0,0,0,0,0,0,949,0,0,0,0,0,0
11,160,208,208,0,0,0,0,208,951,0,0,0,0,0,0
12,298,2,0,0,0,0,2,0,1197,0,0,0,0,0,0
13,42,218,220,0,0,0,2,220,1185,56627,55421,19059,2579,51.53,538214400
14,239,188,183,0,0,0,1,183,1072,0,0,0,0,0,0
15,75,62,36,0,0,0,26,36,1147,0,0,0,0,0,0
16,167,206,206,0,0,0,0,206,1046,0,0,0,0,0,0
17,163,99,97,0,0,0,3,97,1206,56793,55636,17860,2393,57.14,568741888
18,13,256,256,0,0,0,0,256,1107,0,0,0,0,0,0
19,26,300,298,0,0,0,1,298,823,56411,55617,11786,1635,53.76,550109184
20,18,215,209,0,0,0,7,209,401,0,0,0,0,0,0
21,257,290,289,0,0,0,0,289,363,0,0,0,0,0,0
22,335,0,0,0,0,0,0,0,698,0,0,0,0,0,0
23,391,0,0,0,0,0,0,0,1089,0,0,0,0,0,0
24,212,86,86,0,0,0,0,86,1215,56636,55533,18052,2532,53.24,520155136
25,56,26,26,0,0,0,0,26,1248,56659,55232,20172,2576,50.69,555577344
26,66,343,358,0,0,0,0,358,1242,0,0,0,0,0,0
27,22,268,275,0,0,0,6,275,956,0,0,0,0,0,0
28,40,236,233,0,0,0,5,233,709,0,0,0,0,0,0
29,447,85,55,0,0,0,0,55,888,0,0,0,0,0,0
30,164,9,29,0,0,0,1,29,1052,56679,55663,16910,2391,54.03,568426496
31,36,280,256,0,0,0,3,256,1018,0,0,0,0,0,0
32,331,33,33,0,0,0,0,33,1097,0,0,0,0,0,0
33,221,0,0,0,0,0,0,0,1318,0,0,0,0,0,0
34,123,182,178,0,0,0,4,178,1311,0,0,0,0,0,0
35,436,13,0,0,0,0,19,0,1682,0,0,0,0,0,0
36,337,9,0,0,0,0,3,0,2010,0,0,0,0,0,0
37,289,85,0,0,0,0,87,0,2214,0,0,0,0,0,0
38,12,278,190,0,0,0,89,190,2221,57021,54988,30715,4187,55.83,677818368
39,1,316,244,0,0,0,73,244,1654,0,0,0,0,0,0
40,293,50,32,0,0,0,32,32,1876,0,0,0,0,0,0
41,76,57,10,0,0,0,29,10,1903,0,0,0,0,0,0
42,224,133,115,0,0,0,18,115,1986,0,0,0,0,0,0
43,229,0,0,0,0,0,2,0,2215,0,0,0,0,0,0
44,22,271,263,0,0,0,6,263,2112,0,0,0,0,0,0
45,9,270,191,0,0,0,79,191,1964,56669,54958,28762,3720,58.29,770363392
46,18,267,223,0,0,0,44,223,1710,0,0,0,0,0,0
47,26,387,323,0,0,0,64,323,1467,0,0,0,0,0,0
48,157,361,232,0,0,0,144,232,1089,0,0,0,0,0,0
49,440,26,0,0,0,0,11,0,1305,0,0,0,0,0,0
50,303,65,16,0,0,0,49,16,1543,0,0,0,0,0,0
51,402,8,0,0,0,0,8,0,1937,0,0,0,0,0,0
52,162,50,35,0,0,0,15,35,2090,0,0,0,0,0,0
