second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,74,0,0,0,0,0,0,0,74,1866,1850,500,29,5.62,82726912
2,337,0,241,0,0,0,0,241,411,1650,1580,1576,227,3.65,111075328
3,80,0,250,0,0,0,0,250,491,2065,1306,8128,1318,41.82,216240128
4,104,239,55,239,239,239,0,772,356,2052,1054,9760,1557,23.73,256413696
5,282,252,304,252,252,252,0,1060,386,1991,1398,7718,1288,19.39,256479232
6,414,35,194,49,39,35,0,317,777,2352,1484,10292,1895,45.96,291717120
7,236,265,345,254,261,265,0,1125,764,2619,1185,15724,2786,39.57,360226816
8,59,252,197,250,253,253,0,953,752,3185,1990,17640,2868,40.96,407232512
9,31,346,31,345,345,345,0,1066,570,3258,2553,12963,2410,10.58,363859968
10,0,197,0,197,197,197,0,591,0,3258,3154,10598,1816,6.92,327540736
11,43,31,0,31,31,31,0,93,43,3258,3242,10251,1728,0.38,316055552
12,321,0,333,0,0,0,0,333,364,3837,3242,15480,2625,22.79,357146624
13,376,0,134,0,0,0,0,134,740,4364,3242,18145,3856,36.45,398729216
14,0,315,273,330,316,316,0,1235,0,4738,3548,18550,3761,23.55,439324672
15,8,146,0,134,145,145,0,424,287,4738,4110,16303,3199,4.98,414740480
16,423,279,202,276,279,279,0,1036,431,5242,4722,20116,3702,31.21,431165440
17,407,0,269,0,0,0,0,269,838,5960,4722,27266,4905,34.32,514830336
18,282,78,223,86,84,78,0,471,1057,6578,4872,27503,5668,39.66,567848960
19,302,149,158,145,143,149,0,595,1198,0,0,0,0,0,0
20,265,269,330,265,269,269,0,1133,1199,7272,5188,30787,6352,33.07,611999744
21,0,356,316,356,356,356,0,1384,0,7855,5764,32811,6450,34.44,646688768
22,15,330,204,330,330,330,0,1194,580,8142,6968,29212,5414,28.55,649437184
23,91,306,15,307,305,305,1,932,305,8142,7588,26613,4769,5.08,625487872
24,209,214,254,213,214,214,0,895,306,8498,8126,17679,4867,27.26,588124160
25,106,15,137,15,15,15,0,182,406,8954,8126,21606,5517,23.78,524910592
26,234,223,199,254,233,224,0,910,428,9313,8500,23579,5717,20.12,535846912
27,262,168,278,137,158,167,0,740,496,9883,8936,25019,6161,33.7,542232576
28,217,189,214,199,191,189,0,793,603,10359,9314,27514,6434,27.08,577900544
29,244,231,204,267,257,232,0,960,572,0,0,0,0,0,0
30,270,271,282,225,243,270,0,1020,536,10924,9953,26929,6767,31.33,571850752
31,365,95,141,198,178,96,0,613,811,11577,10411,30422,7182,34.89,617639936
32,134,337,301,237,255,336,0,1129,782,12274,11105,30588,7644,31.87,631107584
33,240,195,322,192,194,195,0,903,771,0,0,0,0,0,0
34,248,301,245,301,300,300,1,1146,758,12787,11471,33615,7946,30.84,649584640
35,293,160,238,164,160,160,0,722,740,12536,11189,37171,8393,35.53,700968960
36,211,308,181,308,312,308,0,1109,729,12960,11799,39525,8505,37.06,737886208
37,338,220,22,225,220,221,0,688,928,12787,11401,37810,9555,31.33,751837184
38,383,86,0,78,83,85,0,246,1106,13159,11588,41985,10232,28.82,784941056
39,260,99,236,101,100,99,0,536,1241,0,0,0,0,0,0
40,0,135,480,132,133,135,0,880,0,12732,10953,42704,10546,32.46,856412160
41,0,236,349,236,235,235,1,1055,0,0,0,0,0,0,0
42,65,479,72,479,479,479,0,1509,822,13162,11601,41240,10033,28.74,855932928
43,24,350,0,350,350,350,0,1050,96,13241,12385,38445,9306,10.56,840003584
44,6,72,30,72,72,72,0,246,102,12525,12449,35569,8556,12.95,784498688
46,0,30,0,30,30,30,0,90,0,11824,11807,35331,8496,1.12,783765504
48,223,0,170,0,0,0,0,170,223,11699,11433,37791,8952,18.03,804462592
49,326,0,228,0,0,0,0,228,549,12273,11341,44717,10166,32.69,868343808
50,113,170,248,170,170,170,0,758,662,0,0,0,0,0,0
51,105,228,62,228,228,228,0,746,523,12165,11141,37453,10122,31.7,872374272
52,76,218,72,218,218,218,0,726,375,11018,10263,35631,10017,17.3,881520640
53,226,81,252,81,81,81,0,495,372,10267,9827,35225,9926,23.68,882696192
54,320,83,186,83,83,83,0,435,609,10811,9963,37946,10656,29.99,899289088
55,197,234,273,234,234,234,0,975,612,11265,10220,40724,11072,43.8,909307904
56,302,204,2,204,204,204,0,614,792,11263,10222,43358,11770,32.32,937115648
57,62,252,420,255,255,255,0,1185,689,0,0,0,0,0,0
58,258,23,245,20,20,20,0,305,715,11596,10573,40762,11529,32.16,871604224
59,301,114,108,114,114,114,0,450,902,0,0,0,0,0,0
60,112,551,303,551,551,551,0,1956,515,11367,9905,45170,12157,35.23,901890048
61,36,108,87,108,108,108,0,411,471,11115,10318,45364,11929,34.57,943140864
62,125,296,102,303,298,296,0,999,474,10803,9875,40633,11468,14.89,935247872
63,51,94,75,87,92,94,0,348,250,10517,10146,40286,11189,12.71,918212608
64,194,82,160,100,90,86,0,436,292,0,0,0,0,0,0
65,348,95,103,77,87,91,0,358,542,10416,9862,40195,11476,29.01,919560192
66,336,34,4,34,34,34,0,106,844,10077,9114,45616,12464,28.42,951017472
67,221,65,39,65,65,65,0,234,1051,0,0,0,0,0,0
68,31,168,451,168,168,168,0,955,907,10184,8880,48287,12549,31.95,962060288
69,130,20,243,20,20,20,0,303,973,10477,8696,48711,12922,29.16,969580544
70,333,62,128,63,63,63,0,317,1244,0,0,0,0,0,0
71,40,528,13,529,528,527,0,1597,1226,10111,8378,51126,13142,38.16,1008791552
72,90,251,537,249,250,251,0,1287,757,9895,8798,49240,12241,34.93,1014489088
73,236,13,90,13,13,13,0,129,818,0,0,0,0,0,0
74,129,375,168,513,437,375,0,1493,916,9724,8074,46970,12547,28.26,1029279744
75,205,228,314,114,190,244,0,862,561,10204,9132,47291,12314,31.34,1025683456
76,170,192,158,168,168,176,0,670,569,0,0,0,0,0,0
77,179,297,201,297,297,297,0,1092,553,10605,9542,45023,12019,44.8,1018576896
78,265,134,105,143,140,135,0,523,540,11050,10248,41924,11503,39.03,987525120
79,342,68,0,65,68,73,0,206,831,0,0,0,0,0,0
80,311,209,85,203,203,203,0,694,916,11182,10354,45108,12114,28.95,1009475584
81,29,35,318,35,35,35,0,423,927,11547,10140,46968,12716,26.85,1022566400
82,0,120,472,120,120,120,0,832,0,11532,9768,47567,12636,35.61,1056669696
83,0,236,0,316,256,241,0,813,0,0,0,0,0,0,0
84,0,451,0,396,432,446,0,1274,0,11376,10436,44099,11552,10.06,1037737984
85,0,103,0,78,102,103,0,283,0,11280,11266,40556,10531,8.3,982278144
88,72,0,6,0,0,0,0,6,72,9876,9862,40558,9860,1.55,973348864
