second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,41,0,0,0,0,0,0,0,41,32,10,491,28,3.89,77541376
2,394,0,265,0,0,0,0,265,435,77,10,1100,132,3.7,94003200
3,56,0,226,0,0,0,0,226,491,729,10,8103,1342,47.37,210939904
4,97,265,60,265,265,265,0,855,323,1014,16,9541,1528,27.11,242704384
5,356,226,242,226,226,226,0,920,453,1194,540,9268,1316,20.18,248586240
6,338,0,62,0,0,0,0,62,791,1822,992,11180,2120,40.01,318341120
7,196,279,451,284,279,279,0,1293,871,2760,1224,18529,3240,42.56,408887296
8,136,85,280,80,85,85,0,530,769,3201,1644,18904,3302,45,416505856
9,3,451,31,451,451,451,0,1384,762,3268,2405,16402,2635,20.97,409477120
10,0,280,0,280,280,280,0,840,0,3267,3181,13287,1857,5.78,360816640
11,56,31,6,31,31,31,0,99,56,3267,3245,13039,1795,1.15,354193408
12,316,0,337,0,0,0,0,337,372,3843,3245,11641,2680,32.23,392548352
13,334,0,324,0,0,0,0,324,706,4546,3245,18078,3756,35.58,409444352
14,34,329,73,329,329,329,0,1060,715,4747,3793,17432,3452,13.38,384516096
15,0,338,0,338,338,338,0,1014,0,4746,4520,14499,2717,8.73,355553280
16,422,73,265,73,73,73,0,484,422,5385,4724,20586,3714,31.53,424972288
17,616,0,0,0,0,0,0,0,1038,0,0,0,0,0,0
18,93,126,219,132,132,132,0,615,1087,6182,4804,26920,5785,34.58,528642048
19,144,139,607,133,133,133,0,1006,1018,6992,5168,27620,5583,35.97,566693888
20,412,184,83,186,186,185,0,640,1401,7399,5288,32603,6790,30.92,613220352
21,0,453,512,559,524,454,0,2049,0,8008,5734,33283,6601,35.16,643473408
22,15,272,16,164,199,270,0,649,590,8150,6949,28993,5493,13.06,632229888
23,54,441,16,509,466,452,0,1443,143,8150,7933,25019,4508,11.18,581918720
24,352,87,161,19,62,76,0,318,413,8732,8128,25393,5532,30.96,600748032
25,0,16,229,16,16,16,0,277,0,0,0,0,0,0,0
26,237,161,202,161,161,161,0,685,480,8961,8160,21054,5402,11.61,539762688
27,293,229,280,229,229,229,0,967,556,9520,8488,25388,6031,32.66,573915136
28,217,163,209,202,167,166,0,744,663,10201,8940,26766,6606,37.05,568250368
29,266,306,270,275,310,305,0,1160,585,10678,9574,28698,6700,30.27,596054016
30,341,222,134,214,214,220,0,782,778,11409,10272,30140,7396,30.98,611725312
31,181,263,414,268,263,263,0,1208,666,0,0,0,0,0,0
32,393,91,141,86,91,91,0,409,886,12073,10910,31959,7433,38.01,650407936
33,56,419,291,429,427,426,0,1573,552,12809,11188,37163,8231,29.43,696070144
34,261,122,238,112,114,115,0,579,688,12796,11596,32142,8126,30.85,684007424
35,375,337,150,337,337,337,0,1161,697,12696,11709,32486,8169,40.31,698368000
36,540,31,2,31,31,31,0,95,1206,0,0,0,0,0,0
37,257,51,163,51,51,51,0,316,1435,0,0,0,0,0,0
38,55,324,320,324,324,324,0,1292,1424,13311,11261,44179,10610,31.18,839282688
39,62,106,520,124,106,106,0,856,1198,13393,11115,45909,10599,35.38,849113088
40,165,194,253,176,194,194,0,817,1101,13003,11015,46886,10562,28.76,883253248
41,0,703,112,705,704,704,0,2225,0,13115,12361,36943,9157,19.14,830943232
42,65,255,65,253,254,254,0,826,332,13245,12871,35929,8812,14.37,805154816
43,0,112,0,112,112,112,0,336,0,0,0,0,0,0,0
44,30,65,30,65,65,65,0,225,95,12721,12571,35144,8618,2.01,789340160
46,0,30,0,30,30,30,0,90,0,11824,11745,34919,8577,0.55,791490560
48,136,0,106,0,0,0,0,106,136,11636,11617,34682,8518,0.56,779796480
49,283,0,285,0,0,0,0,285,419,11779,11301,39232,9345,30.64,830320640
50,243,106,266,106,106,106,0,584,629,12389,11233,45481,10365,29.76,872849408
51,35,262,40,285,279,266,0,870,498,10993,10204,44488,9981,18.66,876003328
52,83,283,83,266,266,279,0,894,294,10177,9806,43518,9608,16.24,854151168
53,249,46,227,40,46,46,0,359,332,10426,9794,47339,10223,22.51,887848960
54,236,83,210,83,83,83,0,459,485,0,0,0,0,0,0
55,98,197,93,202,200,196,1,691,505,10962,9960,46447,10795,25.79,925818880
56,203,239,205,235,236,239,0,915,388,10948,10290,37210,10676,24.27,933183488
57,217,77,191,78,78,77,0,424,490,10918,10060,38884,11118,31.09,952807424
58,241,222,256,220,220,222,0,918,537,11177,10120,41299,11512,31.79,963670016
59,181,191,183,191,191,191,0,756,539,10796,9816,41611,11703,34.88,970035200
60,355,160,126,162,161,160,0,609,710,10671,9614,45723,12257,27.83,983662592
61,97,151,226,193,163,163,0,745,693,0,0,0,0,0,0
62,162,254,289,210,241,242,0,982,548,10815,9932,43385,11939,31.32,897155072
63,14,223,47,223,223,223,0,716,562,10455,9588,41287,11658,30.3,884621312
