second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,31,0,11,0,0,0,0,11,31,12099,12084,407,28,2.07,221966336
2,460,0,463,0,0,0,0,463,491,12175,11922,1798,274,11.15,151113728
3,0,11,17,11,11,11,0,50,0,12754,11266,8751,1501,53.54,206311424
4,100,455,85,460,457,455,0,1457,166,12631,11398,7956,1183,3.71,217133056
5,628,25,378,20,23,25,0,446,728,12612,11912,4513,754,39.5,177831936
6,227,51,346,57,51,51,0,505,907,13724,11526,12932,2239,56.67,246730752
7,140,411,259,405,411,411,0,1486,636,13549,11430,13650,1986,40.54,280698880
8,31,347,58,347,347,347,0,1099,317,12811,11499,12510,954,40.4,272490496
9,0,230,0,233,231,231,0,695,0,12082,11408,11815,540,11.26,260591616
10,0,78,0,82,77,77,0,236,0,11328,11162,10802,120,5.6,254320640
11,69,9,43,2,9,9,0,63,69,10567,10552,10581,27,1.89,247230464
12,362,0,362,0,0,0,0,362,431,10794,9894,5416,912,35.67,183414784
13,309,23,335,29,26,26,0,416,740,10667,8432,12986,2248,56.57,238260224
14,0,382,0,376,379,379,0,1134,0,9894,8334,10722,1315,14.08,235270144
15,59,335,35,335,335,335,0,1040,59,8680,8664,7619,28,14.44,205627392
16,490,0,439,0,0,0,0,439,549,0,0,0,0,0,0
17,542,14,351,16,15,14,0,396,1091,10907,8148,18474,3301,52.29,283226112
18,124,401,355,438,422,401,0,1616,1033,11504,8611,17479,2701,61.29,300441600
19,284,340,312,317,330,348,0,1307,903,11722,9102,14939,2363,63.53,299716608
20,188,425,195,409,413,417,0,1434,739,10871,9270,11125,1595,47.22,296325120
21,0,310,0,312,310,310,0,932,0,10336,9664,8781,620,11.12,269295616
22,15,197,15,195,197,197,0,604,84,10126,10058,1548,74,10.78,234217472
23,116,0,95,0,0,0,0,95,131,0,0,0,0,0,0
24,290,15,311,15,15,15,0,356,406,10425,9943,3260,535,19.28,156315648
25,0,92,0,93,92,92,0,277,0,10678,9445,7308,1246,35.5,193646592
26,408,314,249,313,314,314,0,1190,408,10257,9497,5910,673,6.72,192135168
27,213,0,372,0,0,0,0,372,621,10888,9301,10704,1891,59.67,216428544
28,132,249,113,249,249,249,0,860,625,10809,8931,10841,1843,27.96,245665792
29,337,277,347,337,337,286,0,1307,818,11949,9900,12076,1611,51.48,268754944
30,355,206,364,148,148,199,0,859,746,0,0,0,0,0,0
31,71,349,50,347,347,347,0,1091,474,12565,10441,12576,2024,48.4,261582848
32,335,362,335,364,364,364,0,1427,499,12902,11168,12704,1407,32.2,266809344
33,77,52,98,50,50,50,0,248,483,13337,11821,9223,1478,55.1,245014528
34,340,321,340,333,322,322,0,1317,465,12715,11502,9832,1257,22.99,250822656
35,332,112,300,100,111,111,0,622,672,13010,11805,7362,1257,45.52,224272384
36,544,238,241,240,239,239,0,959,978,14201,12099,13691,2086,59.29,259465216
37,544,152,195,165,163,156,0,679,1476,15200,11558,24790,4315,44.46,345571328
38,11,175,438,160,163,170,0,931,1371,14455,11007,21039,3648,57.01,355348480
39,0,503,257,507,502,502,1,1768,0,14001,11749,17670,2127,52.8,367902720
40,0,414,0,419,416,416,0,1251,0,0,0,0,0,0,0
41,65,289,65,280,287,287,0,919,299,13774,12663,14563,679,29.72,338165760
42,30,0,30,0,0,0,0,30,95,13315,13095,13736,225,13.43,320921600
43,0,65,0,65,65,65,0,195,0,13359,13191,13819,136,7.79,323084288
44,0,30,0,30,30,30,0,90,0,12740,12635,922,119,1.44,272801792
47,466,0,355,0,0,0,0,355,466,12572,11327,8195,1427,29.47,214040576
48,196,0,307,0,0,0,0,307,662,12599,10598,11666,2015,36.59,255479808
49,31,328,17,345,339,339,0,1040,388,0,0,0,0,0,0
50,87,334,101,317,322,322,1,1062,358,11568,10266,7550,893,19.05,210337792
51,266,3,25,4,4,4,0,37,381,10640,10203,7136,384,19.2,202235904
52,133,115,374,114,114,114,0,716,509,11307,9825,8697,1476,35.82,230064128
53,540,6,209,6,6,6,0,227,933,12000,9960,13348,2346,32.02,272035840
54,124,154,452,331,158,157,0,1098,1057,13100,10280,16695,2738,54.94,304254976
55,460,430,169,268,440,440,1,1317,963,0,0,0,0,0,0
56,83,453,364,453,447,442,0,1706,934,13040,10360,21120,2794,51.8,354934784
57,271,181,284,168,174,180,0,806,814,13663,11278,18051,2466,57.47,339300352
58,0,365,0,366,363,363,0,1092,0,13055,11850,14664,1062,25.91,327041024
59,0,288,0,285,288,288,0,861,0,12414,12122,12203,30,19.61,287088640
60,50,0,30,0,0,0,0,30,50,11386,11372,12200,29,0.56,289939456
61,126,0,146,0,0,0,0,146,176,10789,10247,3402,556,24.67,198975488
62,0,11,0,28,11,11,0,50,0,10555,10013,3402,556,0.57,200302592
63,358,165,344,148,165,165,0,822,358,10901,9741,5960,1008,46.69,194981888
64,444,0,439,0,0,0,0,439,802,11777,9399,14093,2448,57.04,255918080
65,335,330,335,340,330,330,0,1335,872,0,0,0,0,0,0
66,288,448,288,438,448,448,0,1622,808,12297,9670,16538,2386,58.05,295165952
67,168,336,187,340,338,338,0,1203,689,12423,10536,11506,1827,60.68,292306944
68,165,267,152,272,265,265,0,954,384,11982,10636,9843,1255,28.28,277200896
69,176,212,189,203,212,212,0,816,447,11727,10428,9149,1298,49.54,240414720
70,128,151,116,152,152,152,0,572,353,11070,9916,7376,1050,10.55,242831360
71,26,190,38,189,189,189,0,605,342,10302,9654,7765,597,25.28,229871616
72,387,94,375,113,97,96,0,681,470,10676,9726,6138,1040,23.55,192954368
73,134,60,145,41,57,58,0,301,521,11413,9904,10199,1514,47.02,224546816
74,144,350,100,351,351,351,0,1153,330,11328,10300,9175,986,9.71,223031296
75,353,146,381,145,145,145,0,816,522,12145,10788,8417,1224,56.92,220598272
76,447,44,370,44,44,44,0,502,925,13475,10886,15793,2763,59.72,279195648
77,36,461,130,461,461,461,0,1513,941,13801,11676,14008,1717,42.26,277680128
78,0,330,0,358,338,337,1,1033,0,12824,12176,11128,539,17.44,265592832
79,0,170,0,142,161,162,0,465,0,11599,11522,2063,26,7.3,216096768
85,201,0,182,0,0,0,0,182,201,10210,10196,2060,25,0.38,219209728
86,314,0,310,0,0,0,0,310,515,10481,9738,4519,754,30.04,167714816
87,107,177,130,182,177,177,0,666,622,10870,9052,10886,1882,45.93,224866304
