second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,22,32,0,0,0,22,32,113,65,28,449,22,32.69,81383424
1,150,7,16,0,0,0,7,16,256,466,206,2485,258,28.49,132870144
2,252,17,21,0,0,0,17,21,491,898,367,4525,554,31.49,162840576
3,195,13,19,0,0,0,13,19,673,1786,748,9685,1230,48.78,236630016
4,292,7,16,0,0,0,9,16,958,2310,910,11404,1469,50.9,269156352
5,129,88,14,0,0,0,86,14,1020,3023,1303,15582,2111,45.68,331829248
6,300,173,52,0,0,0,174,52,1127,0,0,0,0,0,0
7,142,196,48,0,0,0,201,48,1175,0,0,0,0,0,0
8,384,67,12,0,0,0,61,12,1389,4462,2701,19161,2402,45.57,416768000
9,281,70,20,0,0,0,71,20,1621,5242,3196,24090,3095,32.26,472084480
10,293,63,31,15,15,15,62,76,1857,0,0,0,0,0,0
11,7,242,64,14,14,14,213,106,1818,0,0,0,0,0,0
12,123,200,47,28,28,28,178,131,1518,6593,4691,24981,3053,43.36,536408064
13,196,103,35,13,12,12,86,72,1640,7208,5155,27981,3389,29.63,563068928
14,191,101,30,9,10,10,90,59,1701,0,0,0,0,0,0
15,63,164,68,11,9,9,155,97,1711,0,0,0,0,0,0
16,42,182,68,28,30,28,156,154,1624,0,0,0,0,0,0
17,16,196,95,16,16,18,178,145,1470,0,0,0,0,0,0
18,166,150,60,26,26,26,122,138,1296,8660,6914,20204,2447,43.45,603570176
19,350,69,9,31,31,31,38,102,1577,0,0,0,0,0,0
20,380,17,0,20,19,19,0,58,1940,0,0,0,0,0,0
21,95,137,90,51,52,52,83,245,1980,0,0,0,0,0,0
22,67,67,39,31,31,21,46,122,1905,0,0,0,0,0,0
23,161,147,153,20,20,30,117,223,1912,11443,8882,28035,3865,38.7,670683136
24,353,84,0,21,21,21,66,63,2181,0,0,0,0,0,0
25,105,194,49,112,110,108,83,379,2192,0,0,0,0,0,0
26,100,87,126,27,29,30,57,212,2174,0,0,0,0,0,0
27,180,83,105,48,48,49,34,250,2202,0,0,0,0,0,0
28,380,30,0,30,30,30,2,90,2552,0,0,0,0,0,0
29,254,126,10,29,29,29,95,97,2706,14721,11287,41510,5530,35.97,815849472
30,56,16,184,0,0,0,16,184,2723,15095,11393,42963,5584,40.21,850567168
31,3,71,50,24,22,2,69,98,2721,0,0,0,0,0,0
32,144,130,346,66,68,88,42,568,2666,15408,11555,42501,5396,44.39,885297152
33,309,129,0,42,42,42,91,126,2846,15965,12062,40762,5648,40.66,898158592
34,364,64,0,0,0,0,61,0,3146,0,0,0,0,0,0
35,306,44,0,21,19,16,30,56,3408,0,0,0,0,0,0
36,310,39,0,35,37,39,0,111,3679,0,0,0,0,0,0
37,98,108,71,52,52,53,53,228,3739,0,0,0,0,0,0
38,34,178,100,96,96,96,81,388,3596,0,0,0,0,0,0
39,2,126,261,3,1,1,125,266,3401,0,0,0,0,0,0
40,149,319,54,234,236,235,85,759,3473,19342,14877,53671,6627,36.8,1052499968
41,254,138,0,18,18,19,121,55,3347,0,0,0,0,0,0
42,300,114,0,76,76,76,35,228,3533,19996,15471,49098,6907,30.48,1060827136
43,197,179,0,179,176,163,16,518,3692,0,0,0,0,0,0
44,53,18,192,2,5,18,0,217,3586,0,0,0,0,0,0
45,53,55,213,0,0,0,55,213,3587,0,0,0,0,0,0
46,69,124,217,22,21,11,116,271,3594,0,0,0,0,0,0
47,69,267,170,103,104,114,150,491,3530,0,0,0,0,0,0
48,60,196,179,78,78,78,118,413,3332,0,0,0,0,0,0
49,69,66,203,28,28,28,38,287,3220,0,0,0,0,0,0
50,64,331,116,308,308,308,23,1040,3209,23051,18381,52790,6046,40.18,1163227136
51,66,28,103,0,0,0,28,103,2969,0,0,0,0,0,0
52,22,27,313,0,0,0,27,313,2974,0,0,0,0,0,0
53,269,31,63,0,0,0,31,63,3202,0,0,0,0,0,0
54,316,82,0,59,59,59,24,177,3436,0,0,0,0,0,0
55,248,67,0,39,39,38,28,116,3617,0,0,0,0,0,0
56,231,213,11,222,194,191,29,618,3781,0,0,0,0,0,0
57,73,271,53,255,263,252,17,823,3636,0,0,0,0,0,0
58,40,154,220,49,69,84,65,422,3438,0,0,0,0,0,0
59,190,187,111,70,70,70,117,321,3327,26460,21300,53674,6754,38.38,1275830272
60,318,93,0,11,11,11,84,33,3551,0,0,0,0,0,0
61,142,95,83,40,40,40,53,203,3623,0,0,0,0,0,0
62,0,448,108,490,403,403,45,1404,0,0,0,0,0,0,0
63,210,411,53,259,258,219,192,789,3154,0,0,0,0,0,0
64,310,61,0,0,0,0,61,0,3199,0,0,0,0,0,0
65,256,102,0,0,0,0,108,0,3356,0,0,0,0,0,0
66,236,20,0,4,3,3,12,10,3568,0,0,0,0,0,0
67,302,17,0,15,16,16,0,47,3853,0,0,0,0,0,0
68,77,414,52,318,318,318,96,1006,3869,30787,26204,51496,7226,37.23,1321484288
69,53,150,167,29,29,29,122,254,3518,0,0,0,0,0,0
70,51,111,14,13,13,13,97,53,3418,31379,26585,50986,6999,40.54,1317175296
71,69,288,342,209,209,209,79,969,3361,0,0,0,0,0,0
72,10,253,223,151,143,126,130,643,2915,0,0,0,0,0,0
73,246,60,62,15,23,40,18,140,3083,0,0,0,0,0,0
74,343,21,0,0,0,0,21,0,3405,0,0,0,0,0,0
75,291,20,0,0,0,0,19,0,3676,0,0,0,0,0,0
76,121,108,85,173,99,78,30,435,3694,0,0,0,0,0,0
77,23,126,206,32,102,123,3,463,3692,0,0,0,0,0,0
78,9,264,175,286,287,160,104,908,3349,34551,29644,50652,6558,37.63,1334263808
79,4,269,153,38,41,168,101,400,3330,0,0,0,0,0,0
80,0,2,205,2,2,2,0,211,0,0,0,0,0,0,0
81,0,111,21,76,58,54,57,209,0,0,0,0,0,0,0
82,47,115,436,82,100,102,13,720,2912,0,0,0,0,0,0
83,357,22,17,18,18,20,4,73,3220,0,0,0,0,0,0
84,345,5,0,0,0,0,3,0,3560,0,0,0,0,0,0
85,278,0,0,0,0,0,0,0,3838,0,0,0,0,0,0
86,315,18,0,31,28,23,0,82,4135,0,0,0,0,0,0
87,103,121,131,82,85,85,31,383,4134,0,0,0,0,0,0
88,278,185,0,38,38,43,143,119,4211,0,0,0,0,0,0
89,254,108,0,26,26,24,93,76,4356,0,0,0,0,0,0
90,205,131,9,56,55,50,72,170,4497,0,0,0,0,0,0
91,0,146,197,2,2,9,136,210,0,0,0,0,0,0,0
92,0,127,293,89,90,90,37,562,0,0,0,0,0,0,0
93,0,318,188,367,232,230,93,1017,0,40509,34217,61561,7873,37.93,1385021440
94,170,425,58,201,336,268,152,863,3584,0,0,0,0,0,0
95,171,130,0,47,45,45,86,137,3669,40981,35435,61812,7485,37.43,1393045504
96,198,209,6,206,208,208,0,628,3626,0,0,0,0,0,0
97,340,24,0,24,24,24,0,72,3930,0,0,0,0,0,0
98,293,0,0,0,0,0,0,0,4223,0,0,0,0,0,0
99,272,19,0,0,0,0,22,0,4476,0,0,0,0,0,0
100,268,88,0,56,51,27,63,134,4676,0,0,0,0,0,0
101,0,808,1,656,557,244,565,1458,0,0,0,0,0,0,0
102,0,248,213,30,28,27,215,298,0,0,0,0,0,0,0
