second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,59,0,0,0,0,0,0,0,59,28453,28441,28610,7592,2.61,660893696
2,323,164,164,0,0,0,0,164,240,28265,28159,31135,8049,18.83,695648256
3,109,303,312,0,0,0,0,312,220,28321,28203,27085,7984,33.69,639475712
4,113,24,15,0,0,0,0,15,113,0,0,0,0,0,0
5,228,249,249,0,0,0,0,249,224,28598,28478,29174,8214,17.13,615616512
6,445,8,8,0,0,0,0,8,529,29257,28898,33117,8968,34.69,652075008
7,72,478,478,0,0,0,0,478,523,30039,29855,32171,8266,35.73,663318528
8,184,178,186,0,0,0,0,186,132,0,0,0,0,0,0
9,84,212,204,0,0,0,0,204,108,30590,30573,27186,8327,38.61,666963968
12,207,94,94,0,0,0,0,94,117,30032,29907,28406,8492,22.79,669786112
13,241,295,301,0,0,0,0,301,132,0,0,0,0,0,0
14,251,229,223,0,0,0,0,223,111,29916,29813,29350,8616,34.63,681701376
15,41,123,123,0,0,0,0,123,83,30032,30020,28189,8611,30.17,676376576
16,168,114,131,0,0,0,0,131,66,29896,29834,28432,8687,15.84,677920768
17,389,208,191,0,0,0,0,191,235,0,0,0,0,0,0
18,170,73,105,0,0,0,0,105,385,30640,30314,34345,9617,33.53,697774080
19,387,291,265,0,0,0,0,265,440,30958,30630,37145,9939,34.93,713052160
20,271,183,177,0,0,0,0,177,648,0,0,0,0,0,0
21,54,223,223,0,0,0,0,223,522,31383,30724,40608,10215,43.89,781053952
22,248,343,343,0,0,0,0,343,281,0,0,0,0,0,0
23,15,267,267,0,0,0,0,267,15,31907,31759,32492,9387,39,745373696
24,106,0,0,0,0,0,0,0,106,31957,31944,30144,9314,5.38,744136704
25,300,38,38,0,0,0,0,38,404,32649,32020,34874,9973,31.92,757575680
26,0,368,368,0,0,0,0,368,0,0,0,0,0,0,0
27,216,99,99,0,0,0,0,99,181,32446,32366,35196,10167,16.31,759709696
28,219,291,291,0,0,0,0,291,118,33077,32986,33408,10254,30.97,764432384
29,256,196,213,0,0,0,0,213,107,0,0,0,0,0,0
30,223,254,249,0,0,0,0,249,85,33788,33729,33129,10201,38.71,758444032
31,225,246,239,0,0,0,0,239,84,34331,34209,33635,10334,36.21,760098816
32,340,48,43,0,0,0,0,43,351,0,0,0,0,0,0
33,233,318,318,0,0,0,0,318,348,34344,33670,36848,10516,38.57,774021120
34,216,181,189,0,0,0,0,189,476,34896,34226,41324,10718,33.09,819867648
35,249,347,339,0,0,0,0,339,197,0,0,0,0,0,0
36,223,277,277,0,0,0,0,277,287,34413,33999,44688,11134,41.75,884133888
37,270,10,10,0,0,0,0,10,403,0,0,0,0,0,0
38,331,154,154,0,0,0,0,154,580,34383,33840,44613,12484,30.44,915107840
39,248,0,0,0,0,0,0,0,828,0,0,0,0,0,0
40,271,379,379,0,0,0,0,379,834,0,0,0,0,0,0
41,59,193,195,0,0,0,0,195,721,34866,34294,46359,12502,32.5,936796160
