second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,67,0,0,0,0,0,0,0,67,31506,31491,21187,6008,5.7,1026244608
2,307,0,181,0,0,0,0,181,374,31543,31247,23393,6445,17.39,959787008
3,117,0,310,0,0,0,0,310,491,32190,31193,28631,6932,30.42,859705344
4,95,0,55,0,0,0,0,55,586,0,0,0,0,0,0
5,288,0,257,0,0,0,0,257,874,32296,31077,32317,7565,14.65,879751168
6,258,0,284,0,0,0,0,284,1132,32448,30477,37121,8168,31.41,922484736
7,315,0,195,0,0,0,0,195,1447,32036,29134,44887,8938,34.56,983875584
8,139,0,304,0,0,0,0,304,1586,0,0,0,0,0,0
9,31,0,31,0,0,0,0,31,1617,32150,28902,44639,9330,14.25,1006247936
12,257,181,147,181,181,181,0,690,1693,0,0,0,0,0,0
13,191,124,227,279,201,132,0,839,1879,31168,27684,49358,9501,31.09,1049071616
14,292,186,75,32,109,178,0,394,1866,31949,28284,53816,10071,29.55,1091567616
15,0,309,291,311,312,311,0,1225,0,0,0,0,0,0,0
16,171,264,129,266,265,266,0,926,1490,31868,28780,51247,9380,18.76,1093447680
17,287,82,95,82,83,78,0,338,1669,32237,29300,53760,9566,26.17,1125138432
18,419,77,0,72,72,77,0,221,2011,0,0,0,0,0,0
19,65,394,31,394,394,394,0,1213,2049,31446,28730,49775,10022,30.52,1126260736
20,74,0,643,0,0,0,0,643,1756,0,0,0,0,0,0
21,374,0,26,0,0,0,0,26,2130,32250,28740,54368,10581,34.99,1147998208
22,39,140,440,142,142,141,0,865,2163,32441,28384,55004,10985,33.54,1140973568
23,258,234,174,232,232,233,0,871,2088,0,0,0,0,0,0
24,0,75,149,75,75,75,0,374,0,32812,28717,56909,11048,31.47,1142239232
25,15,291,15,291,291,291,0,888,1989,31607,28190,54309,10224,10.27,1133248512
26,165,93,119,103,101,100,0,423,1800,31642,28113,56796,10568,22.08,1155444736
27,241,131,242,121,123,124,0,610,1884,0,0,0,0,0,0
28,110,0,45,0,0,0,0,45,1994,32135,28354,59844,10998,32.17,1196478464
29,183,31,262,31,31,31,0,355,2146,31876,27676,64125,11512,22.37,1246461952
30,328,41,86,177,137,66,0,466,2433,0,0,0,0,0,0
31,62,628,152,492,532,603,0,1779,1867,32510,28995,55675,10769,33.48,1252843520
32,274,130,247,130,130,130,0,637,2011,32549,28750,61577,11591,31.04,1272672256
33,202,411,5,449,437,421,0,1312,2150,0,0,0,0,0,0
34,38,75,356,37,49,65,0,507,1798,32062,28554,60841,11026,33.12,1257041920
35,248,158,53,158,158,158,0,527,1855,0,0,0,0,0,0
36,95,120,330,123,121,121,0,695,1908,32481,28726,54151,11535,35.41,1249366016
37,388,41,9,38,40,40,0,127,2177,0,0,0,0,0,0
38,12,249,318,249,249,249,0,1065,2023,31357,27663,57072,11856,35.89,1255104512
39,208,120,261,190,167,130,0,748,2106,31767,27821,59474,11868,31.11,1266151424
40,324,219,99,149,172,209,0,629,2133,0,0,0,0,0,0
41,429,29,2,29,29,29,0,89,2533,31506,27304,70359,13733,26.66,1325203456
42,343,54,0,59,54,54,0,167,2834,0,0,0,0,0,0
43,244,59,174,54,59,59,0,346,3007,0,0,0,0,0,0
44,207,323,11,332,331,331,0,1005,3200,0,0,0,0,0,0
45,4,17,249,8,9,9,0,275,2892,32405,27720,71082,14806,34.95,1430695936
46,0,177,223,192,177,177,0,769,0,0,0,0,0,0,0
47,7,250,534,294,301,250,0,1379,2473,0,0,0,0,0,0
48,58,421,333,392,389,427,2,1541,2247,32904,28503,67075,12885,33.46,1408495616
49,30,409,90,379,388,401,0,1258,1788,0,0,0,0,0,0
50,0,99,0,99,99,99,0,297,0,32388,28944,64526,12118,14.81,1405255680
51,0,2,0,2,2,2,0,6,0,32261,29014,63770,11920,5.03,1402216448
53,73,174,28,174,174,174,0,550,1514,31604,28708,62941,11677,7.53,1399365632
54,393,0,93,0,0,0,0,93,1907,0,0,0,0,0,0
55,114,167,327,167,167,167,0,828,1908,32013,28238,70322,12900,30.12,1459163136
56,117,316,249,316,316,316,0,1197,1923,31991,28667,69004,12172,27.63,1476816896
57,83,534,83,534,534,534,0,1685,1337,0,0,0,0,0,0
58,169,333,74,333,333,333,0,1073,1040,32157,29735,68137,11878,13.47,1480716288
59,231,90,133,90,90,90,0,403,1247,32573,30446,71517,12229,31.62,1526571008
60,64,0,191,0,0,0,0,191,1245,0,0,0,0,0,0
61,285,0,35,0,0,0,0,35,1530,0,0,0,0,0,0
62,319,0,16,0,0,0,0,16,1849,33302,30136,61482,13788,28.2,1204281344
63,47,0,268,0,0,0,0,268,1896,0,0,0,0,0,0
64,246,67,371,67,67,67,0,572,2075,34089,30270,65312,14527,35.82,1268113408
65,379,86,23,86,86,86,0,281,2368,0,0,0,0,0,0
66,137,291,114,299,295,294,0,1002,2498,0,0,0,0,0,0
67,0,266,267,257,260,261,2,1045,0,35083,31206,68235,13847,39.24,1301303296
68,176,125,265,128,126,126,0,645,2043,35279,31285,70774,13828,31.35,1352536064
69,0,67,296,117,85,67,0,565,0,0,0,0,0,0,0
