second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,0,132,0,0,0,0,132,135,32191,32165,25536,6869,26.23,630505472
1,133,0,118,0,0,0,0,118,268,32259,31893,28435,7209,17.62,651034624
2,137,0,149,0,0,0,0,149,405,32344,31647,26806,7524,21.83,655474688
3,135,0,138,0,0,0,0,138,540,32133,31118,29174,7863,17.04,667041792
4,131,0,131,0,0,0,0,131,671,32180,30844,32179,8186,19.52,679964672
5,139,0,129,0,0,0,0,129,810,0,0,0,0,0,0
6,135,0,141,0,0,0,0,141,945,32292,30620,35028,8505,16.84,720031744
7,135,0,137,0,0,0,0,137,1080,32289,30278,38065,8843,19.62,754503680
8,130,0,131,0,0,0,0,131,1210,32330,30002,41067,9175,18.09,806952960
9,140,0,136,0,0,0,0,136,1350,32121,29464,41847,9514,17.8,843608064
10,132,123,137,127,123,123,0,510,1371,0,0,0,0,0,0
11,138,127,135,123,127,127,0,512,1370,32205,29468,43521,9513,19.8,854241280
12,131,145,131,146,145,145,0,567,1378,32264,29548,45287,9514,18.16,860725248
13,134,135,137,135,135,135,0,542,1377,32366,29641,47059,9525,21.99,882634752
14,140,138,139,137,138,138,0,552,1376,32187,29471,48701,9516,19.91,909099008
15,135,129,136,129,129,129,0,523,1370,0,0,0,0,0,0
16,135,140,134,140,140,140,0,554,1377,32248,29527,50543,9524,22.24,942624768
17,127,132,83,138,137,132,0,490,1372,32304,29585,44168,9517,18.25,962686976
18,143,137,184,131,132,137,0,584,1373,32151,29428,43590,9513,21.91,966582272
19,135,133,137,134,133,133,0,537,1378,32179,29461,45169,9517,17.1,978731008
20,135,140,137,139,140,140,0,556,1374,0,0,0,0,0,0
21,135,134,128,134,134,134,0,530,1371,32271,29525,43377,9520,23.16,943742976
22,135,132,141,132,132,132,0,537,1370,32249,29522,45205,9523,19.03,950829056
23,132,126,120,137,132,126,0,515,1372,32143,29429,45456,9530,20.02,970264576
24,129,135,141,124,129,135,0,529,1374,0,0,0,0,0,0
25,142,137,134,137,137,137,0,545,1373,32292,29574,43559,9527,19.7,959045632
26,128,136,133,137,136,136,0,542,1374,32301,29562,45133,9520,20.76,969920512
27,139,92,132,94,95,95,0,416,1404,32089,29328,45930,9597,21.54,986529792
28,140,187,150,184,184,184,0,702,1412,32236,29516,43804,9563,23.46,985190400
29,135,137,131,137,137,137,0,542,1372,0,0,0,0,0,0
30,135,134,117,136,136,135,0,524,1390,32263,29503,45551,9541,19.64,995762176
31,135,124,154,126,124,124,0,528,1374,32337,29606,42931,9520,22.49,967626752
32,135,148,137,144,146,147,0,574,1371,32178,29447,44744,9524,23.36,975249408
33,135,120,136,120,120,120,0,496,1374,0,0,0,0,0,0
34,135,141,134,141,141,141,0,557,1390,32250,29500,45341,9542,19.57,996757504
35,135,134,137,134,134,134,0,539,1373,32369,29654,43761,9547,22.78,983187456
36,135,133,131,133,133,133,0,530,1374,32114,29366,45401,9521,20.98,991481856
37,135,130,126,132,132,132,0,522,1379,32203,29439,43158,9588,22.17,1000439808
38,135,149,133,150,150,150,0,583,1402,0,0,0,0,0,0
39,135,134,135,131,131,131,0,528,1373,32266,29540,44689,9544,20.37,1006321664
40,135,117,138,117,117,117,0,489,1377,32344,29595,41680,9499,24.62,994729984
