second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,9240,9227,889,35,1.89,281169920
2,409,124,0,0,124,0,0,124,392,8952,8789,2301,225,3.18,286097408
3,0,304,0,0,304,0,0,304,0,9303,8272,7462,931,33.29,261038080
4,263,64,0,0,64,0,0,64,263,8548,8360,4027,35,57.72,244043776
5,335,203,0,0,203,0,0,203,394,9032,8225,9890,811,16.76,286019584
6,348,178,0,0,178,0,0,178,564,9129,8334,7430,875,47.32,301600768
7,20,281,0,0,282,0,0,282,573,9601,8676,8770,998,48.44,309673984
8,129,253,0,0,262,0,0,262,344,9442,8589,5869,636,60.08,299679744
9,31,210,0,0,200,0,0,200,113,8904,8694,2474,33,45.47,183107584
12,295,93,0,0,101,0,0,101,295,8878,8130,6219,742,17.68,222695424
13,370,259,0,0,267,0,0,267,319,8811,8234,4656,566,48.61,228352000
14,75,220,0,0,210,0,0,210,335,9225,8551,6642,774,39.81,239853568
15,0,168,0,0,162,0,0,162,0,8450,8366,2458,34,28.85,223031296
16,764,44,0,0,50,0,0,50,726,9438,8182,9958,1246,32.1,276107264
17,211,176,0,0,172,0,0,172,755,0,0,0,0,0,0
18,283,98,0,0,96,0,0,96,940,9709,8069,15164,1781,50.63,315576320
19,135,156,0,0,167,0,0,167,1070,10329,7989,19141,2429,44.05,376324096
20,25,216,0,0,214,0,0,214,920,9868,7962,17864,2110,54.35,391749632
21,269,347,0,0,337,0,1,337,714,10202,8463,18066,1622,57.58,397549568
22,5,246,0,0,246,0,0,246,416,10408,8978,9806,1235,57.23,408387584
23,10,419,0,0,419,0,0,419,410,0,0,0,0,0,0
24,406,0,0,0,0,0,0,0,406,9299,9123,1470,34,52.42,303894528
25,0,279,0,0,287,0,0,287,0,9918,8943,7630,974,16.77,266948608
26,227,131,0,0,123,0,0,123,225,10036,9653,2322,142,55.52,257368064
27,394,198,0,0,198,0,0,198,539,10329,9735,6168,558,20.78,281022464
28,7,273,0,0,288,0,0,288,236,10789,9790,7690,935,54.64,295391232
29,671,155,0,0,140,0,0,140,669,10311,9936,4992,309,43.96,278376448
30,146,180,0,0,201,0,0,201,815,11566,10164,11391,1626,45.24,300896256
31,8,252,0,0,238,0,0,238,452,11798,10733,11598,1183,60.83,314044416
32,475,239,0,0,248,0,0,248,767,12020,11071,8251,1164,53.11,342835200
33,0,290,0,0,285,0,0,285,0,0,0,0,0,0,0
34,340,170,0,0,159,0,0,159,508,11740,10837,8293,907,63.25,347639808
35,374,218,0,0,204,0,16,204,663,12030,11101,9216,1001,49.8,280678400
36,254,201,0,0,201,0,0,201,766,0,0,0,0,0,0
37,268,232,0,0,244,0,0,244,778,0,0,0,0,0,0
38,355,153,0,0,149,0,0,149,981,12717,10727,19022,2007,44.74,388947968
39,170,161,0,0,171,0,0,171,1058,13205,10687,19806,2495,44.16,418762752
40,1,275,0,0,246,0,15,246,963,13020,11300,18318,1920,65.92,417239040
41,9,267,0,0,263,0,3,263,450,0,0,0,0,0,0
42,12,376,0,0,373,0,0,373,72,12958,11807,15368,956,59.71,407670784
43,53,120,0,0,118,0,0,118,65,12249,12103,11515,36,48.63,383246336
44,30,30,0,0,30,0,0,30,30,11689,11676,11515,36,0.56,383983616
49,466,60,0,0,60,0,0,60,451,11423,10477,7187,915,27.14,356630528
50,151,313,0,0,314,0,0,314,366,11073,10497,5493,520,59.18,276000768
51,71,253,0,0,252,0,0,252,285,10874,10503,2875,178,55.69,259768320
52,92,114,0,0,114,0,0,114,83,0,0,0,0,0,0
53,399,40,0,0,40,0,0,40,399,10563,10355,2970,116,22.15,262234112
54,0,223,0,0,227,0,0,227,0,10581,9705,7054,902,15.77,289464320
55,572,222,0,0,218,0,0,218,526,10137,9601,4148,436,46.03,273502208
56,92,153,0,0,160,0,0,160,618,10889,9754,8489,1056,41.91,268853248
57,101,293,0,0,289,0,0,289,432,11106,10054,9816,867,56.53,298483712
58,615,171,0,0,168,0,0,168,717,0,0,0,0,0,0
59,98,55,0,0,55,0,0,55,815,11700,9762,14928,1940,45.32,344305664
60,0,166,0,0,174,0,0,174,0,11555,9569,15458,1989,37.07,372047872
