second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,130,130,0,0,0,0,130,16,8048,7902,644,35,9.58,119930880
1,135,135,135,0,0,0,0,135,13,8081,7916,802,31,23.33,122658816
2,135,134,134,0,0,0,0,134,13,8093,7920,654,32,23.11,122793984
3,134,136,136,0,0,0,0,136,9,8101,7927,1036,35,24.31,119930880
4,136,135,135,0,0,0,0,135,9,8106,7933,841,36,25.33,119902208
5,135,135,135,0,0,0,0,135,9,8120,7948,933,32,19,115314688
6,135,134,134,0,0,0,0,134,9,8130,7957,774,37,19.75,115503104
7,135,135,135,0,0,0,0,135,9,8141,7967,1011,34,21.46,115367936
8,135,134,134,0,0,0,0,134,10,8149,7979,889,35,19.56,115449856
9,134,137,137,0,0,0,0,137,9,8158,7989,776,38,20.52,111276032
10,136,134,134,0,0,0,0,134,9,8174,8003,992,40,20.29,111427584
11,135,135,135,0,0,0,0,135,9,8181,8008,931,37,21.81,111185920
12,134,134,134,0,0,0,0,134,17,8195,8024,981,35,20.28,113696768
13,136,136,136,0,0,0,0,136,11,8207,8032,864,35,18.74,114540544
14,134,135,135,0,0,0,0,135,10,8214,8042,758,35,18.42,116338688
15,135,135,135,0,0,0,0,135,10,8094,7920,1072,38,21.07,116588544
16,135,135,135,0,0,0,0,135,9,7972,7799,820,34,23.73,116432896
17,136,135,135,0,0,0,0,135,10,7979,7808,940,34,21.19,116400128
18,135,136,136,0,0,0,0,136,9,7989,7816,832,38,21.63,116535296
19,135,134,134,0,0,0,0,134,10,8000,7829,700,35,21.5,116387840
20,135,135,135,0,0,0,0,135,13,8019,7847,815,34,21.16,116449280
21,134,135,135,0,0,0,0,135,23,8029,7856,728,32,22.14,116736000
22,136,134,135,0,0,0,0,135,10,8041,7868,998,35,20.07,116568064
23,134,135,134,0,0,0,0,134,12,8047,7876,779,35,18.34,116453376
24,136,137,137,0,0,0,0,137,9,8061,7890,948,34,20.91,116490240
25,135,134,134,0,0,0,0,134,9,0,0,0,0,0,0
26,135,135,135,0,0,0,0,135,10,8074,7896,786,40,21.45,116695040
27,134,133,133,0,0,0,0,133,9,8087,7914,935,34,21.23,116543488
28,136,137,138,0,0,0,0,138,9,8096,7924,712,34,19.69,116379648
29,135,136,135,0,0,0,0,135,9,8102,7928,847,34,18.94,116482048
30,134,132,132,0,0,0,0,132,24,8167,7993,952,31,17.61,116314112
31,136,136,136,0,0,0,0,136,18,8170,7995,876,30,24.49,114532352
32,135,136,136,0,0,0,0,136,11,8186,8012,656,35,23.96,113963008
33,134,136,136,0,0,0,0,136,10,8194,8017,868,40,24.86,112340992
34,136,134,134,0,0,0,0,134,11,8209,8034,687,34,24.21,111288320
35,134,136,136,0,0,0,0,136,10,8219,8045,869,33,22.25,108556288
36,136,134,134,0,0,0,0,134,10,8230,8057,836,41,19.66,109748224
37,134,136,136,0,0,0,0,136,11,8239,8063,641,30,22.26,106647552
38,136,134,135,0,0,0,0,135,9,8253,8083,944,36,21.22,109588480
39,134,135,134,0,0,0,0,134,9,8268,8097,969,32,20.32,109101056
40,136,135,135,0,0,0,0,135,9,8010,7835,838,31,21.15,108204032
41,135,129,130,0,0,0,0,130,19,8018,7847,806,32,22.28,108015616
42,132,134,136,0,0,0,0,136,13,8029,7853,735,33,21.32,107028480
43,137,141,138,0,0,0,0,138,17,8037,7865,932,35,23.71,108519424
44,135,136,136,0,0,0,0,136,9,8051,7877,897,34,25.4,108490752
45,136,136,136,0,0,0,0,136,10,8062,7887,769,35,20.49,107184128
46,135,133,134,0,0,0,0,134,9,8075,7899,1025,33,19.75,108982272
47,135,137,136,0,0,0,0,136,10,8081,7911,797,34,20.44,111714304
48,135,133,133,0,0,0,0,133,10,8096,7919,1033,37,23.77,113422336
49,134,137,137,0,0,0,0,137,19,8113,7938,818,30,23.91,112472064
50,135,134,134,0,0,0,0,134,9,0,0,0,0,0,0
51,136,136,136,0,0,0,0,136,10,8141,7965,734,32,25.45,111374336
52,135,133,134,0,0,0,0,134,9,8134,7957,642,34,23.86,111112192
53,135,136,135,0,0,0,0,135,10,8148,7974,899,29,22.37,108429312
54,135,135,135,0,0,0,0,135,11,8158,7980,804,31,20.33,108281856
55,134,136,136,0,0,0,0,136,10,8168,7996,674,32,18.24,109473792
56,136,134,134,0,0,0,0,134,9,8185,8014,929,33,19.52,112234496
57,135,134,136,0,0,0,0,136,20,8194,8020,663,31,20.85,110972928
58,134,135,133,0,0,0,0,133,9,8206,8030,884,33,23.52,112975872
59,135,136,136,0,0,0,0,136,9,8214,8040,728,31,22.53,111706112
60,136,135,135,0,0,0,0,135,10,8247,8070,672,37,23.34,113704960
61,135,134,134,0,0,0,0,134,9,8246,8072,998,33,22.33,113504256
62,134,134,134,0,0,0,0,134,10,8254,8079,836,33,22.17,112132096
63,136,136,136,0,0,0,0,136,10,8263,8083,683,31,21.13,106864640
64,135,132,132,0,0,0,0,132,11,8005,7831,963,31,20.83,108806144
65,135,138,138,0,0,0,0,138,11,8016,7838,916,28,20.4,108314624
66,134,127,127,0,0,0,0,127,15,8029,7854,712,30,23.63,111083520
67,136,145,145,0,0,0,0,145,17,8035,7860,913,29,18.28,112517120
68,135,135,135,0,0,0,0,135,9,8048,7874,794,29,20.88,111763456
69,134,133,133,0,0,0,0,133,9,8054,7883,1034,30,23.76,113618944
70,135,137,137,0,0,0,0,137,9,8070,7896,847,29,19.79,112447488
71,136,134,134,0,0,0,0,134,11,8076,7902,808,31,20.29,112238592
72,135,136,136,0,0,0,0,136,9,8087,7914,705,31,21.62,106860544
73,134,135,135,0,0,0,0,135,10,8098,7922,918,30,17.49,108773376
74,135,134,134,0,0,0,0,134,9,8108,7932,748,32,19.55,107466752
75,136,135,135,0,0,0,0,135,10,0,0,0,0,0,0
76,135,136,136,0,0,0,0,136,9,8119,7945,910,31,20.86,108892160
77,135,135,135,0,0,0,0,135,9,8131,7956,810,29,16.32,107798528
78,134,126,126,0,0,0,0,126,14,8137,7966,681,33,20.2,106823680
79,136,142,142,0,0,0,0,142,17,8151,7976,945,32,22.42,110301184
80,134,135,135,0,0,0,0,135,9,8163,7987,771,37,22.73,110161920
