second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,129,0,0,129,0,0,129,10,8094,7948,735,30,15.25,130203648
1,134,134,0,0,134,0,0,134,10,8112,7944,841,34,23.44,135192576
2,136,136,0,0,136,0,0,136,10,8135,7963,794,33,22.73,135331840
3,135,135,0,0,135,0,0,135,10,8151,7979,809,40,20.68,130789376
4,135,136,0,0,136,0,0,136,9,8160,7983,778,41,19.13,130818048
5,134,133,0,0,134,0,0,134,11,8164,7989,816,44,20.51,131051520
6,135,136,0,0,135,0,0,135,11,8182,8005,700,42,23.96,131293184
7,135,135,0,0,135,0,0,135,9,8197,8019,1416,37,19.97,131198976
8,135,134,0,0,134,0,0,134,9,8207,8033,1304,35,18.4,129564672
9,136,136,0,0,136,0,0,136,10,8221,8048,1257,34,23.01,126857216
10,134,135,0,0,135,0,0,135,10,8232,8057,1351,31,17.46,126009344
11,135,134,0,0,134,0,0,134,10,7970,7796,1216,36,20.88,129466368
12,135,135,0,0,135,0,0,135,10,7977,7806,1202,34,18.66,126013440
13,135,136,0,0,136,0,0,136,9,7994,7819,1080,29,21.17,129499136
14,136,135,0,0,135,0,0,135,9,8008,7835,1148,36,22,130322432
15,134,134,0,0,134,0,0,134,11,8014,7841,1210,38,17.43,130396160
16,135,136,0,0,136,0,0,136,10,8020,7849,1145,34,20.58,130359296
17,135,134,0,0,134,0,0,134,10,8032,7856,1016,37,20.52,127414272
18,135,136,0,0,136,0,0,136,10,8039,7870,950,34,19.2,123080704
19,136,135,0,0,135,0,0,135,10,8053,7883,1025,34,17.34,123846656
20,134,134,0,0,134,0,0,134,9,8060,7888,996,34,18.49,123867136
21,136,134,0,0,135,0,0,135,9,8070,7894,957,35,19.24,123912192
22,135,137,0,0,136,0,0,136,9,8080,7908,941,40,19.22,124112896
23,135,135,0,0,135,0,0,135,9,8091,7917,907,37,21.11,124076032
24,135,134,0,0,134,0,0,134,11,8101,7927,797,37,20.93,123912192
25,134,135,0,0,135,0,0,135,11,8109,7935,775,35,20.35,123871232
26,136,135,0,0,135,0,0,135,9,0,0,0,0,0,0
27,134,136,0,0,136,0,0,136,9,8121,7949,757,38,18.38,124874752
28,136,134,0,0,135,0,0,135,10,8134,7957,669,35,16.8,124821504
29,134,136,0,0,135,0,0,135,9,8142,7971,1315,32,18.48,125468672
30,136,135,0,0,135,0,0,135,10,8193,8017,1422,32,18.22,125538304
31,135,134,0,0,134,0,0,134,10,8201,8029,1264,32,20.91,127000576
32,135,136,0,0,136,0,0,136,10,8210,8037,1225,32,20.31,123092992
33,134,135,0,0,135,0,0,135,9,8224,8052,1233,30,20.55,127111168
34,135,135,0,0,135,0,0,135,10,8232,8057,1212,35,21.1,128364544
35,135,135,0,0,135,0,0,135,10,8242,8071,1175,33,18.2,129884160
36,135,136,0,0,136,0,0,136,11,8252,8081,1079,34,22.59,129941504
37,135,134,0,0,134,0,0,134,10,8266,8093,1035,32,17.72,129781760
38,135,134,0,0,134,0,0,134,9,8007,7831,1159,34,18.42,129933312
39,135,136,0,0,136,0,0,136,10,8015,7842,947,32,20.77,129863680
40,136,136,0,0,136,0,0,136,16,8023,7850,1041,32,18.65,129953792
41,134,134,0,0,134,0,0,134,11,8034,7860,877,32,23.94,130170880
42,136,135,0,0,135,0,0,135,9,8044,7870,851,35,16.67,130158592
43,134,133,0,0,133,0,0,133,12,8054,7880,778,34,20.23,130043904
44,135,135,0,0,135,0,0,135,10,8060,7884,883,35,18.83,130064384
45,135,138,0,0,138,0,0,138,10,8073,7898,717,35,18.86,123084800
46,136,133,0,0,133,0,0,133,9,8085,7909,700,37,19.16,120188928
47,135,136,0,0,136,0,0,136,16,8094,7921,666,35,17.48,120102912
48,135,126,0,0,126,0,0,126,18,8107,7927,739,48,20.22,121376768
49,135,145,0,0,145,0,0,145,15,8126,7945,1349,36,19.5,121085952
50,134,133,0,0,133,0,0,133,11,8137,7959,1320,34,19.16,121077760
51,136,135,0,0,135,0,0,135,9,8145,7967,1251,34,23.35,120983552
52,134,135,0,0,135,0,0,135,15,8152,7976,1232,37,19.77,121647104
53,135,137,0,0,137,0,0,137,10,0,0,0,0,0,0
54,135,134,0,0,134,0,0,134,13,8166,7994,1327,40,18.13,121651200
55,136,134,0,0,135,0,0,135,10,8178,8002,1409,34,20.5,123416576
56,134,134,0,0,133,0,0,133,10,8183,8005,1248,37,19.42,127520768
57,135,136,0,0,136,0,0,136,10,8190,8016,1184,34,23.15,127565824
58,136,135,0,0,135,0,0,135,10,8204,8028,1003,33,19.94,126898176
59,135,136,0,0,136,0,0,136,9,8211,8035,1004,38,18.48,126980096
60,134,135,0,0,135,0,0,135,11,8220,8046,1083,33,22.03,126713856
61,136,135,0,0,135,0,0,135,10,8231,8056,910,33,20.91,126730240
62,134,135,0,0,135,0,0,135,10,8245,8064,872,35,22.93,126779392
63,136,135,0,0,135,0,0,135,9,8256,8080,993,34,18.98,126857216
64,135,134,0,0,134,0,0,134,9,8263,8088,815,37,17.68,122650624
65,135,135,0,0,135,0,0,135,11,8269,8100,785,37,18.26,122712064
66,134,134,0,0,135,0,0,135,9,8019,7839,902,36,19.53,122765312
67,135,135,0,0,134,0,0,134,9,8022,7847,697,34,20.15,126140416
68,136,136,0,0,136,0,0,136,10,8037,7864,786,33,19.72,126750720
69,135,134,0,0,134,0,0,134,9,8044,7872,780,36,18.54,126824448
70,135,136,0,0,136,0,0,136,10,8060,7883,1319,36,21.1,126799872
71,135,136,0,0,136,0,0,136,9,8067,7892,1270,34,19.4,126726144
72,135,135,0,0,136,0,0,136,10,8077,7902,1235,34,20.75,126763008
73,134,135,0,0,134,0,0,134,11,8086,7908,1350,36,20.65,126918656
74,136,135,0,0,135,0,0,135,10,8101,7923,1230,31,20.12,120324096
75,135,135,0,0,135,0,0,135,9,8105,7934,1136,34,18.03,120111104
76,135,135,0,0,136,0,0,136,11,8117,7942,1081,32,19.56,120221696
77,135,135,0,0,134,0,0,134,10,8124,7950,1068,35,20.48,120217600
78,135,136,0,0,136,0,0,136,22,8137,7965,1196,33,22.01,120541184
79,134,134,0,0,134,0,0,134,10,8150,7977,1164,34,20.25,120520704
80,136,134,0,0,134,0,0,134,10,0,0,0,0,0,0
81,135,137,0,0,137,0,0,137,10,8159,7985,942,31,20.02,121528320
82,134,133,0,0,133,0,0,133,10,8167,7992,917,34,20.15,121556992
83,136,136,0,0,136,0,0,136,10,8176,8003,910,37,19.19,121937920
84,134,135,0,0,135,0,0,135,10,8183,8010,1034,40,22.82,122056704
85,135,135,0,0,135,0,0,135,10,8197,8019,858,29,20.92,125878272
86,136,135,0,0,135,0,0,135,9,8209,8037,791,34,21.24,126107648
87,134,134,0,0,134,0,0,134,9,8219,8044,748,34,20.14,126062592
88,135,136,0,0,136,0,0,136,9,8230,8058,844,31,19.02,126173184
89,135,134,0,0,134,0,0,134,9,8244,8067,691,34,18.08,126144512
90,136,136,0,0,136,0,0,136,9,8252,8079,647,31,23.12,126185472
91,135,135,0,0,135,0,0,135,9,8267,8094,756,29,21.81,126095360
92,134,135,0,0,135,0,0,135,10,8008,7835,636,33,19.31,122318848
93,135,135,0,0,135,0,0,135,9,8018,7847,1320,34,16.92,126144512
94,135,133,0,0,133,0,0,133,9,8027,7855,1270,32,20.72,121929728
95,136,136,0,0,136,0,0,136,10,8039,7866,1255,36,20.31,122695680
96,134,136,0,0,136,0,0,136,10,8052,7877,1290,39,18.33,125620224
97,135,134,0,0,134,0,0,134,10,8057,7884,1180,35,22.96,126099456
98,135,137,0,0,137,0,0,137,12,8067,7894,1253,39,19.36,126349312
99,136,134,0,0,134,0,0,134,11,8080,7908,1090,32,19.32,119390208
100,135,134,0,0,135,0,0,135,9,8087,7915,1087,37,20.11,119308288
101,135,136,0,0,135,0,0,135,10,8102,7928,1042,33,24.02,119308288
102,135,136,0,0,136,0,0,136,10,8112,7938,1077,33,20.97,120348672
103,134,133,0,0,134,0,0,134,10,8122,7948,1018,39,19.6,120594432
104,135,135,0,0,134,0,0,134,10,8133,7960,1006,36,17.28,120954880
105,135,137,0,0,137,0,0,137,10,8141,7966,883,33,21.63,120651776
106,135,133,0,0,133,0,0,133,9,8153,7976,989,36,18.23,120758272
107,136,136,0,0,136,0,0,136,11,0,0,0,0,0,0
108,134,135,0,0,135,0,0,135,10,8164,7992,949,34,19.96,120774656
109,135,134,0,0,134,0,0,134,10,8172,7999,803,37,17.29,123359232
110,135,136,0,0,136,0,0,136,10,8185,8011,917,37,19.83,123191296
111,135,135,0,0,135,0,0,135,10,8195,8021,815,36,22.16,126873600
112,136,134,0,0,134,0,0,134,16,8206,8032,681,32,17.82,126124032
113,135,136,0,0,136,0,0,136,10,8216,8042,693,37,19.78,126246912
114,135,135,0,0,135,0,0,135,10,8229,8052,791,32,17.55,126205952
115,134,135,0,0,136,0,0,136,10,8242,8068,665,37,20.8,126271488
116,136,135,0,0,134,0,0,134,10,8252,8082,1341,36,19.22,126291968
117,135,135,0,0,135,0,0,135,10,8261,8088,1429,36,19.96,126267392
118,135,135,0,0,135,0,0,135,13,8263,8088,1251,36,20.13,126230528
119,135,134,0,0,134,0,0,134,10,8008,7836,1171,29,18.06,126038016
120,134,136,0,0,136,0,0,136,10,8019,7847,1246,33,20.72,126210048
121,136,134,0,0,134,0,0,134,9,8034,7859,1182,32,17.02,126062592
122,134,134,0,0,134,0,0,134,11,8035,7866,1172,37,17.59,126320640
123,136,137,0,0,137,0,0,137,9,8048,7874,1123,36,21.67,126402560
124,134,133,0,0,133,0,0,133,9,8062,7888,990,36,19.8,126484480
125,136,137,0,0,137,0,0,137,10,8070,7895,937,33,18.26,126312448
126,135,134,0,0,134,0,0,134,9,8081,7907,1037,33,19.03,126226432
127,135,136,0,0,136,0,0,136,16,8078,7893,1001,39,19.13,126464000
128,135,135,0,0,135,0,0,135,10,8099,7923,970,34,20.88,126263296
129,135,135,0,0,135,0,0,135,10,8105,7929,965,39,18.63,126435328
130,135,135,0,0,135,0,0,135,10,8114,7939,887,34,18.86,126320640
131,135,135,0,0,135,0,0,135,10,8122,7949,779,33,19.31,119697408
132,135,135,0,0,135,0,0,135,10,8136,7961,760,34,18.22,119705600
133,134,135,0,0,135,0,0,135,10,0,0,0,0,0,0
134,136,134,0,0,134,0,0,134,11,8142,7969,764,38,21.36,121384960
135,134,135,0,0,137,0,0,137,9,8151,7981,669,35,19.44,123400192
