second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,134,134,0,0,0,0,134,6,15345,15043,435,24,31.15,112443392
1,134,135,135,0,0,0,0,135,6,15399,15082,775,24,18.18,111861760
2,136,134,134,0,0,0,0,134,4,15445,15127,633,25,17.32,105357312
3,135,136,136,0,0,0,0,136,5,15471,15154,397,21,17.04,105590784
4,134,133,133,0,0,0,0,133,4,15507,15189,654,19,16.18,102436864
5,136,136,136,0,0,0,0,136,5,15543,15227,513,26,17.66,103342080
6,135,136,136,0,0,0,0,136,5,15580,15262,422,23,18.77,101572608
7,135,135,135,0,0,0,0,135,9,15609,15297,716,23,15.43,101642240
8,135,135,135,0,0,0,0,135,4,15654,15334,425,22,17.52,101961728
9,134,134,134,0,0,0,0,134,4,15694,15374,623,24,18.04,102121472
10,136,135,135,0,0,0,0,135,4,15738,15422,452,21,17.25,101961728
11,135,136,136,0,0,0,0,136,4,15766,15451,473,20,19.81,101949440
12,134,135,135,0,0,0,0,135,5,15808,15490,523,20,17.59,106184704
13,136,135,135,0,0,0,0,135,4,15345,15026,679,23,18.48,102985728
14,135,134,134,0,0,0,0,134,4,0,0,0,0,0,0
15,135,136,136,0,0,0,0,136,5,15402,15086,582,24,16.58,103010304
16,135,135,135,0,0,0,0,135,5,15450,15133,507,26,15.06,103047168
17,135,134,134,0,0,0,0,134,4,15496,15179,637,21,17.3,103346176
18,135,136,136,0,0,0,0,136,5,15531,15210,646,22,21.89,104153088
19,134,135,135,0,0,0,0,135,5,15610,15296,620,21,20.83,104136704
20,136,134,134,0,0,0,0,134,8,15666,15348,447,20,17.97,104448000
21,135,135,135,0,0,0,0,135,4,15707,15389,415,24,19.32,104718336
22,134,135,135,0,0,0,0,135,5,15752,15435,426,22,16.85,104570880
23,136,136,136,0,0,0,0,136,5,15804,15487,676,21,17.42,104566784
24,135,135,135,0,0,0,0,135,5,15853,15533,416,24,17.16,104497152
25,134,135,135,0,0,0,0,135,5,15906,15588,516,24,19.99,105697280
26,136,135,135,0,0,0,0,135,4,15908,15594,401,21,15.03,104796160
27,134,135,135,0,0,0,0,135,5,0,0,0,0,0,0
28,136,134,134,0,0,0,0,134,4,15478,15160,657,25,19.31,106528768
29,135,134,134,0,0,0,0,134,5,15537,15219,484,22,15.26,107466752
30,135,137,137,0,0,0,0,137,5,15603,15284,736,19,19.21,107421696
31,135,135,135,0,0,0,0,135,5,15653,15335,392,23,18.25,105824256
32,135,134,134,0,0,0,0,134,4,15711,15398,683,27,17.75,105152512
33,135,136,136,0,0,0,0,136,4,15761,15445,529,24,20.03,104407040
34,135,135,135,0,0,0,0,135,5,15804,15489,426,22,17.34,104394752
35,135,134,134,0,0,0,0,134,4,15842,15526,688,21,17.5,105836544
36,135,136,136,0,0,0,0,136,5,15888,15569,699,24,17.37,105623552
37,135,135,135,0,0,0,0,135,6,15930,15614,609,21,17.8,104914944
38,134,135,135,0,0,0,0,135,4,15972,15658,606,24,15.97,103047168
39,136,135,135,0,0,0,0,135,4,16022,15706,650,21,14.89,103329792
40,134,135,135,0,0,0,0,135,5,15922,15606,598,20,18.36,104259584
41,135,135,135,0,0,0,0,135,4,0,0,0,0,0,0
42,135,134,134,0,0,0,0,134,4,15597,15282,391,23,19.25,105111552
43,136,135,135,0,0,0,0,135,5,15636,15315,649,26,17.64,104460288
44,135,134,134,0,0,0,0,134,5,15661,15346,647,20,18.15,100339712
45,134,136,136,0,0,0,0,136,4,15711,15397,665,23,18.18,100331520
46,135,135,135,0,0,0,0,135,5,15740,15425,601,20,16.08,99913728
47,136,136,136,0,0,0,0,136,4,15772,15455,418,17,17.44,99282944
48,135,120,120,0,0,0,0,120,18,15798,15473,424,30,18.42,101203968
49,135,134,134,0,0,0,0,134,22,15829,15482,752,53,19.36,101957632
50,135,138,138,0,0,0,0,138,20,15835,15485,736,45,15.36,100007936
51,135,130,130,0,0,0,0,130,22,15865,15500,717,52,15.26,99770368
52,134,140,140,0,0,0,0,140,21,15909,15551,660,40,16.75,99934208
53,135,130,130,0,0,0,0,130,23,15925,15573,714,62,19.43,99962880
54,136,136,136,0,0,0,0,136,23,15411,15058,626,46,17.07,100765696
55,134,146,146,0,0,0,0,146,18,0,0,0,0,0,0
56,135,141,141,0,0,0,0,141,9,15468,15124,536,27,22.83,100442112
57,135,134,134,0,0,0,0,134,4,15522,15191,391,23,19.33,101036032
58,136,135,135,0,0,0,0,135,9,15554,15238,676,20,18.76,100810752
59,134,134,134,0,0,0,0,134,5,15583,15262,583,22,18.21,99979264
60,135,137,137,0,0,0,0,137,6,15603,15285,579,22,15.39,99598336
61,136,134,134,0,0,0,0,134,4,15633,15317,574,18,17.63,99672064
62,135,136,136,0,0,0,0,136,4,15665,15349,412,19,16.26,103469056
63,134,135,135,0,0,0,0,135,5,15688,15368,407,22,14.53,103903232
64,136,135,135,0,0,0,0,135,4,15738,15420,394,26,18.37,104030208
65,135,135,135,0,0,0,0,135,4,15787,15469,383,21,17.37,103944192
66,135,134,134,0,0,0,0,134,5,15835,15520,703,22,20.49,104538112
67,135,136,136,0,0,0,0,136,4,15883,15571,574,20,16.65,104173568
68,135,134,134,0,0,0,0,134,4,15392,15074,583,20,16.15,105299968
69,135,135,136,0,0,0,0,136,4,0,0,0,0,0,0
70,134,136,135,0,0,0,0,135,5,15415,15097,463,19,19.41,104509440
71,135,135,135,0,0,0,0,135,5,15434,15113,477,17,20.39,102420480
72,135,134,134,0,0,0,0,134,4,15478,15160,574,19,16.85,103047168
73,136,135,135,0,0,0,0,135,5,15519,15198,529,19,17.6,99319808
74,135,135,135,0,0,0,0,135,5,15539,15220,464,22,16.84,99368960
75,134,136,136,0,0,0,0,136,5,15572,15260,397,24,16.93,100970496
76,136,135,135,0,0,0,0,135,5,15614,15297,701,20,18.17,100601856
77,134,134,134,0,0,0,0,134,4,15649,15335,652,16,19.41,100720640
78,136,136,136,0,0,0,0,136,4,15732,15416,657,22,19.45,100368384
79,135,134,134,0,0,0,0,134,4,15776,15458,532,19,18.8,99618816
80,134,133,133,0,0,0,0,133,5,15847,15529,655,21,16.07,101859328
81,135,138,138,0,0,0,0,138,5,15933,15608,596,23,16.86,97136640
82,136,135,135,0,0,0,0,135,5,0,0,0,0,0,0
83,135,135,135,0,0,0,0,135,5,15436,15122,461,24,14.32,103088128
84,135,135,135,0,0,0,0,135,5,15498,15179,409,23,17.18,104624128
85,134,129,132,0,0,0,0,132,14,15521,15202,411,25,17.37,105631744
86,136,140,137,0,0,0,0,137,8,15509,15193,472,21,18.3,104148992
87,135,135,135,0,0,0,0,135,11,15569,15248,431,25,19.32,104325120
88,135,136,136,0,0,0,0,136,4,15624,15310,419,24,17.64,100020224
89,134,135,135,0,0,0,0,135,6,15673,15358,681,17,21.94,101339136
90,136,134,134,0,0,0,0,134,4,15721,15403,399,26,22.07,101838848
91,134,136,136,0,0,0,0,136,7,15769,15450,412,19,21.17,100147200
92,136,134,134,0,0,0,0,134,6,15814,15494,448,19,16.95,100151296
93,135,135,135,0,0,0,0,135,5,15858,15535,422,19,17.18,101154816
94,134,135,135,0,0,0,0,135,5,15897,15579,419,22,16.44,101199872
95,136,135,135,0,0,0,0,135,4,0,0,0,0,0,0
96,134,136,136,0,0,0,0,136,5,15397,15078,463,21,18.61,101072896
97,136,134,134,0,0,0,0,134,5,15434,15117,401,24,14.58,102801408
98,134,136,136,0,0,0,0,136,5,15476,15159,416,25,18.79,106852352
99,136,135,135,0,0,0,0,135,5,15525,15205,588,19,16.16,105562112
100,135,135,135,0,0,0,0,135,5,15598,15274,583,19,16.15,105717760
101,134,135,135,0,0,0,0,135,4,15634,15315,556,19,18.47,105586688
102,135,135,135,0,0,0,0,135,4,15691,15373,440,22,17.23,105271296
103,136,134,134,0,0,0,0,134,5,15737,15421,390,23,16.17,106762240
104,134,136,136,0,0,0,0,136,5,15797,15479,385,23,18.7,106754048
105,136,135,135,0,0,0,0,135,4,15838,15519,422,19,18.9,103825408
106,135,135,135,0,0,0,0,135,5,15880,15556,424,19,17.62,105406464
107,135,133,133,0,0,0,0,133,6,15922,15599,404,25,16.26,105529344
108,135,135,135,0,0,0,0,135,6,15448,15128,650,29,19.62,105906176
109,134,136,136,0,0,0,0,136,10,0,0,0,0,0,0
110,136,136,136,0,0,0,0,136,6,15513,15189,624,22,19.91,105476096
111,134,133,133,0,0,0,0,133,5,15549,15231,603,22,17.89,106151936
112,135,136,136,0,0,0,0,136,5,15581,15266,676,23,17.06,106520576
