second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,62,0,0,0,0,0,0,0,62,8998,8982,26187,7910,5.82,710131712
2,273,287,0,0,287,0,0,287,85,8426,8251,27701,8163,12.64,715288576
3,156,204,0,0,204,0,0,204,78,8464,8336,28558,8404,33.81,722857984
4,97,48,0,0,48,0,0,48,59,8396,8381,28302,8189,14.89,719126528
5,249,262,0,0,268,0,0,268,205,8217,7990,31045,8674,31.08,729227264
6,410,97,0,0,91,0,0,91,349,8736,8534,31797,8977,30.94,733646848
7,199,347,0,0,347,0,0,347,365,8988,8907,31928,9014,35.5,741724160
8,140,341,0,0,341,0,0,341,204,8914,8878,30558,8974,34.18,749776896
9,31,31,0,0,31,0,0,31,31,8769,8754,30177,8635,2.81,744222720
12,295,0,0,0,1,0,0,1,295,8518,8503,30177,8530,0.75,742625280
13,131,360,0,0,362,0,0,362,218,8239,7850,31616,9216,25.19,757891072
14,298,314,0,0,311,0,0,311,62,8452,8396,29656,9101,35.23,762634240
15,16,66,0,0,66,0,0,66,52,8455,8440,30290,9253,22.06,764637184
16,231,178,0,0,178,0,0,178,71,8332,8245,30847,9405,14.78,768757760
17,367,45,0,0,45,0,0,45,375,8526,8190,35228,10121,33.32,785866752
18,188,457,0,0,457,0,0,457,385,9032,8981,34234,9483,37.21,780156928
19,448,0,0,0,0,0,0,0,554,9443,8884,39203,10964,29.14,819445760
20,165,205,0,0,205,0,0,205,712,0,0,0,0,0,0
21,138,469,0,0,469,0,0,469,183,9090,8470,39392,10345,30.96,822812672
22,150,332,0,0,332,0,0,332,333,9346,9024,40857,10269,32,832262144
23,15,15,0,0,15,0,0,15,16,9242,9228,32514,9689,21.76,823992320
24,61,20,0,0,20,0,0,20,52,9122,9108,32624,9705,2.82,824705024
25,261,267,0,0,272,0,0,272,54,9509,9465,33855,9925,20.89,830861312
26,84,120,0,0,115,0,0,115,46,9934,9920,34247,9909,20.74,830459904
27,215,79,0,0,79,0,0,79,159,0,0,0,0,0,0
28,219,325,0,0,325,0,0,325,148,10255,10078,33658,10050,17.26,834031616
29,229,233,0,0,234,0,0,234,63,9910,9858,32473,9935,29.5,788090880
30,285,270,0,0,278,0,0,278,56,10483,10418,32875,10230,35.19,693964800
31,360,152,0,0,143,0,0,143,282,11086,10978,35384,10534,34.11,699916288
32,234,339,0,0,339,0,0,339,258,11111,11066,36285,10344,34.1,695975936
33,251,220,0,0,225,0,0,225,352,11499,10826,41938,10648,32.55,718692352
34,167,310,0,0,305,0,0,305,142,0,0,0,0,0,0
35,307,100,0,0,100,0,0,100,239,11244,11188,35349,10474,32.62,714448896
36,154,329,0,0,329,0,0,329,240,11664,11650,36440,10467,30.91,717471744
37,278,255,0,0,255,0,0,255,147,11492,11340,38597,10747,30.98,723001344
38,287,253,0,0,253,0,0,253,164,11432,11314,40475,10774,30.35,732246016
39,323,221,0,0,221,0,0,221,223,0,0,0,0,0,0
40,212,126,0,0,129,0,0,129,416,12327,11868,47132,11695,29.96,767582208
41,154,341,0,0,338,0,0,338,306,12922,12771,39787,11327,42.18,763461632
42,89,211,0,0,211,0,0,211,125,13207,13192,39299,10920,19.85,763699200
44,30,30,0,0,30,0,0,30,30,0,0,0,0,0,0
48,245,55,0,0,55,0,0,55,190,10459,10444,38932,10085,1.3,750825472
49,239,172,0,0,172,0,0,172,411,11070,10584,45308,11070,28.29,775245824
50,178,425,0,0,426,0,0,426,258,11235,11134,44707,10251,43.04,767545344
51,35,45,0,0,44,0,0,44,25,10505,10491,32519,10210,13.04,767131648
52,83,83,0,0,83,0,0,83,53,0,0,0,0,0,0
53,264,223,0,0,224,0,0,224,66,10009,9993,33084,10118,10.29,767803392
54,270,266,0,0,268,0,0,268,64,10500,10452,34368,10227,35.02,769896448
55,257,263,0,0,262,0,0,262,50,10466,10415,33673,10473,40.02,773861376
56,272,262,0,0,260,0,0,260,57,10916,10848,34551,10778,33.36,778870784
57,273,135,0,0,135,0,0,135,187,11287,11215,35570,11137,33.11,780644352
58,282,0,0,0,0,0,0,0,469,10893,10593,38945,11616,16.76,792338432
59,73,259,0,0,259,0,0,259,521,0,0,0,0,0,0
60,186,355,0,0,355,0,0,355,284,10704,10655,37759,11256,31.01,787603456
61,0,114,0,0,114,0,0,114,0,10800,10785,38360,11217,20.14,781778944
62,176,176,0,0,176,0,0,176,50,10332,10273,39136,11219,14.56,786980864
64,164,133,0,0,134,0,0,134,54,9630,9587,39548,11003,15.81,782258176
65,240,231,0,0,230,0,0,230,59,9956,9894,40727,10999,31.81,783622144
66,183,175,0,0,175,0,0,175,52,0,0,0,0,0,0
67,249,256,0,0,261,0,0,261,67,9569,9504,36111,10811,33.98,780980224
68,453,23,0,0,18,0,0,18,471,9268,9127,38388,11235,32.89,789254144
69,304,7,0,0,7,0,0,7,775,9321,8719,43251,12418,32.46,819642368
70,27,467,0,0,469,0,0,469,772,9472,8845,44662,12350,30.77,843587584
71,169,301,0,0,299,0,0,299,196,9448,9335,39542,11740,34.56,831324160
72,156,148,0,0,148,0,0,148,341,9609,9210,42638,11802,27.65,835919872
73,159,347,0,0,347,0,0,347,154,0,0,0,0,0,0
74,461,18,0,0,18,0,0,18,459,9986,9918,37745,11583,29.85,833347584
75,29,418,0,0,418,0,0,418,478,10461,9924,43584,12394,27.09,858882048
76,121,147,0,0,150,0,0,150,75,10900,10886,40173,11561,24.95,838602752
77,212,228,0,0,225,0,0,225,77,11316,11211,41900,11432,24.86,840728576
78,231,235,0,0,242,0,0,242,64,11759,11678,42322,11561,31.27,839507968
79,411,95,0,0,88,0,0,88,340,11812,11523,46980,11987,31.3,855846912
80,20,217,0,0,225,0,0,225,360,0,0,0,0,0,0
81,0,143,0,0,135,0,0,135,0,11465,11418,38393,11256,29.85,848211968
87,78,30,0,0,37,0,0,37,73,9001,8987,38191,10421,0.94,834654208
88,191,199,0,0,206,0,0,206,59,9310,9235,33640,10401,23.55,829251584
89,353,154,0,0,140,0,0,140,244,9157,9023,36243,10753,33.2,840032256
90,0,239,0,0,239,0,0,239,0,9009,8995,33341,10236,24.5,830267392
91,82,42,0,0,48,0,0,48,49,8890,8815,34146,9973,6.32,826122240
92,359,33,0,0,29,0,0,29,377,0,0,0,0,0,0
93,0,366,0,0,364,0,0,364,0,9091,8681,35973,10210,31.55,838414336
