series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,38377,21.849,978.157,474.060,2561.641,3659.111,4944.614,5894.906,5930.702
remove,38377,0.882,10.776,3.126,13.862,83.658,135.268,212.089,316.014
insert,38371,1.153,10.659,3.136,14.213,77.268,126.961,248.791,1866.374
find_output,38371,0.748,7.626,2.185,11.013,23.840,120.991,166.658,319.005
task_cycle,38377,2038.514,3310.901,2821.974,4970.871,6199.003,9109.808,9623.272,10318.048
scheduler_queue,38377,0.004,1115.642,857.653,2375.560,3214.972,4454.130,7782.139,7975.340
task_execution,38377,2038.501,3310.902,2821.910,4970.845,6199.022,9109.744,9623.179,10317.964
offered_to_finished,38377,2044.045,4426.544,3846.647,7010.664,9104.290,12172.737,13557.427,13821.855
offered_to_finished_arrival,38377,2044.045,4426.544,3846.647,7010.664,9104.290,12172.737,13557.427,13821.855
connection_open,38377,10.497,508.315,210.840,1367.668,1714.346,3003.559,4288.571,4402.310
demand_to_ready,38377,19.792,965.901,462.332,2546.086,3640.484,4913.149,5865.904,5910.593
driver_open,38377,10.497,508.315,210.840,1367.668,1714.346,3003.559,4288.571,4402.310
handshake_hello,38377,0.485,9.842,1.082,24.386,49.212,139.462,197.887,314.049
handshake_auth,115131,0.419,12.429,2.842,27.317,76.513,142.041,245.045,315.349
client_create,38377,1.485,23.526,10.077,83.128,107.931,143.321,283.959,5059.602
