second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
0,1,240,8,0,0,0,249,249,269,13,268,0.483
1,0,450,8,0,0,0,458,458,481,13,480,0.864
2,0,450,224,0,0,0,458,458,481,229,480,0.864
3,0,171,458,0,0,0,629,629,652,463,651,1.172
4,3,744,458,0,0,0,1202,1202,1223,460,1222,2.2
5,3,922,652,0,0,0,1404,1404,1424,654,1423,2.562
6,0,732,1202,0,0,0,1558,1558,1577,1203,1576,2.838
7,0,356,1404,0,0,0,1558,1558,1577,1405,1576,2.838
8,0,154,1558,0,0,0,1558,1558,1577,1559,1576,2.838
9,0,0,1558,0,0,0,1558,1558,1577,1559,1576,2.838
10,0,0,1558,0,0,0,1558,1558,1577,1559,1576,2.838
11,0,0,1558,0,0,0,1558,1558,1576,1558,1575,2.836
12,1,159,1558,0,0,0,1718,1718,1736,1558,1735,3.124
13,0,853,1558,0,0,0,2411,2411,2429,1558,2428,4.372
14,7,1324,1690,0,2,0,3023,3023,3041,1690,3040,5.474
15,0,1356,2352,0,0,0,3356,3356,3374,2352,3373,6.074
16,0,850,2960,0,0,0,3356,3356,3374,2960,3373,6.074
17,0,282,3356,0,0,0,3449,3449,3467,3356,3466,6.241
18,6,666,3356,0,0,0,4022,4022,4040,3356,4039,7.273
19,0,666,3392,0,0,0,4022,4022,4041,3392,4040,7.275
20,0,474,3966,0,2,0,4024,4022,4043,3966,4040,7.275
21,10,494,4022,0,0,0,4516,4516,4534,4022,4533,8.162
22,2,1085,4022,0,0,0,5107,5107,5125,4022,5124,9.227
23,2,1151,4488,0,5,0,5482,5482,5500,4488,5499,9.902
24,0,864,5044,0,1,0,5483,5482,5501,5044,5499,9.902
25,0,290,5482,0,0,0,5482,5482,5500,5482,5499,9.902
26,0,0,5482,0,0,0,5482,5482,5500,5482,5499,9.902
27,1,206,5480,0,0,0,5686,5686,5704,5480,5703,10.269
28,0,206,5476,0,0,0,5682,5682,5700,5476,5699,10.262
29,0,206,5682,0,0,0,5682,5682,5700,5682,5699,10.262
30,0,0,5680,0,0,0,5680,5680,5698,5680,5697,10.258
31,5,350,5680,0,0,0,5891,5891,5909,5680,5908,10.638
32,2,735,5420,0,0,0,5967,5967,5985,5420,5984,10.775
33,8,964,5568,0,0,0,6459,6459,6477,5568,6476,11.661
34,3,1481,5580,0,0,0,6905,6905,6923,5580,6922,12.464
35,2,1472,5974,0,1,0,6984,6984,7002,5974,7001,12.606
36,2,788,6154,0,1,0,6893,6893,6911,6154,6910,12.443
37,0,683,6232,0,0,0,6870,6870,6888,6232,6887,12.401
38,2,780,6450,0,1,0,7230,7230,7248,6450,7247,13.049
39,0,764,6716,0,0,0,7410,7410,7428,6716,7427,13.374
40,9,672,7139,0,1,0,7798,7797,7816,7139,7814,14.07
41,1,725,7410,0,0,0,8136,8136,8154,7410,8153,14.681
