second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,225,185,146,79,0,0,72,79,75,76,0,0,0,0,76,185,7673,7662,3721,28,3.5,331862016
1,0,40,79,146,0,0,66,225,38,149,0,0,0,0,149,225,7994,7360,5430,633,31.67,282689536
2,0,0,0,0,0,76,0,225,4,0,76,76,76,0,228,0,7994,7308,6048,703,9.08,292114432
3,372,332,0,0,0,149,0,149,315,0,149,149,149,0,447,332,7322,6966,3900,242,8.23,284041216
4,0,40,372,269,0,0,229,269,365,257,0,0,0,0,257,372,7456,6476,8639,1110,25.71,328572928
5,101,101,101,204,0,0,102,473,77,216,0,0,0,0,216,473,7144,6016,9585,1144,46.35,341098496
6,77,77,77,77,0,253,72,529,71,77,257,254,253,0,841,550,6641,5210,12009,1447,19.38,360439808
7,0,0,0,0,0,220,0,297,5,0,216,219,220,0,655,0,6492,5837,9763,815,28.75,366903296
8,0,0,0,0,0,77,0,77,2,0,77,77,77,0,231,0,6380,6040,7186,259,7.16,354066432
12,899,275,130,36,0,0,94,36,138,36,0,0,0,0,36,275,4562,4550,6091,28,1.16,350011392
13,0,128,252,241,0,0,147,277,144,240,0,0,0,0,240,403,4853,4274,5793,744,15.58,374878208
14,0,174,166,231,0,35,104,476,62,232,36,36,36,0,340,544,5417,4158,10657,1286,49.79,353488896
15,0,228,134,174,0,152,40,581,107,174,152,151,151,0,628,641,5579,3852,14455,1715,48.04,378392576
16,0,94,217,158,0,309,74,495,119,158,318,318,316,0,1110,627,6011,4223,15487,1847,40.43,419459072
17,333,102,49,59,0,181,59,381,52,59,176,177,176,0,588,331,5952,4807,12905,1048,47.54,411361280
18,0,231,227,170,0,81,106,354,194,170,86,86,79,0,421,542,5626,4492,13998,1040,21.89,416976896
19,0,0,57,163,0,141,107,400,58,163,131,131,141,0,566,0,6068,4664,12250,1431,40.71,434429952
20,0,0,0,0,0,170,0,333,7,0,170,170,170,0,510,0,5419,4382,10484,1027,24.14,435232768
21,483,265,234,125,0,160,109,224,138,125,163,163,161,0,612,361,4992,4370,8096,517,7.83,420704256
22,247,258,194,239,0,3,109,364,90,237,0,0,2,0,239,523,5471,4624,8691,842,41.34,425418752
23,0,164,157,221,0,8,157,577,157,195,17,17,8,0,237,682,6095,4624,13047,1672,49.96,339742720
24,0,43,145,145,0,349,102,577,104,173,344,340,349,0,1206,680,6726,4846,15879,1850,51.46,380014592
25,0,0,0,0,0,151,0,373,5,0,148,151,151,0,450,0,6603,5366,12891,1108,34.6,367030272
26,0,0,0,0,0,222,0,222,5,0,221,222,222,0,665,0,6319,5712,9862,463,10.68,349421568
27,103,103,103,103,0,0,83,103,92,103,0,0,0,0,103,103,5535,5474,7823,28,6.62,309366784
29,0,0,0,0,0,103,0,103,6,0,103,103,103,0,309,0,5796,5474,10291,336,1.76,327630848
31,175,175,175,156,0,0,103,156,104,146,0,0,0,0,146,175,5693,5680,8842,27,1.17,323203072
32,753,316,185,125,0,0,121,281,133,130,0,0,0,0,130,491,6218,5680,13042,553,31.58,384327680
33,0,297,259,79,0,17,259,360,424,84,18,18,17,0,137,778,6471,5230,11202,1413,33.72,422625280
34,46,168,62,321,0,40,259,641,265,321,49,47,48,0,465,901,0,0,0,0,0,0
35,319,38,292,230,0,303,152,670,293,230,293,295,295,0,1113,905,7906,5526,20980,2502,41.27,478220288
36,0,195,213,229,0,143,99,733,101,229,271,249,148,0,897,791,7490,5435,18022,1942,48.56,470646784
