series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,38377,41.770,1169.399,903.837,2185.095,3072.287,4613.162,5855.871,5909.014
remove,38377,2.429,33.858,7.898,98.622,154.269,290.902,383.447,417.684
insert,38367,2.439,39.525,12.639,117.643,151.035,205.798,478.570,587.224
find_output,38367,1.112,45.807,14.531,119.095,174.652,513.011,734.402,752.587
task_cycle,38377,2081.311,3677.252,3365.717,5158.742,6524.862,8753.608,9382.352,9863.772
scheduler_queue,38377,0.006,972.611,702.497,2371.667,2889.276,4507.359,5084.901,5102.728
task_execution,38377,2081.302,3677.232,3365.695,5158.709,6524.820,8753.560,9382.298,9863.716
offered_to_finished,38377,2082.302,4649.843,4169.870,7184.986,8852.517,11947.069,12841.750,12878.284
offered_to_finished_arrival,38377,2082.302,4649.843,4169.870,7184.986,8852.517,11947.069,12841.750,12878.284
connection_open,38377,23.363,432.371,370.622,757.877,947.704,2171.283,2302.669,2311.689
demand_to_ready,38377,38.601,1134.624,878.398,2110.612,2921.021,4543.388,5735.219,5859.219
driver_open,38377,23.363,432.371,370.622,757.877,947.704,2171.283,2302.669,2311.689
handshake_hello,38377,0.838,88.635,69.050,188.866,253.871,368.306,437.706,550.806
handshake_auth,38377,0.754,65.942,41.721,162.676,206.898,327.416,413.429,440.096
client_create,38377,0.393,18.815,5.477,44.755,119.719,207.350,344.599,410.248
