second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
0,3,595,7474,0,0,0,7941,7941,7951,7474,7950,14.315
1,0,675,7346,0,0,0,8021,8021,8031,7346,8030,14.459
2,0,675,6878,0,1,30,7501,7501,7511,6878,7510,13.523
3,6,558,7250,0,1,216,7698,7698,7708,7250,7707,13.878
4,3,1116,6580,0,0,38,7505,7505,7515,6580,7514,13.53
5,0,1419,6342,0,0,30,7761,7761,7771,6342,7770,13.991
6,1,1257,5870,0,1,170,7258,7258,7268,5870,7267,13.085
7,0,616,6174,0,7,226,6794,6789,6804,6174,6798,12.241
8,0,231,5868,0,0,82,6022,6022,6032,5868,6031,10.86
9,0,0,5604,0,0,76,5680,5680,5690,5604,5689,10.244
10,0,0,5180,0,0,0,5180,5180,5191,5180,5190,9.345
11,0,0,4750,0,0,0,4750,4750,4762,4750,4761,8.573
12,0,263,4526,0,0,0,4622,4622,4633,4526,4632,8.341
13,2,930,4274,0,0,0,5204,5204,5215,4274,5214,9.389
14,5,1469,4294,0,2,30,5722,5722,5733,4294,5732,10.321
15,5,1619,3934,0,0,75,5633,5633,5644,3934,5643,10.161
16,1,2034,4266,0,0,144,6290,6290,6301,4266,6300,11.344
17,2,1643,4900,0,5,228,6316,6315,6327,4900,6325,11.389
18,4,1508,4604,0,0,80,6125,6125,6136,4604,6135,11.047
19,6,1228,4850,0,0,235,6065,6065,6077,4850,6076,10.941
20,0,954,4426,0,0,130,5250,5250,5262,4426,5261,9.473
21,7,791,4516,0,0,163,5371,5371,5383,4516,5382,9.691
22,17,1461,4624,0,0,64,6104,6104,6116,4624,6115,11.011
23,1,1654,4744,0,1,62,6461,6461,6473,4744,6472,11.654
24,0,1791,5092,0,7,133,6764,6764,6776,5092,6775,12.2
25,0,1440,5642,0,0,193,6618,6618,6630,5642,6629,11.937
26,0,462,5474,0,5,231,5859,5859,5871,5474,5870,10.57
27,0,309,5474,0,0,76,5783,5783,5795,5474,5794,10.433
28,0,309,5474,0,0,0,5783,5783,5795,5474,5794,10.433
29,0,309,5680,0,1,103,5783,5783,5795,5680,5794,10.433
30,0,0,5680,0,0,103,5783,5783,5795,5680,5794,10.433
31,28,524,5680,0,0,0,6164,6164,6176,5680,6175,11.119
32,4,1496,5628,0,0,0,6726,6726,6738,5628,6737,12.131
33,1,1831,5250,0,0,11,7092,7092,7105,5250,7104,12.792
34,3,1809,5580,0,0,86,7378,7378,7390,5580,7389,13.305
35,15,2144,5598,0,1,16,7774,7774,7786,5598,7785,14.018
36,2,1695,6032,0,2,303,7918,7917,7930,6032,7928,14.276
37,2,1417,5939,0,2,190,7439,7439,7451,5939,7450,13.415
38,0,1307,6024,0,0,101,7427,7427,7439,6024,7438,13.393
39,0,1771,6392,0,8,100,8087,8084,8099,6392,8095,14.576
40,3,1298,6874,0,0,179,8267,8267,8279,6874,8278,14.906
41,2,1676,6984,0,1,79,8663,8663,8675,6984,8674,15.619
42,9,1706,7539,0,4,240,8964,8964,8976,7539,8975,16.161
43,0,1171,7802,0,1,199,9030,9030,9042,7802,9041,16.28
44,0,960,8156,0,0,180,8987,8987,8999,8156,8998,16.202
45,1,816,8300,0,2,120,8945,8945,8957,8300,8956,16.127
46,1,1052,8166,0,5,81,9245,9245,9257,8166,9256,16.667
47,0,1008,7590,0,0,66,8522,8522,8534,7590,8533,15.365
48,0,579,7886,0,7,194,8388,8384,8400,7886,8395,15.117
49,0,0,7508,0,0,116,7624,7624,7636,7508,7635,13.748
50,0,0,7254,0,0,0,7254,7254,7267,7254,7266,13.084
51,0,231,6972,0,0,0,7203,7203,7216,6972,7215,12.992
52,0,1478,6842,0,0,0,8251,8251,8263,6842,8262,14.877
53,1,1632,6738,0,6,47,8350,8350,8362,6738,8361,15.055
54,0,1541,6646,0,0,79,8158,8158,8170,6646,8169,14.71
55,0,1389,6154,0,3,219,7423,7423,7435,6154,7434,13.386
56,3,402,6568,0,0,364,7056,7056,7068,6568,7067,12.725
57,0,402,6568,0,0,4,6974,6974,6986,6568,6985,12.578
58,0,402,6568,0,1,71,6970,6970,6982,6568,6981,12.57
59,4,738,6630,0,0,134,7372,7372,7384,6630,7383,13.294
60,0,1286,6630,0,0,0,7916,7916,7928,6630,7927,14.274
61,4,2153,6716,0,0,43,8912,8912,8924,6716,8923,16.067
62,5,2141,6888,0,0,60,9075,9075,9087,6888,9086,16.361
63,0,2436,7211,0,0,310,9502,9502,9514,7211,9513,17.13
64,1,1694,7472,0,4,179,9247,9245,9259,7472,9256,16.667
65,3,1514,7918,0,1,155,9562,9562,9574,7918,9573,17.238
67,2,2683,6863,0,3,144,9562,9562,9574,6863,9573,17.238
68,0,2326,7058,0,0,138,9329,9329,9341,7058,9340,16.818
69,6,2946,6822,0,0,161,9491,9491,9503,6822,9502,17.11
70,0,2546,7020,0,0,181,9393,9393,9405,7020,9404,16.933
71,0,1501,7586,0,3,300,9148,9144,9160,7586,9155,16.485
72,0,1152,7489,0,2,232,8204,8204,8216,7489,8215,14.792
73,0,416,7474,0,5,238,7960,7960,7972,7474,7971,14.353
74,0,1394,7076,0,0,3,8260,8260,8272,7076,8271,14.893
75,0,1846,6866,0,3,87,8742,8738,8754,6866,8749,15.754
76,4,1692,7188,0,0,242,8854,8854,8866,7188,8865,15.963
77,5,1338,7494,0,0,213,8729,8729,8741,7494,8740,15.738
78,4,1097,7532,0,1,200,8658,8657,8670,7532,8668,15.608
79,9,1551,7707,0,0,86,9110,9110,9122,7707,9121,16.424
80,0,1170,8016,0,0,164,9110,9110,9122,8016,9121,16.424
81,0,561,8584,0,1,191,8960,8959,8972,8584,8970,16.152
82,0,0,8584,0,0,137,8721,8721,8733,8584,8732,15.723
83,0,0,8584,0,0,0,8584,8584,8596,8585,8595,15.477
84,0,0,8324,0,0,0,8324,8324,8337,8325,8336,15.01
85,5,810,8174,0,0,0,8548,8548,8561,8175,8560,15.414
86,3,1417,7398,0,0,0,8815,8815,8828,7399,8827,15.894
87,2,2141,7404,0,0,3,9456,9456,9469,7405,9468,17.049
88,0,2071,7907,0,4,119,9509,9509,9522,7908,9521,17.144
89,0,915,8286,0,0,224,9040,9040,9053,8287,9052,16.3
90,4,704,8580,0,4,163,9343,9343,9356,8581,9355,16.845
91,9,1241,8546,0,0,0,9787,9787,9800,8547,9799,17.645
92,7,1991,8438,0,0,35,10327,10327,10340,8439,10339,18.617
93,0,1897,8376,0,3,132,10118,10115,10131,8377,10127,18.235
94,0,2007,8262,0,4,146,10145,10145,10158,8263,10157,18.289
95,5,1581,8230,0,0,175,9848,9848,9861,8231,9860,17.755
96,8,2060,8388,0,2,50,10314,10314,10327,8389,10326,18.594
97,4,2418,8303,0,0,48,10616,10615,10629,8304,10627,19.136
98,0,2499,8268,0,0,159,10740,10740,10753,8269,10752,19.361
99,1,2237,8400,0,0,117,10666,10666,10679,8401,10678,19.228
100,0,2842,8149,0,0,187,11135,11135,11148,8150,11147,20.072
101,0,2376,7726,0,1,205,10305,10305,10318,7727,10317,18.577
102,4,2587,7692,0,0,193,10030,10030,10046,7696,10045,18.088
103,0,2723,7598,0,5,82,10403,10403,10419,7602,10418,18.759
104,2,2695,8493,0,2,261,10464,10464,10480,8497,10479,18.869
105,3,1956,8642,0,2,229,10680,10680,10696,8646,10695,19.258
106,0,1667,8890,0,4,325,10177,10175,10193,8894,10190,18.349
107,4,1246,8664,0,2,55,9942,9941,9958,8668,9956,17.927
108,8,1458,8464,0,0,72,9930,9930,9946,8468,9945,17.908
109,0,2475,8165,0,3,26,10669,10669,10685,8169,10684,19.238
110,0,2298,8310,0,0,22,10612,10612,10628,8314,10627,19.136
111,0,2375,8264,0,0,191,10480,10478,10496,8268,10493,18.894
112,2,2019,8468,0,0,188,10515,10515,10530,8471,10529,18.959
113,2,1485,9427,0,4,285,10540,10540,10555,9430,10554,19.004
114,0,532,9782,0,2,132,10210,10210,10225,9785,10224,18.41
115,0,201,9916,0,0,121,10047,10047,10062,9919,10061,18.117
116,0,345,9916,0,0,39,10255,10255,10270,9919,10269,18.491
117,3,1181,9910,0,0,0,10806,10806,10821,9913,10820,19.483
118,3,2052,9278,0,0,0,10830,10830,10845,9281,10844,19.526
119,23,2573,8793,0,0,17,11119,11119,11134,8796,11133,20.047
121,1,2205,9245,0,2,103,11504,11504,11519,9248,11518,20.74
122,8,2493,9440,0,0,156,11794,11794,11809,9443,11808,21.262
124,0,2688,9422,0,4,226,11665,11665,11680,9425,11679,21.03
125,0,1305,9612,0,0,160,11024,11024,11039,9615,11038,19.876
126,0,774,9934,0,0,215,10641,10641,10656,9937,10655,19.186
127,0,165,10048,0,0,168,10258,10258,10273,10051,10272,18.496
128,0,264,9670,0,0,50,9934,9934,9949,9673,9948,17.913
129,0,264,9494,0,0,0,9758,9758,9773,9497,9772,17.596
130,0,264,9284,0,0,83,9372,9372,9387,9287,9386,16.901
131,2,609,9042,0,0,83,9485,9485,9500,9045,9499,17.105
132,1,1104,8582,0,0,0,9599,9599,9611,8582,9610,17.304
133,0,1273,8466,0,0,140,9693,9693,9705,8466,9704,17.474
134,0,627,8376,0,2,193,9119,9119,9130,8376,9129,16.438
135,1,618,8156,0,0,172,8859,8859,8871,8156,8870,15.972
136,5,1163,7414,0,0,25,8392,8392,8404,7414,8403,15.131
137,2,1393,7228,0,1,145,8604,8604,8616,7228,8615,15.513
138,0,1476,7318,0,3,154,8848,8848,8860,7318,8859,15.952
139,0,1476,7530,0,0,154,8734,8734,8747,7530,8746,15.749
140,0,600,7894,0,4,158,8365,8365,8378,7894,8377,15.084
141,0,42,7478,0,0,113,7633,7633,7646,7478,7645,13.766
142,0,0,7306,0,0,1,7307,7307,7320,7306,7319,13.179
143,7,957,6492,0,0,0,7236,7236,7249,6492,7248,13.051
144,3,1585,6038,0,0,0,7572,7572,7585,6038,7584,13.656
145,0,1644,5844,0,0,2,7484,7484,7497,5844,7496,13.498
146,0,1617,6088,0,1,70,7484,7484,7497,6088,7496,13.498
147,0,1059,6936,0,4,428,7427,7427,7440,6936,7439,13.395
148,0,0,6936,0,0,0,6936,6936,6949,6936,6948,12.511
149,0,0,6908,0,0,0,6908,6908,6921,6908,6920,12.461
150,9,633,6534,0,0,0,7020,7020,7034,6534,7033,12.664
151,0,960,6122,0,0,0,7082,7082,7096,6122,7095,12.776
152,0,960,5860,0,0,88,6786,6786,6800,5860,6799,12.243
153,0,486,6147,0,2,229,6472,6472,6486,6147,6485,11.677
154,0,498,5652,0,0,146,6150,6150,6164,5652,6163,11.098
155,0,498,5000,0,0,0,5498,5498,5512,5000,5511,9.923
156,1,498,4726,0,1,68,5060,5060,5074,4726,5073,9.135
157,3,1042,4552,0,0,118,5594,5594,5608,4552,5607,10.096
158,1,1396,4552,0,0,0,5948,5948,5962,4552,5961,10.734
159,10,1974,4702,0,1,123,6701,6701,6715,4702,6714,12.09
160,1,2017,4855,0,6,36,6844,6841,6858,4855,6854,12.342
161,2,2235,5370,0,0,99,7700,7700,7714,5370,7713,13.889
162,3,2598,5442,0,0,58,8071,8071,8085,5442,8084,14.557
163,1,2179,5850,0,0,154,8184,8184,8198,5850,8197,14.76
164,0,2694,5691,0,1,99,8114,8114,8128,5691,8127,14.634
165,1,2659,5835,0,4,166,8535,8535,8550,5835,8549,15.394
166,14,2202,6286,0,0,91,8400,8400,8415,6286,8414,15.151
167,1,2045,6566,0,0,186,8789,8789,8804,6567,8803,15.851
168,1,2314,6490,0,3,82,8835,8835,8850,6491,8849,15.934
169,0,1909,6929,0,4,295,8700,8697,8715,6930,8711,15.686
170,0,972,6760,0,0,165,7871,7871,7886,6761,7885,14.198
171,4,1078,6762,0,0,48,7847,7847,7862,6763,7861,14.155
172,1,1216,7272,0,5,248,8460,8460,8475,7273,8474,15.259
173,0,984,7520,0,0,113,8259,8259,8274,7521,8273,14.897
174,0,609,7930,0,9,182,8248,8248,8263,7931,8262,14.877
175,0,0,7930,0,0,49,7979,7979,7994,7931,7993,14.393
176,13,420,7722,0,0,0,7722,7722,7737,7723,7736,13.93
177,7,1035,6834,0,0,0,7869,7869,7884,6835,7883,14.195
178,2,1309,6834,0,0,0,8145,8145,8160,6835,8159,14.692
179,0,1255,7362,0,3,242,8201,8199,8216,7363,8214,14.791
180,0,381,7636,0,0,171,8006,8006,8022,7637,8021,14.443
181,0,0,7744,0,0,38,7782,7782,7798,7745,7797,14.04
182,0,0,7640,0,0,0,7640,7640,7656,7641,7655,13.784
183,0,0,7104,0,0,0,7104,7104,7120,7105,7119,12.819
184,0,0,7104,0,0,0,7104,7104,7120,7105,7119,12.819
185,0,0,7104,0,0,0,7104,7104,7120,7105,7119,12.819
186,2,662,6898,0,0,0,7557,7557,7573,6899,7572,13.635
187,23,1563,6772,0,0,0,8358,8358,8374,6773,8373,15.077
188,4,1966,6859,0,2,102,8875,8874,8891,6860,8889,16.006
189,3,2060,7100,0,0,128,9149,9149,9165,7101,9164,16.501
