series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,38377,21.001,999.357,538.793,2509.402,5145.785,6554.935,6834.107,7122.665
remove,38377,1.300,13.913,3.258,26.097,105.766,151.019,220.361,539.876
insert,38374,1.172,14.607,3.453,28.797,102.725,179.668,266.899,534.383
find_output,38374,0.779,10.876,2.722,16.870,73.946,136.736,225.493,358.059
task_cycle,38377,2035.617,3342.123,2825.128,4980.316,8007.703,10312.835,10872.852,11211.708
scheduler_queue,38377,0.004,1204.082,915.197,2792.950,3351.844,5193.275,6051.880,6097.277
task_execution,38377,2035.597,3342.145,2825.099,4980.278,8007.631,10312.738,10872.747,11211.600
offered_to_finished,38377,2045.406,4546.227,3860.958,7063.846,11012.585,13556.796,14446.902,14468.495
offered_to_finished_arrival,38377,2045.406,4546.227,3860.958,7063.846,11012.585,13556.796,14446.902,14468.495
connection_open,38377,10.894,523.528,237.988,1285.238,2319.843,3638.317,4023.730,4160.591
demand_to_ready,38377,19.048,986.568,522.173,2491.399,5141.162,6538.147,6739.636,6974.032
driver_open,38377,10.894,523.528,237.988,1285.238,2319.843,3638.317,4023.730,4160.591
handshake_hello,38377,0.472,15.112,1.205,35.810,122.079,180.530,219.091,534.952
handshake_auth,115131,0.420,14.117,3.295,34.337,83.474,152.909,220.952,535.847
client_create,38377,1.469,38.045,16.436,115.955,137.504,185.001,370.301,5014.971
