second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
0,4,122,7232,0,0,0,7232,7232,7242,7232,7241,13.039
1,2,450,6872,0,0,0,7322,7322,7332,6872,7331,13.201
2,0,450,6860,0,1,0,7310,7310,7320,6860,7319,13.179
3,3,234,6998,0,1,0,7122,7121,7134,6998,7132,12.842
4,1,671,6682,0,0,0,7103,7103,7116,6682,7115,12.812
5,0,932,5784,0,0,0,6603,6603,6616,5784,6615,11.911
6,1,724,5694,0,7,0,6335,6335,6348,5694,6347,11.429
7,0,356,5702,0,1,0,5897,5896,5910,5702,5908,10.638
8,0,154,5738,0,0,0,5816,5816,5829,5738,5828,10.494
9,0,0,5606,0,0,0,5606,5606,5620,5606,5619,10.118
10,0,0,5174,0,0,0,5174,5174,5189,5174,5188,9.342
11,0,0,5150,0,0,0,5150,5150,5165,5150,5164,9.299
12,0,121,4481,0,0,0,4545,4545,4561,4481,4560,8.211
13,6,555,4274,0,0,0,4704,4704,4719,4274,4718,8.496
14,2,999,4148,0,0,0,4960,4960,4975,4148,4974,8.957
15,1,1112,4265,0,1,0,5298,5293,5313,4265,5307,9.556
16,1,1128,4710,0,46,0,5509,5509,5524,4710,5523,9.945
17,1,698,5069,0,1,0,5511,5509,5526,5069,5523,9.945
18,3,547,4800,0,6,0,5266,5266,5281,4800,5280,9.508
19,0,666,4672,0,0,0,5338,5338,5353,4672,5352,9.637
20,0,588,4530,0,3,0,4858,4858,4873,4530,4872,8.773
21,5,482,4624,0,0,0,5106,5106,5121,4624,5120,9.219
22,5,1010,4624,0,0,0,5636,5636,5651,4624,5650,10.174
23,1,1115,5078,0,1,0,6004,6004,6020,5078,6019,10.838
24,0,855,5490,0,2,0,6083,6082,6099,5490,6097,10.979
25,0,320,5690,0,0,0,5936,5936,5951,5690,5950,10.714
26,0,0,5472,0,0,0,5472,5472,5487,5472,5486,9.878
27,1,206,5472,0,0,0,5678,5678,5693,5472,5692,10.249
28,0,208,5472,0,0,0,5680,5680,5695,5472,5694,10.253
29,0,208,5678,0,0,0,5680,5680,5695,5678,5694,10.253
30,0,2,5680,0,0,0,5680,5680,5695,5680,5694,10.253
31,1,291,5680,0,0,0,5938,5938,5953,5680,5952,10.718
32,2,741,5646,0,0,0,6077,6077,6092,5646,6091,10.968
33,4,1038,5382,0,0,0,6400,6400,6415,5382,6414,11.549
34,0,1282,5784,0,0,0,6819,6819,6834,5784,6833,12.304
35,0,1170,5994,0,6,0,7164,7164,7179,5994,7178,12.925
36,5,1221,5809,0,3,0,6985,6982,7000,5809,6996,12.597
37,1,826,6254,0,1,0,6892,6892,6907,6254,6906,12.435
38,3,901,6402,0,1,0,7235,7235,7250,6402,7249,13.053
39,0,994,6764,0,0,0,7410,7410,7425,6764,7424,13.368
40,1,969,6974,0,0,0,7800,7800,7815,6974,7814,14.07
41,5,822,7410,0,0,0,8087,8087,8102,7410,8101,14.587
42,0,824,7762,0,3,0,8474,8472,8489,7762,8486,15.28
43,1,676,8021,0,1,0,8634,8634,8649,8021,8648,15.572
44,0,492,8230,0,0,0,8634,8634,8649,8231,8648,15.572
45,3,393,8252,0,0,0,8648,8648,8665,8253,8664,15.601
46,1,672,7814,0,0,0,8486,8486,8503,7815,8502,15.309
47,0,640,7560,0,0,0,7948,7948,7965,7561,7964,14.341
48,0,193,7664,0,1,0,7664,7664,7681,7665,7680,13.829
49,0,0,7508,0,0,0,7508,7508,7525,7509,7524,13.548
50,0,0,7168,0,0,0,7168,7168,7185,7169,7184,12.936
51,0,285,6842,0,0,0,7127,7127,7144,6843,7143,12.862
52,2,768,6842,0,0,0,7472,7472,7489,6843,7488,13.483
53,1,1032,6836,0,0,0,7705,7705,7722,6837,7721,13.903
54,0,776,6555,0,1,0,7252,7252,7269,6556,7268,13.087
55,0,308,6570,0,0,0,6812,6812,6829,6571,6828,12.295
56,4,268,6570,0,0,0,6838,6838,6855,6571,6854,12.342
57,0,268,6570,0,0,0,6838,6838,6855,6571,6854,12.342
58,0,268,6719,0,0,0,6838,6838,6855,6720,6854,12.342
59,8,476,6632,0,0,0,7112,7112,7129,6633,7128,12.835
