second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,225,108,89,84,0,0,24,84,21,82,0,0,0,0,82,108,7242,7232,22490,7013,10.18,781447168
1,0,117,136,141,0,0,50,225,50,143,0,0,0,0,143,225,7200,6872,25322,7493,20.53,679759872
2,0,0,0,0,0,82,0,225,3,0,82,82,82,0,246,0,7320,6860,26568,7688,11.1,662736896
3,372,115,96,85,0,143,38,143,37,85,143,143,143,0,514,115,7133,6928,25585,7438,4.88,649928704
4,0,257,276,287,0,0,23,372,18,287,0,0,0,0,287,372,7039,6682,26057,7733,24.04,653967360
5,101,101,101,101,0,85,20,466,17,101,85,85,85,0,356,473,6541,5784,29884,8038,31.93,671690752
6,77,77,77,77,0,255,46,388,46,77,258,258,257,0,850,392,6229,5526,30791,8060,19.14,677584896
7,0,0,0,0,0,133,0,208,4,0,130,130,131,0,391,0,5909,5540,30099,7779,15.25,683446272
8,0,0,0,0,0,77,0,77,6,0,77,77,77,0,231,0,5829,5662,29297,7577,4.05,679047168
12,899,107,93,77,0,0,20,77,20,77,0,0,0,0,77,107,4497,4481,28684,7423,1.37,676839424
13,0,213,216,217,0,0,34,294,35,217,0,0,0,0,217,320,4549,4274,31008,7393,17.07,694628352
14,0,269,241,241,0,43,25,492,38,241,43,43,43,0,370,546,4895,4148,29190,7811,32.03,707309568
15,0,228,237,208,0,206,57,539,60,207,206,206,206,0,825,602,5070,4010,33304,8386,30.78,733356032
16,0,82,112,156,0,286,98,527,101,157,286,286,286,0,1015,628,5442,4308,35863,8581,33.35,750202880
17,333,78,53,39,0,207,16,364,17,38,207,207,207,0,659,235,5524,4811,31143,8090,19.94,726732800
18,0,255,228,228,0,157,46,288,48,229,157,157,157,0,700,333,5258,4800,30992,7628,17.69,717950976
19,0,0,52,66,0,38,52,333,52,66,38,38,38,0,180,0,5353,4672,34289,7855,37.39,735629312
20,0,0,0,0,0,229,0,295,4,0,229,229,229,0,687,0,4873,4326,33804,7501,4.49,729100288
21,483,277,263,255,0,66,22,255,21,251,66,66,66,0,449,277,4740,4522,32817,6877,12.31,721137664
