series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,37980,43.598,1445.025,831.289,2774.709,4476.754,9479.367,10514.311,10881.739
remove,37980,1.377,39.110,8.134,113.858,153.911,577.228,698.204,709.140
insert,37975,2.490,45.910,12.327,119.386,173.698,457.046,648.901,971.046
find_output,37975,1.131,56.503,13.381,138.599,199.696,686.154,1434.837,1498.439
task_cycle,38377,2061.079,4247.844,3232.395,6412.774,13260.714,15394.019,16140.376,16556.134
scheduler_queue,38377,0.006,1290.516,915.703,3166.926,4622.385,6364.857,7626.882,7660.278
task_execution,38377,2061.066,4247.826,3232.380,6412.741,13260.657,15393.962,16140.339,16556.093
offered_to_finished,38377,2067.933,5538.341,4229.219,9040.586,16205.989,20282.474,21066.593,21476.809
offered_to_finished_arrival,38377,2067.933,5538.341,4229.219,9040.586,16205.989,20282.474,21066.593,21476.809
connection_open,37980,21.755,407.936,328.099,796.431,1030.281,1599.993,2693.886,2816.542
demand_to_ready,37980,41.861,1412.505,803.639,2716.096,4457.717,9440.047,10483.795,10855.659
driver_open,37980,21.755,407.936,328.099,796.431,1030.281,1599.993,2693.886,2816.542
handshake_hello,37980,0.872,80.526,58.214,190.950,243.235,383.776,458.413,1121.800
handshake_auth,37980,0.765,59.589,33.040,156.435,214.533,303.957,410.665,452.640
client_create,38377,0.381,28.411,7.596,94.446,159.573,289.329,454.463,630.201
