second,target_syn_sent,target_established,target_time_wait,target_close_wait,target_fin_wait1,target_fin_wait2,target_total_sockets,target_distinct_local_ports,host_total_tcp_sockets,host_total_time_wait,ephemeral_ports_in_use,ephemeral_util_pct
0,7,352,13,0,0,0,372,372,389,14,388,0.699
1,0,675,13,0,0,0,688,688,705,14,704,1.268
2,0,675,71,0,4,27,688,688,705,72,704,1.268
3,10,498,463,0,6,223,1031,1031,1048,464,1047,1.885
4,6,1074,463,0,0,40,1538,1538,1555,464,1554,2.798
5,4,1416,464,0,0,2,1882,1882,1899,465,1898,3.418
6,0,1290,1025,0,6,221,2102,2102,2119,1026,2118,3.814
7,0,801,1409,0,0,173,1955,1955,1972,1410,1971,3.549
8,0,231,1563,0,3,83,1720,1720,1737,1564,1736,3.126
9,0,0,1563,0,0,55,1618,1618,1635,1564,1634,2.942
10,0,0,1563,0,0,0,1563,1563,1580,1564,1579,2.843
11,0,0,1563,0,0,0,1563,1563,1580,1564,1579,2.843
12,8,210,1563,0,0,0,1781,1781,1798,1564,1797,3.236
13,7,976,1563,0,0,0,2546,2546,2563,1564,2562,4.613
14,4,1428,1627,0,0,32,3090,3090,3107,1628,3106,5.593
15,1,1691,1663,0,0,50,3404,3404,3421,1664,3420,6.158
16,14,1948,2109,0,3,128,4082,4082,4099,2110,4098,7.379
17,0,1138,2669,0,1,275,3982,3982,3999,2670,3998,7.199
18,1,1633,2767,0,0,60,4367,4367,4384,2768,4383,7.892
19,3,1280,3361,0,2,290,4543,4543,4560,3362,4559,8.209
20,0,966,3645,0,0,139,4390,4390,4407,3646,4406,7.934
21,0,838,3893,0,1,166,4784,4784,4801,3894,4800,8.643
22,2,1452,4027,0,0,59,5479,5479,5495,4028,5494,9.893
23,4,1817,4147,0,0,55,6021,6021,6037,4147,6036,10.869
24,0,1760,4599,0,0,193,6198,6198,6214,4599,6213,11.188
25,0,1212,5114,0,3,186,5964,5964,5980,5114,5979,10.766
26,0,225,5487,0,0,190,5706,5706,5722,5487,5721,10.302
27,4,309,5478,0,0,14,5787,5787,5803,5478,5802,10.447
28,0,309,5476,0,0,0,5785,5785,5801,5476,5800,10.444
