second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,225,225,185,59,0,0,126,59,159,59,0,0,0,0,59,225,30,14,542,18,2.18,84045824
1,0,0,40,166,0,0,127,225,39,166,0,0,0,0,166,0,666,14,5912,713,31.05,166608896
2,0,0,0,0,0,59,0,225,4,0,59,59,59,0,177,0,705,14,6048,714,29.61,188510208
3,372,173,132,43,0,166,89,166,89,43,166,166,166,0,541,173,703,132,5226,537,9.97,194195456
4,0,199,221,240,0,0,89,283,82,240,0,0,0,0,240,372,994,464,5887,558,38.26,196153344
5,101,101,120,190,0,43,69,473,65,190,43,43,43,0,319,473,1596,464,9594,1155,52.05,246349824
6,77,77,77,77,0,240,54,430,58,77,240,240,240,0,797,414,1899,550,11435,1329,34.56,265687040
7,0,0,0,0,0,190,0,267,7,0,190,190,190,0,570,0,1964,1030,9900,840,33.68,265924608
8,0,0,0,0,0,77,0,77,7,0,77,77,77,0,231,0,1737,1410,7229,270,9.77,240934912
12,899,137,104,37,0,0,68,37,71,36,0,0,0,0,36,137,1580,1564,6137,39,0.78,228376576
13,0,248,225,247,0,0,74,284,74,246,0,0,0,0,246,385,1993,1564,9733,504,20.37,253390848
14,0,139,177,203,0,36,67,452,69,203,36,36,36,0,311,500,2744,1564,9728,1194,49,325378048
15,0,375,174,66,0,45,127,510,327,68,136,78,65,0,347,819,3251,1644,13232,1599,42.23,328650752
16,0,0,177,290,0,192,176,570,221,188,138,182,185,0,693,0,4099,2022,18622,2075,42.22,379322368
17,333,203,69,59,0,280,42,572,161,160,243,257,267,0,927,549,3999,2670,12348,1080,55.91,343646208
18,0,33,190,139,0,126,111,476,161,140,130,128,128,0,526,559,4096,2670,15632,1600,17.28,359526400
19,0,97,116,191,0,220,75,433,38,191,217,218,218,0,844,456,4481,3071,15765,1297,45.55,389033984
20,0,0,0,0,0,142,0,333,2,0,141,142,142,0,425,0,4402,3384,15293,1003,36.29,389160960
21,483,253,172,169,0,149,120,212,123,140,152,152,152,0,596,334,4389,3796,12539,416,9.54,362237952
22,247,272,289,196,0,42,175,365,226,169,39,39,39,0,286,525,5260,4028,11154,1343,48.76,304705536
23,0,198,194,289,0,64,95,591,115,342,74,66,66,0,548,660,5693,4027,13336,1645,57.06,328556544
24,0,7,75,76,0,239,66,590,75,79,234,239,239,0,791,662,6218,4307,16164,1807,41.33,380243968
25,0,0,0,0,0,316,0,427,3,0,311,314,314,0,939,0,5980,4679,13623,1249,20.07,369602560
26,0,0,0,0,0,111,0,111,7,0,111,111,111,0,333,0,5720,5337,8990,261,14.24,327360512
27,103,103,103,103,0,0,94,103,97,103,0,0,0,0,103,103,5508,5478,7930,36,4.7,307269632
