second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,126,126,0,0,0,0,126,17,54035,54003,3947,474,39.87,466657280
1,193,129,129,0,0,0,0,129,73,54002,53960,3939,477,29.85,462950400
2,194,174,190,0,0,0,0,190,128,53902,53754,5058,570,49.26,401965056
3,212,204,188,0,0,0,0,188,157,0,0,0,0,0,0
4,272,101,125,0,0,0,0,125,272,54020,53891,5863,760,50.57,409169920
5,154,284,273,0,0,0,0,273,274,54200,54024,5724,684,57.84,407027712
6,227,148,135,0,0,0,0,135,258,0,0,0,0,0,0
7,303,177,177,0,0,0,0,177,347,54872,54692,6364,809,51.14,407056384
8,346,52,52,0,0,0,0,52,641,55604,54861,11617,1507,50.18,465006592
9,35,220,220,0,0,0,0,220,653,0,0,0,0,0,0
10,126,326,328,0,0,0,0,328,457,0,0,0,0,0,0
11,478,5,3,0,0,0,0,3,729,0,0,0,0,0,0
12,248,112,112,0,0,0,0,112,865,55802,54918,13770,1897,48.06,499412992
13,51,173,204,0,0,0,0,204,869,55437,54590,13971,1845,50.73,517419008
14,28,317,293,0,0,0,0,293,740,0,0,0,0,0,0
15,123,307,300,0,0,0,0,300,448,55161,54773,7144,952,59.72,497549312
16,477,8,8,0,0,0,0,8,739,0,0,0,0,0,0
17,219,129,138,0,0,0,0,138,829,0,0,0,0,0,0
18,370,16,7,0,0,0,0,7,1183,55931,54895,18813,2703,49.93,534544384
19,208,0,0,0,0,0,0,0,1391,0,0,0,0,0,0
20,86,46,46,0,0,0,0,46,1468,56237,55032,22197,3151,73.89,589996032
21,25,251,251,0,0,0,0,251,1434,56236,54960,19278,2694,55.12,596725760
22,6,256,258,0,0,0,0,258,1207,0,0,0,0,0,0
23,37,209,195,0,0,0,12,195,823,0,0,0,0,0,0
24,315,231,197,0,0,0,34,197,867,0,0,0,0,0,0
25,355,12,0,0,0,0,12,0,1210,0,0,0,0,0,0
26,253,16,22,0,0,0,5,22,1460,0,0,0,0,0,0
27,134,247,244,0,0,0,0,244,1438,0,0,0,0,0,0
28,257,18,9,0,0,0,5,9,1578,56178,54599,25114,3518,56.42,682135552
29,298,137,101,0,0,0,41,101,1734,0,0,0,0,0,0
30,94,112,25,0,0,0,79,25,1821,0,0,0,0,0,0
31,63,125,124,0,0,0,0,124,1704,56247,54433,29501,3709,59.1,707809280
32,232,229,225,0,0,0,4,225,1668,0,0,0,0,0,0
33,383,3,0,0,0,0,3,0,2037,56328,54635,29172,4073,48.07,734978048
34,85,31,67,0,0,0,8,67,2120,0,0,0,0,0,0
35,20,98,36,0,0,0,18,36,2070,0,0,0,0,0,0
36,21,516,503,0,0,0,13,503,2014,0,0,0,0,0,0
37,58,418,323,0,0,0,95,323,1519,0,0,0,0,0,0
38,362,114,28,0,0,0,90,28,1406,0,0,0,0,0,0
39,61,169,119,0,0,0,47,119,1425,0,0,0,0,0,0
40,268,66,55,0,0,0,21,55,1503,0,0,0,0,0,0
41,33,53,36,0,0,0,23,36,1483,55989,54680,22973,3294,59.57,768950272
42,388,29,12,0,0,0,0,12,1839,0,0,0,0,0,0
43,371,0,0,0,0,0,0,0,2210,0,0,0,0,0,0
44,231,15,0,0,0,0,18,0,2426,0,0,0,0,0,0
45,221,22,0,0,0,0,39,0,2625,0,0,0,0,0,0
46,239,37,0,0,0,0,18,0,2827,0,0,0,0,0,0
47,106,132,37,0,0,0,98,37,2912,0,0,0,0,0,0
48,0,466,303,0,0,0,161,303,0,0,0,0,0,0,0
49,0,389,309,0,0,0,106,309,0,0,0,0,0,0,0
50,0,371,242,0,0,0,103,242,0,0,0,0,0,0,0
51,226,317,173,0,0,0,146,173,1484,56455,55107,28551,3119,56.36,811335680
52,156,11,4,0,0,0,3,4,1630,0,0,0,0,0,0
53,15,382,391,0,0,0,0,391,1630,0,0,0,0,0,0
54,23,311,302,0,0,0,0,302,1264,0,0,0,0,0,0
55,1,190,190,0,0,0,0,190,957,0,0,0,0,0,0
56,167,353,354,0,0,0,0,354,599,55969,55496,11693,1613,49.62,673529856
57,400,4,0,0,0,0,3,0,995,0,0,0,0,0,0
58,363,1,0,0,0,0,3,0,1357,0,0,0,0,0,0
59,220,11,0,0,0,0,12,0,1566,0,0,0,0,0,0
60,260,7,2,0,0,0,2,2,1819,0,0,0,0,0,0
61,209,0,4,0,0,0,12,4,2028,0,0,0,0,0,0
62,235,53,3,0,0,0,48,3,2214,0,0,0,0,0,0
63,117,141,39,0,0,0,88,39,2304,0,0,0,0,0,0
64,0,382,305,0,0,0,92,305,0,56729,55335,29292,3598,63.17,789377024
65,304,192,14,0,0,0,172,14,1916,0,0,0,0,0,0
66,374,70,0,0,0,0,61,0,2220,0,0,0,0,0,0
67,195,28,0,0,0,0,57,0,2388,0,0,0,0,0,0
68,193,98,16,0,0,0,116,16,2501,0,0,0,0,0,0
69,0,257,190,0,0,0,4,190,0,0,0,0,0,0,0
70,1,444,348,0,0,0,105,348,1811,0,0,0,0,0,0
71,10,421,283,0,0,0,129,283,1780,0,0,0,0,0,0
72,394,134,85,0,0,0,58,85,1631,0,0,0,0,0,0
73,318,52,0,0,0,0,55,0,1897,0,0,0,0,0,0
74,10,128,87,0,0,0,29,87,1895,57306,55433,28501,4117,50.21,815325184
75,2,228,228,0,0,0,0,228,1771,57208,55448,26080,3552,51.48,808808448
76,97,204,204,0,0,0,0,204,1446,0,0,0,0,0,0
77,325,155,155,0,0,0,0,155,1616,0,0,0,0,0,0
78,344,0,0,0,0,0,0,0,1960,0,0,0,0,0,0
79,184,39,32,0,0,0,39,32,2116,0,0,0,0,0,0
80,4,286,245,0,0,0,9,245,2097,0,0,0,0,0,0
81,332,141,121,0,0,0,22,121,2014,0,0,0,0,0,0
82,49,138,78,0,0,0,58,78,2047,0,0,0,0,0,0
83,18,388,327,0,0,0,93,327,1927,0,0,0,0,0,0
84,138,382,244,0,0,0,106,244,1556,56366,55141,22842,2981,52.61,779227136
85,386,38,34,0,0,0,4,34,1659,0,0,0,0,0,0
86,138,153,17,0,0,0,136,17,1777,56785,55143,26247,3895,48.62,778022912
87,39,204,226,0,0,0,0,226,1648,0,0,0,0,0,0
88,438,78,56,0,0,0,0,56,1839,0,0,0,0,0,0
89,343,0,0,0,0,0,0,0,2182,0,0,0,0,0,0
90,5,25,25,0,0,0,0,25,2179,0,0,0,0,0,0
91,96,243,285,0,0,0,2,285,2222,0,0,0,0,0,0
92,34,238,176,0,0,0,18,176,2016,0,0,0,0,0,0
93,10,312,182,0,0,0,133,182,1811,56579,54960,25697,3406,52.72,796536832
94,159,435,297,0,0,0,139,297,1233,0,0,0,0,0,0
95,400,23,0,0,0,0,19,0,1610,0,0,0,0,0,0
96,305,11,0,0,0,0,13,0,1904,0,0,0,0,0,0
97,245,10,0,0,0,0,8,0,2139,0,0,0,0,0,0
98,144,6,6,0,0,0,14,6,2278,0,0,0,0,0,0
99,0,114,90,0,0,0,11,90,0,0,0,0,0,0,0
100,226,298,183,0,0,0,120,183,2091,0,0,0,0,0,0
101,322,76,0,0,0,0,77,0,2337,0,0,0,0,0,0
102,278,37,0,0,0,0,35,0,2578,0,0,0,0,0,0
103,123,213,85,0,0,0,126,85,2686,57003,54695,36137,5244,55.78,845266944
104,6,247,181,0,0,0,76,181,2489,0,0,0,0,0,0
