second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,129,129,0,0,0,0,129,22,49552,49532,37618,11695,25.13,1149845504
1,139,130,130,0,0,0,0,130,26,48960,48937,38257,11514,19.39,1074540544
2,289,162,163,0,0,0,0,163,142,49584,49365,41447,11885,32.02,1081458688
3,365,145,144,0,0,0,0,144,362,0,0,0,0,0,0
4,175,291,291,0,0,0,0,291,403,50086,49520,43256,11978,39.36,1087746048
5,215,324,324,0,0,0,0,324,294,50886,50658,46023,12169,35.75,1127030784
6,293,130,130,0,0,0,0,130,300,0,0,0,0,0,0
7,276,126,126,0,0,0,0,126,498,49776,49214,46417,13243,29.1,1165238272
8,223,71,71,0,0,0,0,71,602,0,0,0,0,0,0
9,344,285,285,0,0,0,0,285,661,50151,49228,52205,13825,33.48,1197572096
10,70,263,263,0,0,0,0,263,704,0,0,0,0,0,0
11,300,174,174,0,0,0,0,174,610,0,0,0,0,0,0
12,218,256,256,0,0,0,0,256,599,0,0,0,0,0,0
13,208,148,148,0,0,0,0,148,616,49467,48720,48638,13467,40.64,1209933824
14,178,261,261,0,0,0,0,261,623,49556,48810,48077,12669,39.2,1202212864
15,86,254,292,0,0,0,0,292,577,0,0,0,0,0,0
16,297,361,323,0,0,0,0,323,366,0,0,0,0,0,0
17,380,20,20,0,0,0,0,20,675,50363,49689,57073,13607,36.65,1251545088
18,104,327,327,0,0,0,0,327,701,0,0,0,0,0,0
19,112,374,384,0,0,0,0,384,491,50678,50089,55675,12400,34.03,1267527680
20,54,129,125,0,0,0,0,125,173,0,0,0,0,0,0
21,351,52,46,0,0,0,0,46,400,50159,49964,44161,12855,22.85,1279787008
22,302,41,41,0,0,0,0,41,661,50381,49709,49969,13837,30.1,1276870656
23,288,0,0,0,0,0,0,0,949,0,0,0,0,0,0
24,393,0,0,0,0,0,0,0,1342,0,0,0,0,0,0
25,74,303,304,0,0,0,0,304,1350,0,0,0,0,0,0
26,305,40,39,0,0,0,0,39,1378,0,0,0,0,0,0
27,263,1,1,0,0,0,0,1,1640,50765,49092,65980,15908,28.85,1369927680
28,149,287,287,0,0,0,0,287,1674,0,0,0,0,0,0
29,22,242,245,0,0,0,0,245,1503,0,0,0,0,0,0
30,256,266,265,0,0,0,0,265,1283,0,0,0,0,0,0
31,129,235,233,0,0,0,0,233,1277,0,0,0,0,0,0
32,376,0,0,0,0,0,0,0,1542,0,0,0,0,0,0
33,222,66,83,0,0,0,0,83,1764,0,0,0,0,0,0
34,23,312,301,0,0,0,5,301,1410,49160,47507,61863,15134,28.25,1431355392
35,120,287,276,0,0,0,0,276,1404,0,0,0,0,0,0
36,287,33,46,0,0,0,0,46,1529,0,0,0,0,0,0
37,94,53,40,0,0,0,0,40,1537,0,0,0,0,0,0
38,12,1,1,0,0,0,0,1,1549,0,0,0,0,0,0
39,96,989,990,0,0,0,0,990,1549,49204,48567,48579,13324,31.55,1385197568
40,191,1,4,0,0,0,0,4,845,0,0,0,0,0,0
41,174,122,119,0,0,0,0,119,897,0,0,0,0,0,0
42,26,393,442,0,0,0,0,442,897,48897,48225,45235,12783,37.09,1369255936
43,475,102,52,0,0,0,0,52,903,0,0,0,0,0,0
44,397,0,0,0,0,0,0,0,1300,49158,48045,54726,14623,26.6,1407221760
45,91,121,148,0,0,0,0,148,1388,0,0,0,0,0,0
46,213,258,231,0,0,0,0,231,1318,0,0,0,0,0,0
47,292,42,42,0,0,0,0,42,1475,48938,47488,60724,15456,34.33,1447960576
48,343,0,0,0,0,0,0,0,1818,0,0,0,0,0,0
49,84,6,6,0,0,0,0,6,1902,0,0,0,0,0,0
50,1,454,477,0,0,0,0,477,1480,0,0,0,0,0,0
51,109,624,601,0,0,0,0,601,1029,0,0,0,0,0,0
52,403,69,69,0,0,0,0,69,1262,0,0,0,0,0,0
53,264,83,83,0,0,0,0,83,1443,48484,47131,57315,14473,35.98,1468076032
54,409,9,0,0,0,0,9,0,1843,0,0,0,0,0,0
55,150,187,187,0,0,0,0,187,1983,0,0,0,0,0,0
56,56,460,460,0,0,0,0,460,1808,0,0,0,0,0,0
57,295,9,9,0,0,0,0,9,1688,48442,46953,61444,15812,31.38,1456332800
58,182,18,18,0,0,0,0,18,1852,0,0,0,0,0,0
59,26,436,436,0,0,0,0,436,1876,0,0,0,0,0,0
60,112,566,566,0,0,0,0,566,1439,0,0,0,0,0,0
61,256,218,218,0,0,0,0,218,1172,0,0,0,0,0,0
62,401,88,88,0,0,0,0,88,1339,0,0,0,0,0,0
63,102,58,88,0,0,0,2,88,1418,49206,47781,59614,15466,36.17,1491857408
64,381,36,0,0,0,0,4,0,1728,0,0,0,0,0,0
65,288,9,34,0,0,0,6,34,2011,0,0,0,0,0,0
66,370,104,39,0,0,0,36,39,2273,0,0,0,0,0,0
67,72,378,319,0,0,0,57,319,2305,0,0,0,0,0,0
68,349,78,78,0,0,0,0,78,2238,0,0,0,0,0,0
69,291,33,0,0,0,0,33,0,2496,0,0,0,0,0,0
70,47,267,262,0,0,0,5,262,2493,47797,45209,73892,17481,30.91,1574383616
71,118,401,401,0,0,0,0,401,2128,0,0,0,0,0,0
72,206,12,12,0,0,0,0,12,2192,0,0,0,0,0,0
73,30,249,249,0,0,0,0,249,2188,0,0,0,0,0,0
74,189,428,430,0,0,0,0,430,1969,0,0,0,0,0,0
75,372,3,0,0,0,0,9,0,2098,0,0,0,0,0,0
76,210,13,0,0,0,0,9,0,2295,0,0,0,0,0,0
77,0,516,412,0,0,0,100,412,0,48551,46452,64224,15481,34.21,1535881216
78,25,270,269,0,0,0,19,269,1552,0,0,0,0,0,0
79,337,479,437,0,0,0,30,437,1535,0,0,0,0,0,0
80,155,46,21,0,0,0,19,21,1528,0,0,0,0,0,0
81,153,263,264,0,0,0,0,264,1506,47767,46424,61964,15470,34.62,1504985088
82,348,1,0,0,0,0,0,0,1738,0,0,0,0,0,0
83,250,0,0,0,0,0,0,0,1988,48578,45896,68253,16497,31.55,1539043328
84,41,3,3,0,0,0,0,3,2026,0,0,0,0,0,0
85,186,785,785,0,0,0,0,785,2028,0,0,0,0,0,0
86,474,5,3,0,0,0,9,3,1896,0,0,0,0,0,0
87,93,316,280,0,0,0,31,280,1891,0,0,0,0,0,0
88,229,178,115,0,0,0,61,115,1724,0,0,0,0,0,0
89,347,78,60,0,0,0,18,60,1993,0,0,0,0,0,0
90,289,31,17,0,0,0,22,17,2251,47804,45641,70240,17193,31.13,1631363072
91,151,150,164,0,0,0,23,164,2370,0,0,0,0,0,0
92,0,257,212,0,0,0,0,212,0,0,0,0,0,0,0
93,33,452,458,0,0,0,0,458,1739,0,0,0,0,0,0
94,169,310,304,0,0,0,0,304,1435,0,0,0,0,0,0
95,340,53,53,0,0,0,0,53,1722,0,0,0,0,0,0
96,260,0,0,0,0,0,0,0,1982,0,0,0,0,0,0
97,344,1,0,0,0,0,1,0,2325,48238,45029,73563,17424,34.04,1339146240
98,20,183,218,0,0,0,18,218,2335,0,0,0,0,0,0
99,104,342,268,0,0,0,33,268,2139,48021,45371,71564,16531,35.3,1346236416
100,50,636,577,0,0,0,49,577,1924,0,0,0,0,0,0
101,281,164,116,0,0,0,46,116,1609,0,0,0,0,0,0
102,340,43,16,0,0,0,27,16,1752,0,0,0,0,0,0
103,434,0,0,0,0,0,0,0,2186,0,0,0,0,0,0
104,19,39,39,0,0,0,0,39,2190,47408,44857,78473,17089,37.71,1340469248
105,40,632,632,0,0,0,0,632,2169,0,0,0,0,0,0
106,74,277,308,0,0,0,0,308,1631,47351,45288,74407,15157,32.19,1373749248
107,33,328,305,0,0,0,0,305,1368,0,0,0,0,0,0
108,401,136,128,0,0,0,0,128,1341,0,0,0,0,0,0
109,98,78,78,0,0,0,0,78,1361,0,0,0,0,0,0
110,23,248,248,0,0,0,0,248,1366,0,0,0,0,0,0
111,191,350,350,0,0,0,0,350,1138,0,0,0,0,0,0
112,364,102,112,0,0,0,7,112,1280,0,0,0,0,0,0
113,354,72,0,0,0,0,55,0,1521,0,0,0,0,0,0
114,185,179,134,0,0,0,45,134,1559,47724,46107,61771,15182,38.55,1420513280
115,330,8,0,0,0,0,8,0,1849,0,0,0,0,0,0
116,88,14,14,0,0,0,0,14,1923,0,0,0,0,0,0
