second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,136,133,133,0,0,0,0,133,5,54894,54756,454,33,26.42,273592320
1,164,138,140,0,0,0,0,140,31,54603,54425,533,28,19.09,216535040
2,470,364,364,0,0,0,0,364,135,55461,54958,2467,415,58.87,238182400
3,232,260,260,0,0,0,0,260,216,0,0,0,0,0,0
4,256,277,287,0,0,0,0,287,86,55208,54896,952,74,64.05,226795520
5,354,256,247,0,0,0,0,247,230,0,0,0,0,0,0
6,341,39,36,0,0,0,0,36,486,55526,55097,4756,805,66.91,260136960
7,292,213,217,0,0,0,0,217,570,55505,54781,8131,1101,75.16,306159616
8,232,267,271,0,0,0,0,271,565,0,0,0,0,0,0
9,188,383,372,0,0,0,4,372,559,54857,54039,8634,1211,66.38,305197056
10,249,390,389,0,0,0,0,389,339,55372,54631,4045,487,60.69,264736768
11,235,255,257,0,0,0,0,257,266,55524,55101,2309,325,63.39,247545856
12,223,386,384,0,0,0,0,384,207,0,0,0,0,0,0
13,132,105,108,0,0,0,0,108,45,55526,55227,844,109,53.87,225898496
14,212,38,33,0,0,0,5,33,212,55492,55270,4255,772,69.96,266665984
15,271,12,5,0,0,0,5,5,480,0,0,0,0,0,0
16,131,89,90,0,0,0,0,90,529,0,0,0,0,0,0
17,226,122,119,0,0,0,2,119,617,0,0,0,0,0,0
18,71,78,68,0,0,0,9,68,610,55530,55087,6073,987,70.59,311025664
19,314,31,23,0,0,0,8,23,893,0,0,0,0,0,0
20,88,36,9,0,0,0,30,9,978,0,0,0,0,0,0
21,169,71,62,0,0,0,7,62,1043,0,0,0,0,0,0
22,142,146,110,0,0,0,39,110,1123,55529,54638,14477,2035,71.44,382906368
23,15,185,74,0,0,0,111,74,933,0,0,0,0,0,0
24,183,163,115,0,0,0,48,115,896,0,0,0,0,0,0
25,107,198,166,0,0,0,35,166,798,0,0,0,0,0,0
26,281,218,95,0,0,0,120,95,861,0,0,0,0,0,0
27,341,44,0,0,0,0,45,0,1190,55410,54753,14757,1884,72.68,440688640
28,106,112,83,0,0,0,27,83,1152,0,0,0,0,0,0
29,189,66,3,0,0,0,61,3,1328,0,0,0,0,0,0
30,0,180,102,0,0,0,85,102,0,0,0,0,0,0,0
31,238,111,83,0,0,0,30,83,1222,0,0,0,0,0,0
32,253,131,83,0,0,0,39,83,1420,0,0,0,0,0,0
33,458,52,32,0,0,0,29,32,1752,0,0,0,0,0,0
34,33,485,273,0,0,0,206,273,1519,55122,53293,24816,3207,72.28,475090944
35,12,415,373,0,0,0,41,373,1296,55224,53678,21955,2317,64.58,437850112
36,494,113,69,0,0,0,47,69,1276,0,0,0,0,0,0
37,175,193,161,0,0,0,29,161,1442,0,0,0,0,0,0
38,131,326,281,0,0,0,46,281,1064,0,0,0,0,0,0
39,140,269,268,0,0,0,2,268,1167,0,0,0,0,0,0
40,66,332,327,0,0,0,1,327,940,0,0,0,0,0,0
41,400,237,205,0,0,0,31,205,988,54960,52966,20810,2460,64.68,385404928
42,133,463,441,0,0,0,25,441,830,54603,52979,25567,2429,65.14,409690112
43,348,305,285,0,0,0,18,285,834,0,0,0,0,0,0
44,298,300,294,0,0,0,5,294,694,54471,53068,14805,1868,59.71,310472704
45,516,299,308,0,0,0,0,308,800,55500,53773,14979,1931,59.68,314097664
46,19,471,470,0,0,0,0,470,758,0,0,0,0,0,0
47,553,306,298,0,0,0,0,298,554,53949,53592,11297,791,69.83,274055168
48,112,475,482,0,0,0,0,482,634,54291,53740,10037,1143,57.69,288215040
49,313,436,434,0,0,0,0,434,374,0,0,0,0,0,0
50,396,316,313,0,0,0,0,313,247,53807,53193,4022,608,64.06,241717248
51,598,303,301,0,0,0,0,301,531,54859,53659,8332,1371,58.65,258781184
52,125,536,545,0,0,0,0,545,447,0,0,0,0,0,0
53,401,317,319,0,0,0,0,319,116,54813,54578,2125,314,65.86,223723520
54,607,38,27,0,0,0,0,27,685,0,0,0,0,0,0
55,182,161,161,0,0,0,0,161,736,0,0,0,0,0,0
56,13,332,343,0,0,0,0,343,439,55069,54426,8987,1041,68.7,303656960
57,190,437,434,0,0,0,0,434,388,0,0,0,0,0,0
58,416,263,264,0,0,0,0,264,413,55267,54356,6941,1154,63.44,258633728
59,355,259,251,0,0,0,0,251,389,0,0,0,0,0,0
60,258,225,224,0,0,0,0,224,422,55456,55095,7734,1034,74.43,280682496
61,255,10,6,0,0,0,5,6,667,0,0,0,0,0,0
62,185,54,54,0,0,0,1,54,844,0,0,0,0,0,0
63,196,162,170,0,0,0,0,170,832,0,0,0,0,0,0
64,72,179,166,0,0,0,3,166,855,55525,54627,12350,1545,72.02,361549824
65,122,287,296,0,0,0,2,296,739,55525,54786,11749,1281,75.73,361168896
66,167,132,64,0,0,0,60,64,671,0,0,0,0,0,0
67,282,152,155,0,0,0,14,155,725,0,0,0,0,0,0
68,252,236,222,0,0,0,9,222,801,55482,54362,12017,1734,71.63,362913792
69,593,102,79,0,0,0,11,79,1232,0,0,0,0,0,0
70,158,98,102,0,0,0,7,102,1380,55462,53410,22099,3376,62.26,398217216
71,277,317,287,0,0,0,17,287,1293,0,0,0,0,0,0
72,191,446,413,0,0,0,34,413,1255,0,0,0,0,0,0
73,35,363,336,0,0,0,31,336,998,0,0,0,0,0,0
74,265,285,264,0,0,0,25,264,813,54739,52933,20816,2258,65.43,391950336
75,91,97,87,0,0,0,5,87,646,54803,53214,4908,659,61.16,315547648
76,408,625,620,0,0,0,0,620,426,0,0,0,0,0,0
77,385,255,266,0,0,0,0,266,762,55233,53748,11644,1723,55.16,303656960
78,80,510,513,0,0,0,0,513,557,0,0,0,0,0,0
