second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,10,10,10,10,10,10,0,40,1,38,8,309,16,0,63447040
1,10,10,10,10,10,10,0,40,1,67,28,417,17,4.28,71974912
2,10,10,10,10,10,10,0,40,1,91,48,398,19,4.09,78229504
3,10,10,10,10,10,10,0,40,1,109,68,497,19,8.56,81985536
4,10,10,10,10,10,10,0,40,1,129,88,597,19,7.21,85700608
5,10,10,10,10,10,10,0,40,1,149,108,698,19,8.95,92200960
6,10,10,10,10,10,10,0,40,1,169,128,408,19,1.75,93966336
7,10,10,10,10,10,10,0,40,1,191,150,500,16,1.36,95068160
8,10,10,10,10,10,10,0,40,1,210,170,600,16,6.23,96415744
9,10,10,10,10,10,10,0,40,1,230,190,312,16,1.17,96325632
10,10,10,10,10,10,10,0,40,1,250,210,412,16,1.36,96366592
11,10,10,10,10,10,10,0,40,1,270,230,511,16,0.97,96378880
12,10,10,10,10,10,10,0,40,1,292,250,608,16,1.75,97046528
13,10,10,10,10,10,10,0,40,1,310,270,381,16,1.56,91537408
14,10,10,10,10,10,10,0,40,1,330,290,480,16,1.36,91537408
15,10,10,10,10,10,10,0,40,1,350,310,578,16,1.36,91615232
16,10,10,10,10,10,10,0,40,1,370,330,679,16,1.17,92397568
17,10,10,10,10,10,10,0,40,1,392,350,372,16,0.39,91848704
18,10,10,10,10,10,10,0,40,1,409,371,471,16,1.17,91848704
19,10,10,10,10,10,10,0,40,1,431,391,568,16,0.58,91848704
20,10,10,10,10,10,10,0,40,1,451,411,665,15,1.75,92647424
21,10,10,10,10,10,10,0,40,1,471,431,390,15,2.33,91742208
22,10,10,10,10,10,10,0,40,1,493,451,489,15,1.36,91811840
23,10,10,10,10,10,10,0,40,1,511,471,587,15,0.97,92000256
24,10,10,10,10,10,10,0,40,1,531,491,319,15,1.17,91938816
25,10,10,10,10,10,10,0,40,1,553,514,418,15,1.17,91938816
26,10,10,10,10,10,10,0,40,1,573,534,514,15,1.75,91938816
27,10,10,10,10,10,10,0,40,1,595,554,614,15,1.17,92016640
28,10,10,10,10,10,10,0,40,1,614,574,366,14,1.17,91619328
29,10,10,10,10,10,10,0,40,1,635,594,476,16,2.14,91709440
30,1,1,1,1,1,1,0,4,1,0,0,0,0,0,0
