second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,10,10,0,0,0,0,10,0,1,1240,1210,312,16,56.02,63332352
1,10,10,0,0,0,0,10,0,1,1272,1230,418,15,6.2,71454720
2,10,10,0,0,0,0,10,0,1,1290,1250,514,15,4.45,78696448
3,10,10,0,0,0,0,10,0,1,1313,1272,612,15,7.18,84406272
4,10,10,0,0,0,0,10,0,1,1333,1292,714,15,9.31,90615808
5,10,10,0,0,0,0,10,0,1,1353,1312,813,15,5.44,94240768
6,10,10,0,0,0,0,10,0,1,1375,1332,913,15,1.75,97378304
7,10,10,0,0,0,0,10,0,1,1393,1352,1012,15,7.57,101519360
8,10,10,0,0,0,0,10,0,1,1413,1372,309,15,0.58,104239104
9,10,10,0,0,0,0,10,0,1,1433,1392,409,15,0.97,104456192
10,10,10,0,0,0,0,10,0,1,1452,1411,509,15,0.78,104554496
11,10,10,0,0,0,0,10,0,1,1474,1431,609,15,1.36,100102144
12,10,10,0,0,0,0,10,0,1,1492,1451,709,15,1.16,100171776
13,10,10,0,0,0,0,10,0,1,1512,1471,808,15,1.55,100331520
14,10,10,0,0,0,0,10,0,1,1533,1491,925,18,0.97,100536320
15,10,10,0,0,0,0,10,0,1,1554,1511,1025,18,1.55,100646912
16,10,10,0,0,0,0,10,0,1,1575,1532,1118,15,1.36,100646912
17,10,10,0,0,0,0,10,0,1,1592,1551,378,15,1.55,100044800
18,10,10,0,0,0,0,10,0,1,1612,1571,478,15,1.16,100048896
19,10,10,0,0,0,0,10,0,1,1632,1591,576,15,0.97,100093952
20,10,10,0,0,0,0,10,0,1,1652,1611,676,15,1.16,100155392
21,10,10,0,0,0,0,10,0,1,1674,1631,776,15,0.97,100188160
22,10,10,0,0,0,0,10,0,1,1691,1650,875,15,1.36,100245504
23,10,10,0,0,0,0,10,0,1,1711,1670,975,15,1.16,100339712
24,10,10,0,0,0,0,10,0,1,1731,1690,1075,15,1.55,100515840
25,10,10,0,0,0,0,10,0,1,1751,1710,349,15,0.97,100024320
26,10,10,0,0,0,0,10,0,1,1773,1730,448,15,1.55,100024320
27,10,10,0,0,0,0,10,0,1,1791,1750,554,16,1.16,99975168
28,10,10,0,0,0,0,10,0,1,1812,1770,665,18,2.13,100052992
29,10,10,0,0,0,0,10,0,1,1833,1792,758,13,1.36,100061184
30,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
