second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,134,130,130,0,0,0,0,130,76,16147,16134,39063,9783,15.66,1324748800
1,217,19,19,0,0,0,0,19,202,16379,16367,32546,9761,22.98,973205504
2,385,0,0,0,0,0,0,0,587,16367,16337,35576,10217,36.12,873889792
3,194,18,0,0,0,0,18,0,763,16378,16346,39120,10819,65.77,909885440
4,120,1,0,0,0,0,1,0,882,16378,16127,42362,11031,60.45,942985216
5,47,98,115,0,0,0,0,115,915,0,0,0,0,0,0
6,246,75,16,0,0,0,45,16,1002,16378,15874,44501,11384,57.96,966602752
7,245,96,0,0,0,0,93,0,1155,0,0,0,0,0,0
8,289,22,2,0,0,0,20,2,1418,0,0,0,0,0,0
9,10,178,84,0,0,0,115,84,1426,0,0,0,0,0,0
10,200,179,79,0,0,0,81,79,1271,16378,15888,49368,10971,59.7,1020252160
11,240,28,4,0,0,0,33,4,1483,16378,15715,48121,11810,54.37,1080180736
12,122,163,0,0,0,0,153,0,1504,0,0,0,0,0,0
13,420,64,0,0,0,0,77,0,1810,0,0,0,0,0,0
14,135,155,0,0,0,0,141,0,1884,0,0,0,0,0,0
15,14,215,0,0,0,0,215,0,1763,0,0,0,0,0,0
16,165,136,0,0,0,0,144,0,1606,16378,16263,49229,11411,62.37,1089654784
17,103,124,0,0,0,0,116,0,1696,16379,16039,52393,11830,61.36,1121804288
18,190,183,0,0,0,0,187,0,1592,0,0,0,0,0,0
19,209,96,0,0,0,0,108,0,1790,0,0,0,0,0,0
20,42,385,0,0,0,0,369,0,1698,0,0,0,0,0,0
21,78,197,4,0,0,0,193,4,1371,16378,16113,45953,11243,59.92,1110245376
22,79,401,15,0,0,0,389,15,1244,0,0,0,0,0,0
23,369,123,0,0,0,0,126,0,1250,0,0,0,0,0,0
24,346,185,0,0,0,0,179,0,1356,0,0,0,0,0,0
25,172,26,0,0,0,0,59,0,1494,16378,16243,43284,11287,61.05,1124757504
26,58,153,0,0,0,0,125,0,1439,0,0,0,0,0,0
27,321,68,0,0,0,0,81,0,1682,0,0,0,0,0,0
28,215,148,0,0,0,0,131,0,1699,0,0,0,0,0,0
29,214,39,0,0,0,0,46,0,1886,0,0,0,0,0,0
30,277,307,5,0,0,0,298,5,1844,0,0,0,0,0,0
31,113,171,1,0,0,0,179,1,1933,16378,16138,48922,11389,61.66,1138417664
32,8,436,0,0,0,0,423,0,1785,0,0,0,0,0,0
33,365,60,0,0,0,0,62,0,1663,16360,16144,44166,10986,61.99,1107058688
34,300,166,0,0,0,0,195,0,1932,0,0,0,0,0,0
35,86,254,1,0,0,0,222,1,1629,0,0,0,0,0,0
36,195,616,0,0,0,0,626,0,1795,16378,16323,43791,10699,62.38,1092628480
37,176,23,0,0,0,0,14,0,1361,0,0,0,0,0,0
38,280,23,0,0,0,0,53,0,1621,16378,16291,46354,11584,61.76,1137537024
39,250,77,0,0,0,0,46,0,1791,16378,16279,46644,11853,65.77,1155960832
40,93,75,0,0,0,0,81,0,1884,0,0,0,0,0,0
41,144,475,0,0,0,0,470,0,1785,0,0,0,0,0,0
42,273,44,0,0,0,0,46,0,1707,0,0,0,0,0,0
43,363,71,0,0,0,0,90,0,2035,0,0,0,0,0,0
44,56,369,27,0,0,0,323,27,1989,0,0,0,0,0,0
45,455,15,0,0,0,0,16,0,2126,16375,15707,52610,12853,57.62,1180598272
46,27,349,0,0,0,0,351,0,2129,0,0,0,0,0,0
47,258,255,0,0,0,0,250,0,1808,16378,15804,50947,12319,56.35,1137852416
48,120,81,18,0,0,0,62,18,1846,0,0,0,0,0,0
49,529,1,0,0,0,0,1,0,2374,0,0,0,0,0,0
50,75,246,123,0,0,0,159,123,2449,0,0,0,0,0,0
51,8,490,82,0,0,0,382,82,1744,16375,15413,53957,13052,56.92,1176875008
52,183,168,126,0,0,0,49,126,1736,0,0,0,0,0,0
53,278,33,0,0,0,0,20,0,1983,0,0,0,0,0,0
54,196,109,1,0,0,0,108,1,2157,0,0,0,0,0,0
55,0,123,48,0,0,0,71,48,0,0,0,0,0,0,0
56,38,292,99,0,0,0,230,99,1947,16374,15910,58654,13471,58.68,1234165760
57,445,73,0,0,0,0,40,0,2063,0,0,0,0,0,0
58,25,376,0,0,0,0,372,0,2087,0,0,0,0,0,0
59,62,348,77,0,0,0,271,77,1605,0,0,0,0,0,0
60,400,60,0,0,0,0,64,0,1814,0,0,0,0,0,0
61,148,82,0,0,0,0,79,0,1832,0,0,0,0,0,0
62,288,177,0,0,0,0,195,0,2083,16374,15819,54637,13601,53.13,1268080640
63,57,580,0,0,0,0,561,0,1664,0,0,0,0,0,0
64,403,73,0,0,0,0,78,0,1798,16374,15689,56739,14327,52.66,1295912960
65,11,179,54,0,0,0,131,54,1728,0,0,0,0,0,0
66,71,181,0,0,0,0,170,0,1549,16373,15713,56507,13898,65.69,1266192384
67,213,120,2,0,0,0,145,2,1642,0,0,0,0,0,0
68,33,331,0,0,0,0,304,0,1267,0,0,0,0,0,0
69,315,29,0,0,0,0,29,0,1553,0,0,0,0,0,0
70,181,28,0,0,0,0,28,0,1733,0,0,0,0,0,0
71,47,164,36,0,0,0,145,36,1709,0,0,0,0,0,0
72,267,165,3,0,0,0,150,3,1827,16285,15541,57179,14263,57.23,1310482432
73,9,92,42,0,0,0,56,42,1608,0,0,0,0,0,0
74,384,65,34,0,0,0,46,34,1930,0,0,0,0,0,0
75,55,107,31,0,0,0,82,31,1888,0,0,0,0,0,0
76,385,37,0,0,0,0,5,0,2223,0,0,0,0,0,0
77,362,102,0,0,0,0,114,0,2507,0,0,0,0,0,0
78,13,540,105,0,0,0,423,105,2457,16141,15013,62899,14943,55.64,1331912704
79,15,257,153,0,0,0,128,153,1714,0,0,0,0,0,0
80,103,37,1,0,0,0,12,1,1780,0,0,0,0,0,0
81,408,65,0,0,0,0,65,0,2142,0,0,0,0,0,0
82,56,30,0,0,0,0,30,0,2170,0,0,0,0,0,0
83,0,302,129,0,0,0,173,129,0,0,0,0,0,0,0
84,48,276,9,0,0,0,267,9,1870,16373,15943,57967,13404,57.36,1315135488
85,211,53,0,0,0,0,60,0,1778,0,0,0,0,0,0
86,296,291,0,0,0,0,293,0,1980,0,0,0,0,0,0
87,250,425,17,0,0,0,404,17,1607,0,0,0,0,0,0
88,92,219,127,0,0,0,126,127,1681,0,0,0,0,0,0
89,416,72,7,0,0,0,27,7,1824,0,0,0,0,0,0
90,145,213,0,0,0,0,213,0,1953,16373,15706,57422,13904,53.6,1313669120
91,54,157,62,0,0,0,96,62,1734,0,0,0,0,0,0
92,371,102,83,0,0,0,25,83,1922,16373,15553,53210,13807,58.34,1304272896
93,486,28,0,0,0,0,20,0,2380,0,0,0,0,0,0
94,71,163,0,0,0,0,164,0,2442,0,0,0,0,0,0
95,14,575,296,0,0,0,278,296,2289,0,0,0,0,0,0
96,56,98,83,0,0,0,32,83,1728,16250,14739,63621,14666,44.77,1357504512
97,29,355,62,0,0,0,278,62,1683,0,0,0,0,0,0
98,303,366,289,0,0,0,75,289,1360,0,0,0,0,0,0
99,373,5,5,0,0,0,0,5,1664,0,0,0,0,0,0
100,315,0,0,0,0,0,0,0,1979,0,0,0,0,0,0
101,129,34,18,0,0,0,22,18,2074,0,0,0,0,0,0
102,253,21,0,0,0,0,37,0,2307,0,0,0,0,0,0
103,75,145,29,0,0,0,99,29,2239,16205,15462,61704,14386,52.81,1399332864
104,290,214,73,0,0,0,139,73,2312,0,0,0,0,0,0
105,219,386,38,0,0,0,348,38,2405,0,0,0,0,0,0
106,98,430,88,0,0,0,339,88,2167,0,0,0,0,0,0
107,357,39,0,0,0,0,39,0,2131,0,0,0,0,0,0
108,209,159,0,0,0,0,163,0,2337,0,0,0,0,0,0
109,1,159,3,0,0,0,152,3,2023,16373,15103,60225,14484,46.07,1357942784
110,387,15,0,0,0,0,16,0,2395,16373,15206,64169,14968,56.34,1403658240
111,275,115,63,0,0,0,55,63,2555,0,0,0,0,0,0
112,366,38,0,0,0,0,34,0,2883,0,0,0,0,0,0
113,57,367,14,0,0,0,368,14,2922,0,0,0,0,0,0
114,6,517,356,0,0,0,147,356,2572,0,0,0,0,0,0
115,81,457,141,0,0,0,315,141,1686,0,0,0,0,0,0
116,304,131,7,0,0,0,126,7,1963,0,0,0,0,0,0
117,218,148,10,0,0,0,144,10,1977,16213,14298,65451,15353,42.05,1376935936
118,110,249,236,0,0,0,6,236,1936,0,0,0,0,0,0
119,568,4,0,0,0,0,3,0,2354,0,0,0,0,0,0
120,224,194,62,0,0,0,150,62,2578,0,0,0,0,0,0
121,263,129,0,0,0,0,111,0,2583,0,0,0,0,0,0
122,18,76,22,0,0,0,54,22,2535,0,0,0,0,0,0
123,82,104,17,0,0,0,101,17,2438,0,0,0,0,0,0
124,289,88,0,0,0,0,77,0,2639,0,0,0,0,0,0
125,244,410,33,0,0,0,390,33,2854,16374,15244,68161,15437,49.08,1467183104
126,0,423,26,0,0,0,381,26,0,0,0,0,0,0,0
127,0,156,108,0,0,0,56,108,0,0,0,0,0,0,0
128,98,299,87,0,0,0,204,87,1693,0,0,0,0,0,0
129,465,17,0,0,0,0,17,0,2141,0,0,0,0,0,0
130,199,415,0,0,0,0,441,0,2334,0,0,0,0,0,0
131,42,161,24,0,0,0,111,24,1925,0,0,0,0,0,0
132,20,262,1,0,0,0,261,1,1564,16373,15579,57250,14016,55.02,1399255040
133,449,41,0,0,0,0,42,0,1973,0,0,0,0,0,0
134,227,257,2,0,0,0,255,2,2145,16374,15567,63082,15130,55.2,1449447424
135,19,107,2,0,0,0,113,2,1927,0,0,0,0,0,0
136,12,324,237,0,0,0,80,237,1847,0,0,0,0,0,0
137,325,33,0,0,0,0,33,0,1834,0,0,0,0,0,0
138,436,68,0,0,0,0,76,0,2206,0,0,0,0,0,0
139,0,82,5,0,0,0,71,5,0,0,0,0,0,0,0
140,1,174,10,0,0,0,174,10,1947,16326,15952,61979,14232,55.74,1439322112
141,7,66,52,0,0,0,17,52,1948,0,0,0,0,0,0
142,68,482,23,0,0,0,466,23,1892,0,0,0,0,0,0
143,334,267,0,0,0,0,261,0,1671,0,0,0,0,0,0
144,17,611,1,0,0,0,593,1,1532,16376,16025,47892,13026,58.17,1358864384
145,398,20,0,0,0,0,19,0,1325,0,0,0,0,0,0
146,71,51,30,0,0,0,21,30,1396,0,0,0,0,0,0
147,246,151,0,0,0,0,151,0,1440,0,0,0,0,0,0
148,452,35,0,0,0,0,36,0,1857,0,0,0,0,0,0
149,147,228,4,0,0,0,225,4,1906,0,0,0,0,0,0
150,298,31,0,0,0,0,37,0,2043,0,0,0,0,0,0
151,104,203,0,0,0,0,226,0,2120,16375,16215,54422,14010,58.89,1170018304
152,8,274,0,0,0,0,244,0,1945,0,0,0,0,0,0
153,264,53,0,0,0,0,53,0,1889,16361,16233,53790,13178,65.79,1140969472
154,348,130,0,0,0,0,148,0,2222,0,0,0,0,0,0
155,1,173,1,0,0,0,154,1,1938,0,0,0,0,0,0
156,99,737,16,0,0,0,721,16,1935,0,0,0,0,0,0
157,433,4,0,0,0,0,10,0,1726,0,0,0,0,0,0
158,10,97,0,0,0,0,102,0,1722,16376,16224,50680,13340,63.59,1132634112
159,121,369,0,0,0,0,359,0,1634,0,0,0,0,0,0
160,127,262,0,0,0,0,260,0,1415,16376,16307,50799,12664,69.59,1104478208
161,319,121,0,0,0,0,141,0,1553,0,0,0,0,0,0
162,214,254,0,0,0,0,234,0,1414,0,0,0,0,0,0
163,40,299,0,0,0,0,336,0,1426,0,0,0,0,0,0
164,112,208,0,0,0,0,174,0,1074,16376,16310,48445,12563,58.9,1089482752
165,286,18,0,0,0,0,19,0,1327,16376,16196,47938,12957,59.72,1112993792
166,422,75,0,0,0,0,104,0,1696,0,0,0,0,0,0
167,136,160,1,0,0,0,131,1,1662,0,0,0,0,0,0
168,307,76,0,0,0,0,90,0,1937,0,0,0,0,0,0
169,334,278,0,0,0,0,259,0,1937,0,0,0,0,0,0
170,55,263,1,0,0,0,264,1,1951,16058,15703,55573,13739,55.5,1153093632
171,353,9,0,0,0,0,8,0,2073,0,0,0,0,0,0
172,416,36,0,0,0,0,35,0,2453,0,0,0,0,0,0
173,512,49,0,0,0,0,53,0,2921,0,0,0,0,0,0
174,0,687,78,0,0,0,623,78,0,0,0,0,0,0,0
175,44,288,2,0,0,0,268,2,2061,16376,15194,66608,15316,53.59,1223507968
176,389,1,1,0,0,0,0,1,2373,0,0,0,0,0,0
177,69,18,0,0,0,0,18,0,2436,0,0,0,0,0,0
178,8,85,31,0,0,0,61,31,2430,0,0,0,0,0,0
179,72,199,149,0,0,0,50,149,2314,0,0,0,0,0,0
180,312,41,14,0,0,0,20,14,2491,0,0,0,0,0,0
181,371,74,0,0,0,0,74,0,2791,0,0,0,0,0,0
182,55,152,11,0,0,0,154,11,2791,0,0,0,0,0,0
183,166,197,0,0,0,0,185,0,2831,16376,15649,69849,15211,53.98,1333686272
184,7,490,0,0,0,0,496,0,2294,0,0,0,0,0,0
