second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,35,0,0,0,0,0,0,0,35,9159,9147,27464,7627,2.07,832712704
2,342,0,150,0,0,0,0,150,377,8558,8450,28672,7550,7.12,832700416
3,114,0,341,0,0,0,0,341,491,9108,8316,30209,8268,33.17,856899584
4,80,149,37,150,150,150,0,487,424,8626,7884,30671,8045,10.13,863019008
5,268,251,107,262,262,255,0,886,446,9075,8404,33842,8431,25.78,878637056
6,260,105,380,116,116,103,0,715,601,9631,8614,33131,8934,37.79,893915136
7,259,129,279,107,107,127,0,620,724,10060,8702,37271,9625,27.39,913866752
8,214,380,254,380,380,380,0,1394,748,0,0,0,0,0,0
9,45,254,69,253,253,253,0,828,584,10024,8904,36188,9370,29.83,916987904
10,0,211,0,269,250,213,0,732,0,10103,9522,33241,8848,9.76,909471744
11,0,138,0,80,99,136,0,315,0,9449,9338,31315,8081,3.94,894320640
12,301,0,242,0,0,0,0,242,301,9645,9434,32972,8336,13.35,895238144
13,252,0,226,0,0,0,0,226,553,9839,9112,32726,9157,32.15,918454272
14,187,170,260,175,174,172,0,781,719,10163,9032,37170,9734,32.6,935428096
15,0,298,12,293,294,296,0,895,0,9792,9028,33431,9058,17.25,923787264
16,271,166,233,191,170,170,0,764,488,9735,8795,36099,9189,24.2,940249088
17,255,106,228,81,102,102,0,513,526,0,0,0,0,0,0
18,217,193,125,203,198,193,0,719,657,9597,8531,36209,9898,32.56,955785216
19,422,45,130,38,40,45,0,253,927,9855,8667,40625,10579,33.46,976994304
20,203,334,50,331,334,334,0,1049,1084,9677,8199,43911,11047,38.87,1008852992
21,22,102,586,104,104,104,0,898,797,9879,8397,39886,10480,34.83,1000837120
22,297,92,188,90,90,90,0,458,967,0,0,0,0,0,0
23,0,577,147,579,577,577,0,1880,0,10372,8529,44003,11063,34.41,1021980672
24,0,197,0,195,197,197,0,589,0,9994,9455,39421,9903,10.1,996802560
25,15,147,15,147,147,147,0,456,162,9478,9435,33829,9466,10.33,983662592
26,199,0,144,0,0,0,0,144,214,9321,9267,31682,9579,3.43,985350144
27,197,15,228,15,15,15,0,273,396,9311,8785,34934,10078,27.59,893673472
28,85,128,57,131,128,128,0,444,406,9336,8585,36931,9980,14.82,850358272
29,246,215,273,212,215,215,0,915,452,9408,8595,39817,10323,27.06,857337856
30,284,85,267,85,85,85,0,522,583,10055,8931,44148,10622,33.76,864022528
31,192,274,204,274,274,274,0,1026,603,10539,9527,38857,10370,33.38,874151936
32,235,255,235,260,259,259,0,1013,520,0,0,0,0,0,0
33,248,170,251,173,169,166,0,759,559,11089,10132,41739,10661,30.83,887218176
34,270,268,253,260,265,268,0,1046,618,11478,10357,45786,11179,31.69,910176256
35,378,142,38,178,172,142,0,530,842,0,0,0,0,0,0
36,3,213,350,250,213,214,0,1027,621,11526,10446,43808,11733,32.66,948957184
37,252,200,247,127,170,199,0,743,639,11831,10752,45158,11456,35.22,948006912
38,243,172,256,181,177,176,0,790,746,11266,9844,49323,11675,35.64,964669440
39,412,239,8,231,235,236,0,710,883,0,0,0,0,0,0
40,471,37,0,36,36,36,0,108,1317,0,0,0,0,0,0
41,153,244,30,244,244,244,0,762,1341,11509,10168,52427,13392,25.69,1045073920
42,173,169,0,169,169,169,0,507,1381,0,0,0,0,0,0
43,64,8,542,8,8,8,0,566,1286,12471,10222,57101,13241,36.91,1058840576
44,0,22,340,22,22,22,0,406,0,0,0,0,0,0,0
45,65,542,425,542,542,542,0,2051,845,12252,9713,57760,13130,31.17,1088876544
46,0,340,22,340,340,340,0,1042,0,12177,10591,54706,11994,20.39,1076428800
47,30,425,30,425,425,425,0,1305,163,11757,11465,49392,10539,12.16,1050009600
48,0,22,0,22,22,22,0,66,0,11459,11387,48880,10022,5.95,1043447808
49,0,30,0,30,30,30,0,90,0,11341,11269,48876,9837,0.93,1039433728
51,71,0,27,0,0,0,0,27,71,10607,10595,48426,9682,2.05,1036935168
52,395,0,24,0,0,0,0,24,466,9798,9183,56167,10783,35.38,1089654784
53,60,0,355,0,0,0,0,355,526,0,0,0,0,0,0
54,164,51,243,51,51,51,0,396,639,9791,8745,38620,10708,29.54,1096630272
55,90,355,115,355,355,355,0,1180,646,9835,8705,40225,10782,22.7,1100832768
56,114,243,91,243,243,243,0,820,275,10001,9453,38683,10053,18.37,1086005248
57,179,47,170,53,52,52,0,327,377,10322,9793,35221,10104,27.54,1085583360
58,311,139,157,133,134,134,0,558,560,10609,9725,39811,10999,29.94,928018432
59,197,190,354,190,190,190,0,924,580,10790,9764,42088,11183,27.67,946843648
60,344,110,161,155,126,113,0,555,799,0,0,0,0,0,0
61,117,355,221,311,340,353,0,1225,804,10835,9468,47542,12027,33.99,964702208
62,213,199,289,206,202,202,0,899,566,10621,9664,43331,11462,29.6,932704256
63,280,199,213,191,195,195,0,794,647,10884,9697,47715,11729,29.45,959500288
64,122,314,237,315,314,314,0,1180,755,11050,10025,49029,11681,33.73,989036544
65,0,218,0,217,218,218,0,653,0,10742,10213,47008,10813,6.8,976502784
66,176,237,176,237,237,237,0,887,384,10178,9815,48101,10598,26.75,984506368
68,217,176,182,176,176,176,0,710,217,0,0,0,0,0,0
69,151,0,112,0,0,0,0,112,368,9796,9345,43921,10461,28.67,981389312
70,219,140,222,140,140,140,0,642,525,10141,9293,39117,11162,31.7,1001779200
71,319,103,155,109,103,103,0,470,663,10149,9243,39751,11362,37.91,1009184768
72,163,210,308,204,210,210,0,932,665,10428,9317,43542,11571,30.52,1017626624
73,433,31,0,31,31,31,0,93,1018,0,0,0,0,0,0
74,75,229,171,243,239,231,0,884,1031,10947,9738,48237,12257,29.85,1036419072
75,103,266,387,252,256,264,0,1159,866,10499,9232,44577,11882,33.74,1031692288
76,184,171,287,171,171,171,0,800,776,10183,8720,44373,11927,29.02,982409216
77,221,318,238,333,318,318,0,1207,732,9908,8802,45405,11345,33.84,984473600
78,161,354,138,341,355,355,0,1189,578,0,0,0,0,0,0
79,257,123,273,122,123,123,0,641,558,10250,9396,41170,11325,28.26,962449408
80,184,252,183,251,251,251,0,936,560,10847,9902,40658,11165,34.13,965767168
81,318,216,176,216,216,216,0,824,592,11391,10434,43030,11584,29.19,976605184
82,244,198,18,202,198,198,0,616,804,0,0,0,0,0,0
