second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,70,0,0,0,0,0,0,0,70,9091,9080,30445,7594,1.32,877932544
2,362,0,261,0,0,0,0,261,432,9180,9020,32060,7852,7.57,882860032
3,59,0,230,0,0,0,0,230,491,9401,8408,36896,8679,34.97,920039424
4,115,248,0,248,248,248,0,744,358,8945,8366,30918,7913,6.22,903114752
5,248,243,281,243,242,242,1,1008,509,8824,8181,33980,8116,28.51,911073280
6,430,0,16,0,0,0,0,16,793,9295,8222,36842,9567,33.44,944189440
7,61,242,381,244,244,243,0,1112,831,0,0,0,0,0,0
8,241,39,308,37,37,38,0,420,814,9934,8754,37562,9469,34.18,951578624
9,31,397,140,397,397,397,0,1331,826,10285,8711,40754,9816,31.71,971513856
10,0,308,0,308,308,308,0,924,0,9800,8898,38079,9063,7.14,955461632
11,0,140,0,140,140,140,0,420,0,9400,9389,34521,8097,5.45,934559744
12,295,0,231,0,0,0,0,231,295,9376,9079,38063,8496,16.02,951070720
13,226,0,248,0,0,0,0,248,521,9983,9043,38913,9291,35.13,981073920
14,219,231,226,231,231,231,0,919,713,10210,9043,36856,9472,28.21,982523904
15,0,236,35,245,243,237,0,760,0,0,0,0,0,0,0
16,408,23,30,14,16,22,0,82,658,9584,9051,33017,8761,8.98,968093696
17,271,250,31,250,250,250,0,781,911,9437,8589,39628,10124,29.39,1000878080
18,346,10,198,10,10,10,0,228,1015,9436,8159,43714,11273,38.36,1031946240
19,76,45,331,51,51,51,0,484,1081,0,0,0,0,0,0
20,158,30,412,24,24,24,0,484,1174,10024,7959,44965,11267,32.66,1042108416
21,336,197,95,197,197,197,0,686,1321,9774,7527,49611,11757,37.87,1065213952
22,92,395,185,476,443,396,0,1500,1398,9871,8068,47602,11235,31.08,1070374912
23,15,420,333,339,372,419,0,1463,605,0,0,0,0,0,0
24,0,185,85,185,184,184,1,638,0,10016,8799,43871,10501,26.06,1058336768
25,191,291,152,328,322,294,0,1096,511,9680,8831,42441,10120,6.61,1050132480
26,164,127,168,90,96,124,0,478,357,9851,9276,34678,10066,32.3,1046302720
27,141,152,142,152,152,152,0,598,408,9824,9179,36689,10369,19.39,1054466048
28,223,117,209,123,123,117,0,572,487,9534,8597,39201,10721,31.83,1061216256
