second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,47,0,6,0,0,0,0,6,47,38,8,493,28,3.7,80969728
2,319,0,338,0,0,0,0,338,366,92,8,1168,144,4.24,98234368
3,125,0,147,0,0,0,0,147,491,777,8,7481,1192,43.89,214343680
4,87,0,58,0,0,0,0,58,578,1021,8,9544,1531,23.86,247595008
5,339,0,331,0,0,0,0,331,917,1214,8,11520,1869,18.57,278593536
6,317,0,306,0,0,0,0,306,1234,1911,8,17981,2944,44.8,386101248
7,311,0,335,0,0,0,0,335,1545,2579,8,24707,4105,40.92,472489984
8,72,0,84,0,0,0,0,84,1617,3190,8,29696,4888,36.74,535392256
9,0,0,12,0,0,0,0,12,0,3273,8,30290,4981,4.03,548020224
11,75,0,9,0,0,0,0,9,1692,3273,8,30290,4981,0.19,551944192
12,250,335,286,335,335,335,0,1291,1756,3571,248,32273,5248,19.86,584339456
13,415,156,142,156,156,156,0,610,1889,4423,943,39124,6235,37.65,692146176
14,0,57,303,58,57,57,0,475,0,4752,1103,39885,6222,23.09,726712320
15,0,332,0,331,332,332,0,995,0,4752,1768,37125,5526,6.01,711188480
16,461,171,65,177,176,176,0,594,1767,0,0,0,0,0,0
17,512,127,4,123,124,124,0,375,2152,0,0,0,0,0,0
18,158,386,217,401,398,397,0,1413,2254,5912,2608,44492,7999,31.2,811974656
19,101,42,452,25,28,29,0,534,1983,0,0,0,0,0,0
20,265,11,393,11,11,11,0,426,2237,7168,3242,47642,8036,39.81,882130944
21,190,0,174,0,0,0,0,174,2427,0,0,0,0,0,0
22,15,295,397,295,295,295,0,1282,2306,8130,3317,50006,9038,33.31,947113984
23,26,119,0,126,125,123,0,374,2054,8156,3968,48029,8471,20.16,954552320
24,380,235,127,237,233,234,0,831,2337,8392,4126,50016,8774,18.01,960729088
25,0,91,279,82,87,88,0,536,0,8968,4721,52296,8935,30.44,971018240
26,189,65,108,65,65,65,0,303,2232,9075,4851,52982,9016,7.54,976646144
27,432,4,72,4,4,4,0,84,2660,9807,4857,62865,10681,35.47,1084030976
28,70,208,362,216,209,208,0,995,2664,0,0,0,0,0,0
29,247,311,210,303,310,311,0,1134,2571,10474,5787,62200,10234,31.85,1149087744
30,415,292,4,292,292,292,0,880,2586,10952,6473,58352,11207,29.68,1183498240
31,92,56,308,77,76,73,0,534,2672,0,0,0,0,0,0
32,50,551,328,530,531,534,0,1923,2142,11885,7687,56016,10456,34.49,1230987264
33,285,215,199,215,215,215,0,844,2186,0,0,0,0,0,0
34,172,127,183,127,127,127,0,564,2307,12481,8117,54777,10887,29.42,1156050944
35,208,279,329,279,279,279,0,1166,2242,13014,8929,55329,10913,31.66,1176924160
36,312,57,154,57,57,57,0,325,2415,13564,9033,58214,11840,33.5,1201610752
37,316,106,6,106,106,106,0,324,2651,0,0,0,0,0,0
38,90,88,418,95,94,88,0,695,2654,14478,9295,64380,12796,29.07,1233817600
39,360,145,101,187,164,158,0,610,2963,0,0,0,0,0,0
40,199,359,71,310,333,345,1,1059,2858,15196,10439,68645,13559,34.86,1300037632
41,244,19,161,19,19,19,0,218,2907,0,0,0,0,0,0
42,18,346,422,372,359,352,0,1505,2900,15311,9987,73153,14219,29.08,1349058560
43,0,471,263,445,458,465,0,1631,0,15364,10697,69179,13025,36.69,1353383936
44,0,183,0,183,183,183,0,549,0,15377,11432,66605,12371,8.44,1343016960
45,65,314,65,329,315,314,0,1023,1770,14436,10952,65284,11940,13.27,1341624320
46,0,169,0,154,168,169,0,491,0,14177,11133,63649,11536,6.81,1332625408
47,30,6,30,6,6,6,0,48,1537,13837,10745,64177,11614,5.69,1334329344
48,0,418,0,418,418,418,0,1254,0,13335,11079,60792,10778,8.33,1296113664
49,0,101,0,101,101,101,0,303,0,0,0,0,0,0,0
50,0,71,0,71,71,71,0,213,0,13313,11259,60010,10576,5.68,1291673600
51,145,161,113,161,161,161,0,596,925,13313,11413,58428,10148,8.72,1260535808
52,216,405,202,415,410,405,0,1432,941,13316,11693,59932,10277,26.38,1266941952
53,272,280,195,270,275,280,0,1020,826,13460,12126,61947,10320,33.08,1268232192
54,64,0,187,0,0,0,0,187,792,13684,12071,65131,10833,19.62,1296093184
55,83,65,83,65,65,65,0,278,875,13250,11599,66116,10949,12.38,1317761024
56,168,0,139,0,0,0,0,139,978,13536,11606,59536,11403,26.77,1266364416
57,200,0,9,0,0,0,0,9,1178,0,0,0,0,0,0
58,132,30,328,30,30,30,0,418,1280,13515,11328,48557,12133,19.44,1169473536
59,250,0,236,0,0,0,0,236,1530,13452,10649,53381,12886,35.11,1109389312
60,257,0,259,0,0,0,0,259,1787,13427,10047,58085,13698,26.09,1110487040
61,249,44,217,48,44,44,0,353,1992,12830,8882,63413,14558,33.61,1168384000
62,218,271,228,267,271,271,0,1037,2002,0,0,0,0,0,0
63,195,195,203,195,195,195,0,788,1958,12916,9032,65427,14258,32.27,1169838080
64,203,187,222,187,187,187,0,783,1955,13240,9543,67294,14309,31.03,1193222144
65,18,83,36,83,83,83,0,285,1960,12917,9150,68727,14197,19.69,1204695040
66,163,139,176,139,139,139,0,593,2009,13122,9218,71001,14119,21.64,1225842688
67,0,9,0,9,9,9,0,27,0,12825,9002,70739,13682,4.56,1221234688
68,181,295,142,303,300,297,0,1042,1977,0,0,0,0,0,0
69,152,269,149,261,264,267,0,941,1802,13092,9637,57671,13314,24.46,1153744896
70,368,91,44,91,91,91,0,317,1951,0,0,0,0,0,0
71,144,290,27,297,295,290,0,909,2045,12894,9478,64148,14257,41.17,1183416320
72,86,298,542,304,306,305,0,1457,1804,13219,9979,64024,13557,36.31,1210540032
73,256,205,193,192,192,198,0,775,1648,12052,8848,67330,13565,30.15,1234841600
74,351,201,2,202,201,201,0,606,1952,0,0,0,0,0,0
75,81,80,427,79,80,80,0,666,1819,11923,8759,71156,14145,28.79,1273032704
76,315,37,71,37,37,37,0,182,2082,0,0,0,0,0,0
77,41,139,214,139,139,139,0,631,1975,12311,8630,62832,14096,31.44,1252937728
78,127,142,277,142,142,142,0,703,1999,12491,8547,65189,13947,35.26,1259278336
79,313,95,190,96,95,95,0,476,2178,0,0,0,0,0,0
80,175,98,19,97,98,98,0,312,2321,12535,8322,72034,14786,26.08,1311326208
81,154,27,403,27,27,27,0,484,2382,12561,7951,73953,14687,28.94,1351254016
82,242,434,134,436,436,436,0,1442,2402,0,0,0,0,0,0
83,309,287,1,286,286,286,0,859,2429,11997,7828,78301,15041,31.04,1398693888
84,260,14,28,13,13,13,0,67,2471,0,0,0,0,0,0
85,34,89,458,125,96,91,0,770,2478,12857,8065,83360,15338,31.69,1432666112
86,0,411,268,375,404,409,0,1456,0,12889,8783,65785,14310,30.5,1379475456
87,0,214,0,214,214,214,0,642,0,12858,9289,63990,13432,9.6,1362190336
88,0,277,0,277,277,277,0,831,0,0,0,0,0,0,0
89,0,190,0,190,190,190,0,570,0,12855,9894,61550,12690,8.29,1348919296
90,0,11,0,19,12,12,0,43,0,12855,10220,60293,12038,6.64,1339158528
91,0,411,0,403,410,410,0,1223,0,12851,10878,57634,11044,6.07,1284931584
92,69,134,13,134,134,134,0,415,824,12376,10672,56590,10738,4.45,1259208704
93,266,1,272,1,1,1,0,275,1089,12256,10401,59677,11047,30.47,1274658816
94,287,28,194,28,28,28,0,278,1348,12388,9997,64687,11565,31.61,1318510592
95,0,400,143,424,420,404,0,1391,0,12348,10173,64743,11176,20.54,1313017856
96,60,297,22,278,280,294,2,874,717,12278,10911,61933,10196,16.68,1292234752
97,381,29,107,24,24,26,0,181,1063,0,0,0,0,0,0
98,0,0,312,0,0,0,0,312,0,12774,10637,69015,10873,38.03,1321443328
100,55,0,21,0,0,0,0,21,1118,11856,9719,69011,10262,0.93,1311588352
101,74,0,108,0,0,0,0,108,1192,11492,9097,71340,10431,14.95,1332944896
102,0,13,0,13,13,13,0,39,0,11021,8626,71340,10378,2.09,1333092352
103,0,271,0,271,271,271,0,813,0,10416,8508,69336,9869,5.77,1322549248
104,0,195,0,195,195,195,0,585,0,9953,8504,67635,9431,7.87,1313456128
105,342,143,0,143,143,143,0,429,912,0,0,0,0,0,0
106,195,3,290,3,3,3,0,299,1104,10676,8702,74462,10471,21.53,1326604288
107,173,84,186,92,92,86,0,456,1260,10605,8316,60133,10981,30.91,1326936064
108,113,82,228,74,74,80,0,456,1224,0,0,0,0,0,0
109,281,272,4,272,272,272,0,820,1484,10840,8326,48919,11755,21.57,1319116800
110,522,6,2,8,8,6,0,24,1749,0,0,0,0,0,0
111,50,30,381,29,28,30,0,468,1791,10739,7774,57845,12984,32,1148289024
112,0,93,149,92,93,93,0,427,0,0,0,0,0,0,0
113,0,0,436,0,0,0,0,436,0,11158,7795,58239,12522,32.72,1180446720
116,129,44,0,44,44,44,0,132,1761,9900,6575,53187,12046,3.55,1114124288
117,281,307,29,372,341,317,0,1059,2026,9185,5967,56181,12078,25.55,1086042112
118,92,316,380,251,282,306,0,1219,1642,0,0,0,0,0,0
119,375,37,159,37,37,37,0,270,1849,9411,6418,57190,11776,35.53,1092247552
120,143,6,65,6,6,6,0,83,1986,9927,6420,65194,12841,29.11,1159278592
