second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,55,0,0,0,0,0,0,0,55,5649,5637,25808,5112,1.71,951193600
2,225,0,223,0,0,0,0,223,280,5119,4995,26963,5165,3.73,953425920
3,211,0,268,0,0,0,0,268,491,5457,4881,21222,5625,41.59,935251968
4,112,0,41,0,0,0,0,41,603,5875,4881,24588,6100,30.32,830439424
5,249,0,289,0,0,0,0,289,852,6140,4880,28880,6492,16.04,777818112
6,405,0,13,0,0,0,0,13,1257,6717,4880,32246,7288,32.11,801001472
7,134,0,447,0,0,0,0,447,1391,7160,4629,37694,8167,33.51,859852800
8,195,0,305,0,0,0,0,305,1586,7132,4050,42250,8898,34.27,939302912
9,31,0,31,0,0,0,0,31,1617,6976,3730,43405,8930,6.84,954232832
12,240,223,197,223,223,223,0,866,1682,6061,2810,43164,8902,27.31,906436608
13,255,268,255,268,268,268,0,1059,1672,0,0,0,0,0,0
14,245,6,229,16,12,8,0,265,1860,6620,3364,45937,9078,37.36,933560320
15,0,253,59,286,262,251,0,858,0,7108,3446,49658,9573,29.42,973348864
16,397,83,87,40,68,83,0,278,1921,7036,3850,48791,9075,15.64,975605760
17,394,37,0,38,38,38,0,114,2278,7391,3587,58513,10719,28.91,1059352576
18,300,377,39,484,378,376,0,1277,2516,0,0,0,0,0,0
19,0,111,224,3,109,111,0,447,0,0,0,0,0,0,0
20,50,258,391,258,258,258,0,1165,1963,7437,4097,50583,10313,31.74,1093373952
21,268,0,399,0,0,0,0,399,2150,7790,3836,54868,10650,32.63,1132040192
22,123,183,342,183,183,183,0,891,2180,7908,3771,56411,10674,34.16,1176846336
23,155,251,205,263,261,258,0,987,2111,8102,4024,58306,10815,34.59,1204711424
24,15,247,15,235,237,240,0,727,1870,8132,4596,56527,10329,8.62,1195687936
25,48,59,23,59,59,59,0,200,1751,8189,4714,56787,10337,5.53,1198399488
26,192,87,176,87,87,87,0,437,1856,0,0,0,0,0,0
27,166,0,207,0,0,0,0,207,2022,8608,4888,50959,10825,35.35,1157160960
28,192,39,151,39,39,39,0,268,2198,8943,4887,53626,11045,30.82,1172180992
29,337,1,114,13,9,9,0,145,2511,9412,4964,58142,11485,30.77,1189146624
30,93,537,248,555,530,529,0,1862,2544,9874,5175,60065,11406,37.14,1198833664
31,137,421,209,446,424,422,0,1501,2069,10367,6668,59609,10746,35.76,1223704576
32,202,368,214,322,372,375,1,1283,1850,10826,7602,59631,10141,34.78,1248342016
33,239,234,199,225,225,225,0,874,1644,0,0,0,0,0,0
34,272,15,276,15,15,15,0,321,1879,11356,8086,62667,10500,30.75,1292333056
35,299,0,0,0,0,0,0,0,2178,11928,8116,68815,11600,35.94,1336385536
36,140,150,244,149,149,149,1,691,2272,12726,8415,58597,12119,28.15,1282859008
37,124,257,333,257,257,257,0,1104,2191,0,0,0,0,0,0
38,281,109,132,115,110,109,0,466,2279,13093,8929,60359,11955,37.96,1311387648
39,408,35,0,29,34,35,0,98,2580,0,0,0,0,0,0
40,369,19,0,19,19,19,0,57,2930,0,0,0,0,0,0
41,268,140,141,144,141,140,0,566,3058,0,0,0,0,0,0
42,145,318,3,314,317,318,0,952,3169,14256,9232,74647,14496,32.91,1378738176
43,193,294,145,297,297,297,0,1036,2888,14071,9693,74522,14011,32.88,1380986880
44,0,85,371,82,82,82,0,617,0,0,0,0,0,0,0
45,12,262,418,265,264,263,0,1210,2536,0,0,0,0,0,0
46,36,158,263,162,156,156,1,737,2473,14716,10101,73584,13176,33.55,1422716928
47,47,568,328,561,567,568,0,2024,2341,0,0,0,0,0,0
48,0,132,5,132,132,132,0,401,0,14034,10525,69602,12065,30.26,1403674624
51,0,141,0,141,141,141,0,423,0,13296,10219,67920,11623,3.9,1396248576
52,413,2,0,2,2,2,0,6,1944,0,0,0,0,0,0
53,65,78,151,83,78,78,0,390,1998,13010,9325,64625,13017,26.7,1391329280
54,60,390,329,389,391,391,0,1500,1932,12820,9173,56647,12460,32.1,1393930240
55,172,445,201,462,451,447,0,1561,1601,13067,10454,55821,11971,37.99,1402228736
56,133,285,137,264,277,281,1,959,1368,0,0,0,0,0,0
57,243,289,210,290,289,289,0,1078,1292,13479,10965,51308,12075,27.72,1403871232
58,169,44,187,43,44,44,0,318,1255,13857,11553,48992,12146,37.5,1387732992
59,236,0,253,0,0,0,0,253,1491,14361,11471,53803,12992,34.67,1410646016
60,290,0,226,0,0,0,0,226,1781,13962,10453,59944,14067,35.68,1431400448
61,406,0,1,0,0,0,0,1,2187,0,0,0,0,0,0
62,394,0,0,0,0,0,0,0,2581,0,0,0,0,0,0
63,76,7,175,7,7,7,0,196,2657,12751,8431,72836,16055,28.01,1460822016
64,0,6,5,35,17,6,0,63,0,13598,8415,72990,16025,34.63,1413062656
65,0,345,754,460,336,345,0,1895,0,0,0,0,0,0,0
66,176,460,162,316,458,460,0,1396,2037,13429,9428,67751,14153,34.82,1428426752
67,0,209,42,210,209,209,0,670,0,13266,9440,69187,13881,26.17,1431973888
68,133,188,102,187,188,188,0,665,1858,13017,9398,68459,13486,2.56,1424375808
69,226,196,51,213,212,198,0,674,1927,13458,9997,71680,13731,31.41,1457795072
70,110,65,196,48,49,63,0,356,1826,13723,10204,59896,13966,24.13,1413455872
71,334,203,6,218,203,203,0,630,2149,0,0,0,0,0,0
72,38,16,348,1,16,16,0,381,1979,13060,9608,63513,14383,28.79,1426382848
73,263,23,138,23,23,23,0,207,2219,0,0,0,0,0,0
74,93,156,299,156,156,156,0,767,2257,13249,9024,65856,14595,31.71,1429069824
75,396,60,20,61,61,61,0,203,2492,13275,8921,70163,15102,29.05,1461542912
76,7,744,84,751,750,750,0,2335,1801,0,0,0,0,0,0
77,56,155,353,147,148,148,0,796,1756,12441,9076,63994,13366,32.42,1449697280
78,213,69,250,77,69,69,0,465,1800,12541,9014,66962,13314,35.3,1474752512
79,141,84,134,76,84,84,0,378,1857,12936,9252,59145,13612,28.88,1491615744
80,210,196,216,196,196,196,0,804,1932,13440,9712,61840,13888,30.56,1492467712
81,174,6,174,6,6,6,0,192,2039,0,0,0,0,0,0
82,198,213,201,268,265,218,0,952,2136,13612,9442,64448,14317,31.65,1485099008
83,302,271,76,216,219,266,0,777,2055,13758,10111,64310,13808,36.18,1470984192
84,304,15,3,24,24,24,0,75,2347,13443,9375,66677,15109,26.29,1512443904
85,62,294,229,285,285,285,0,1084,2337,13335,9155,66846,14730,32.61,1507868672
86,120,42,313,42,42,42,0,439,2190,0,0,0,0,0,0
87,209,166,82,259,168,166,0,675,2354,12463,8184,68928,15011,36.52,1540173824
88,0,485,314,397,484,484,1,1679,0,12848,9145,64333,13853,30.21,1513168896
89,0,140,0,134,138,140,0,412,0,12853,9627,63183,13204,5.66,1500684288
90,0,216,0,216,216,216,0,648,0,0,0,0,0,0,0
91,0,171,0,172,172,171,0,515,0,12853,10059,61436,12646,10.68,1490468864
92,0,204,0,203,203,204,0,610,0,12853,10505,59693,12041,6.8,1477750784
93,0,76,0,76,76,76,0,228,0,12841,10853,58105,11419,4.54,1465184256
94,0,3,0,3,3,3,0,9,0,12805,10913,57942,11107,6.55,1459691520
95,145,162,122,181,179,168,0,650,1011,11707,9703,58523,10713,13.32,1457000448
96,139,190,122,247,242,185,1,796,988,0,0,0,0,0,0
97,130,272,90,196,202,270,0,758,870,11357,10071,40625,10162,30.28,1444409344
98,182,302,216,314,303,302,0,1135,771,11370,9890,40816,10415,27.49,1292025856
99,234,12,231,0,11,12,0,254,830,11412,9992,42770,10181,30.66,1075175424
100,233,0,259,0,0,0,0,259,1063,11869,9880,48011,10512,41.46,1067937792
101,0,0,23,0,0,0,0,23,0,11591,9454,48772,10387,10.89,1067479040
103,129,0,129,0,0,0,0,129,1192,0,0,0,0,0,0
105,0,122,0,122,122,122,0,366,0,11367,8972,51094,10392,0.74,1072156672
106,0,122,0,122,122,122,0,366,0,9765,7722,49703,10025,3.89,1064624128
107,20,90,0,90,90,90,0,270,878,9571,7664,49169,9843,3.9,1059844096
108,204,163,136,172,168,165,0,641,947,9522,7825,49511,9751,17.81,1063272448
109,188,275,254,275,278,281,0,1088,920,9873,8150,40680,9969,32.44,1071783936
110,216,208,196,214,200,200,0,810,873,9982,8298,42981,10173,34.49,1083736064
111,426,33,21,18,33,33,0,105,1233,10466,8492,46576,11449,27.26,1082990592
112,213,50,34,50,50,50,0,184,1396,0,0,0,0,0,0
113,55,129,657,129,129,129,0,1044,1415,10523,7906,50581,11601,29.68,1089421312
114,252,0,232,0,0,0,0,232,1574,10523,7852,51355,11497,42.01,1127682048
115,102,0,146,0,0,0,0,146,1676,10508,7264,56669,12260,32.65,1172037632
118,0,136,0,136,136,136,0,408,0,9195,6091,52454,11461,4.97,1151078400
119,137,245,98,245,245,245,0,833,1471,9038,6147,52218,11043,13.02,1146548224
120,202,199,197,205,205,205,0,812,1466,9122,6251,54764,11074,32.86,1149116416
121,391,11,59,5,5,5,0,74,1815,9277,6002,61536,11743,29.95,1182011392
122,272,17,1,17,17,17,0,52,2070,0,0,0,0,0,0
123,277,61,226,61,61,61,0,409,2336,9193,5480,67065,12373,40.04,1226334208
124,29,647,220,647,647,647,0,2161,2267,0,0,0,0,0,0
125,44,229,257,229,229,229,0,944,1675,9545,6727,65311,11312,31.62,1250791424
