second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,47,0,27,0,0,0,0,27,47,8792,8777,387,27,1.32,181706752
2,364,0,341,0,0,0,0,341,411,7910,7681,1750,269,10.46,189644800
3,80,0,123,27,3,1,0,154,491,8920,7547,8649,1487,55.58,224858112
4,88,358,71,335,359,361,0,1126,272,8909,7655,8148,1252,7.15,218161152
5,389,133,384,129,129,129,0,771,477,8689,8047,3251,535,33.74,175992832
6,372,55,372,60,57,57,0,546,795,9476,7647,10970,1896,61.7,230649856
7,217,392,220,387,390,390,0,1387,795,10189,7836,14297,2271,59.7,270680064
8,54,380,48,380,380,380,0,1188,624,9592,8145,13485,1395,36.41,265764864
9,6,220,31,220,220,220,0,691,299,9037,8493,3649,543,17.44,233123840
10,0,48,0,48,48,48,0,144,0,8495,8381,2641,123,3.58,230117376
11,50,31,27,31,31,31,0,120,50,8345,8331,2414,30,1.33,228409344
12,336,0,342,0,0,0,0,342,386,8969,8073,5419,915,41.74,185487360
13,354,20,371,25,20,20,0,436,740,9441,7299,12915,2250,51.05,245993472
14,0,344,0,343,344,344,0,1031,0,9238,7889,10834,1365,16.5,240648192
15,26,376,11,372,376,376,0,1135,26,8670,8487,7882,138,17.36,231022592
16,545,0,370,0,0,0,0,370,571,9318,7865,9666,1699,55.71,222220288
17,292,0,464,0,0,0,0,464,863,10419,7865,15060,2622,57.89,270450688
18,274,328,263,342,332,328,0,1265,882,0,0,0,0,0,0
19,302,411,231,401,409,413,0,1454,824,11251,8641,17849,2441,56.77,292130816
20,248,348,323,348,346,346,0,1363,699,11586,9691,11592,1645,57.64,285851648
21,0,252,25,248,252,252,0,777,0,11353,9768,12896,1371,39.57,300470272
22,15,316,15,323,322,322,0,982,215,10728,9871,11211,609,11.93,277635072
23,93,32,76,25,26,26,0,153,108,9804,9567,9914,73,10.92,268148736
24,313,15,330,15,15,15,0,375,406,10060,8945,6993,1168,49.12,202493952
25,0,70,0,73,70,70,0,213,0,10115,8883,7440,1246,4.89,206708736
26,279,336,259,333,336,336,0,1264,279,10197,9649,3844,553,33.89,187379712
27,342,0,362,0,0,0,0,362,621,11040,9181,10949,1891,56.25,247959552
28,105,227,90,244,241,238,0,813,627,10911,9364,10543,1419,24.41,254046208
29,355,161,348,154,157,159,0,818,799,0,0,0,0,0,0
30,364,299,249,289,289,290,0,1117,794,11917,9838,11800,1740,56.01,276520960
31,21,352,141,372,358,357,0,1228,436,12616,10389,12965,2175,53.04,317964288
32,315,266,316,249,263,264,0,1092,581,12689,11107,8521,1423,34.59,265682944
33,147,140,163,141,137,137,0,578,498,13362,11706,11185,1374,57.07,264077312
34,340,293,226,294,293,293,0,1106,536,12655,11328,8217,1326,24.18,243290112
35,403,190,231,185,190,190,0,796,743,13065,11805,9426,1209,50.24,250908672
36,269,83,337,83,83,83,0,586,950,14269,11756,16236,2823,55.9,276111360
37,442,225,208,225,225,225,0,883,1146,14119,11490,18092,2941,54.48,295411712
38,96,282,362,286,285,282,0,1215,1198,0,0,0,0,0,0
39,221,374,255,370,371,374,0,1370,1113,14139,11102,19037,3062,52.15,339066880
40,0,396,152,400,396,396,0,1344,0,13774,12092,15378,1449,47.42,335069184
41,0,236,0,232,236,236,0,704,0,13516,12652,13543,687,10.14,322347008
42,65,175,65,175,175,175,0,590,65,13307,13094,1478,219,18.21,278736896
44,30,65,30,65,65,65,0,225,95,12554,12450,1528,114,7.69,270680064
46,0,30,0,30,30,30,0,90,0,11848,11744,1528,114,0.56,270974976
48,85,0,69,0,0,0,0,69,85,11092,11078,1313,24,0.38,270041088
49,421,0,422,0,0,0,0,422,506,10826,10326,3388,558,24.92,200044544
50,156,63,171,66,63,63,0,363,662,11416,9570,11057,1912,62.96,253349888
51,35,412,35,410,413,413,0,1271,371,10953,9542,10056,1362,12.88,245837824
52,83,187,83,186,186,186,0,641,118,9933,9674,7636,219,21.3,228933632
53,226,35,210,35,35,35,0,315,309,10122,9754,9160,438,15.89,233140224
54,301,83,292,83,83,83,0,541,527,11255,9876,8121,1287,56.61,230432768
55,272,198,283,202,199,199,0,883,663,11831,9918,11674,1866,44.43,249049088
56,301,298,299,298,301,298,0,1196,664,11901,9946,11640,2013,55.61,277123072
57,312,274,317,275,275,278,0,1145,658,12624,10554,13420,1965,51.69,271949824
58,450,210,143,205,205,205,0,758,893,12985,10560,15086,2663,47.54,275324928
59,15,411,333,421,411,411,0,1576,886,12807,11128,10995,1452,52.33,298311680
60,0,153,0,143,153,153,0,449,0,0,0,0,0,0,0
61,0,333,0,333,333,333,0,999,0,11177,10157,9328,756,8.22,285904896
62,176,0,176,0,0,0,0,176,176,10308,10279,7575,23,9.52,272334848
64,141,176,122,176,176,176,0,650,141,9950,9409,10565,550,0.56,281255936
