second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,0,134,0,0,0,0,134,135,29,12,318,16,0,70623232
1,134,0,132,0,0,0,0,132,269,437,12,2642,428,21.74,97665024
2,136,133,137,134,133,133,0,537,278,834,12,4959,838,20.59,132108288
3,135,129,136,131,129,129,0,525,280,1131,288,5559,851,31.31,150990848
4,135,140,135,138,141,141,0,555,285,1413,546,5505,880,33.61,156241920
5,135,136,133,135,135,135,0,538,283,1694,846,5831,846,32.61,171982848
6,135,135,137,136,135,135,0,543,283,1968,1123,5447,850,27.57,164831232
7,135,134,135,133,134,134,0,536,280,2254,1404,5396,847,39.38,165961728
8,135,136,135,137,136,136,0,544,282,2532,1684,5680,846,25.06,175022080
9,135,135,134,135,135,135,0,539,284,2813,1963,5555,846,18.37,170717184
10,135,135,136,135,136,135,0,542,278,3089,2248,5373,849,20.83,169267200
11,135,135,135,134,134,135,0,538,279,3371,2526,5965,845,20.2,163688448
12,135,135,135,136,136,136,0,543,279,3644,2796,5152,848,19.36,161280000
13,135,135,135,135,134,134,0,538,280,3921,3076,6046,845,19.16,165916672
14,135,126,135,131,126,126,0,518,286,4197,3352,5761,843,20.61,164352000
15,135,128,135,126,128,128,0,517,299,4479,3620,6111,861,21.21,169140224
16,135,104,135,138,104,104,0,481,340,4831,3863,5958,908,16.64,169492480
17,135,96,135,99,96,96,0,426,381,5157,4039,6907,1059,18.13,176652288
18,135,130,135,135,130,130,0,530,363,5436,4363,6710,992,19.55,186834944
19,135,140,135,150,140,140,0,565,380,5713,4559,7025,1111,19.8,190705664
20,135,198,135,148,198,198,0,679,394,5991,4919,6607,991,24.28,195284992
21,135,120,135,132,120,120,0,507,323,6256,5191,5821,985,21.5,174809088
22,135,134,134,142,134,134,0,544,319,6545,5507,5986,941,15.21,173944832
23,135,143,136,135,143,143,0,557,317,6825,5769,6183,935,21.96,174186496
24,135,134,135,135,134,134,0,538,320,7103,6045,6443,968,20.98,175878144
25,135,136,135,135,136,136,0,542,324,7373,6335,6306,928,18.26,181739520
26,135,133,135,126,133,133,0,527,326,7657,6582,6532,992,19.12,183828480
27,135,161,135,155,161,161,0,612,317,7912,6928,6332,879,19.83,180031488
28,135,137,135,137,137,137,0,546,298,8154,7206,5673,858,24.68,162889728
29,135,36,97,32,36,36,0,201,376,8405,7348,7406,1054,17.02,176721920
30,135,0,0,0,0,0,0,0,511,8544,7348,8288,1201,2.33,188305408
31,135,337,289,336,337,337,0,1299,530,8869,7834,5656,956,53.77,170127360
32,135,0,154,0,0,0,0,154,444,0,0,0,0,0,0
33,135,286,135,289,289,289,0,1002,506,8927,7564,8060,1380,15.61,191295488
34,135,156,134,154,153,153,0,594,291,9004,7929,5902,840,26.34,186294272
35,131,132,131,131,132,132,0,526,284,8784,7941,6369,846,21.5,181088256
36,136,134,136,135,135,134,0,540,280,8807,7948,5301,836,21.93,162725888
37,138,135,138,134,134,135,0,541,279,8826,7981,5275,841,17.32,173203456
38,135,136,136,136,136,136,0,544,279,8835,7986,5832,840,22.41,168206336
39,135,138,134,138,138,138,0,548,284,8840,7998,5438,840,19.99,165101568
40,135,136,136,136,136,136,0,544,278,8843,8001,5379,839,22.63,175329280
41,135,134,135,134,134,134,0,537,278,8851,8008,5962,837,22.98,171134976
42,135,135,135,136,136,136,0,543,278,8873,8022,5162,837,19.68,167309312
43,135,136,135,135,135,135,0,540,279,8874,8030,5276,842,19.39,169791488
44,135,135,135,135,135,135,0,540,278,8890,8047,5204,836,22,164728832
45,135,134,135,135,135,134,0,539,280,8918,8076,5458,839,22.69,180592640
46,135,135,134,135,135,136,0,540,280,8995,8151,5565,841,22.41,181551104
47,135,136,136,135,135,135,0,541,279,9127,8287,5019,839,18.69,184455168
48,135,133,134,134,133,133,0,534,281,9055,8212,6022,843,21.47,176472064
49,135,136,135,136,136,136,0,543,280,8729,7884,5423,835,19.93,170483712
50,130,129,131,128,129,129,0,517,278,8776,7934,5114,837,22.95,167432192
51,140,141,136,141,141,141,0,559,280,8752,7908,6126,838,17.26,171945984
52,135,131,138,131,131,131,0,531,286,8759,7916,5586,838,16.22,162713600
53,135,136,136,136,136,136,0,544,278,8788,7944,5055,836,20.9,166731776
54,135,138,134,138,138,138,0,548,280,8805,7960,6101,837,20.65,171687936
55,135,135,136,136,135,135,0,542,282,8837,7985,5478,836,22.17,166133760
