second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,81,0,0,0,0,0,0,0,81,8787,8776,30125,7409,2.64,771264512
2,308,0,314,0,0,0,0,314,389,8944,8776,31825,7703,10.05,777076736
3,102,0,177,0,0,0,0,177,491,9682,8776,38460,8822,38.15,815480832
4,92,266,53,280,272,271,0,876,317,9703,8960,31604,8600,7.56,810971136
5,265,225,231,211,218,219,1,879,411,9536,8880,34916,8801,27.45,818466816
6,382,16,270,16,16,16,0,318,723,0,0,0,0,0,0
7,216,63,242,63,63,63,0,431,883,9727,8494,42182,9816,39.55,865468416
8,140,475,299,475,475,475,0,1724,653,10305,9196,37736,9542,35.14,875892736
9,31,242,31,242,242,242,0,757,365,10419,9634,37484,9311,17.82,869638144
10,0,299,0,299,299,299,0,897,0,9677,9396,35758,8697,6.01,858152960
11,0,31,0,31,31,31,0,93,0,9307,9234,34933,8276,3.57,850112512
12,197,0,136,0,0,0,0,136,197,8926,8746,36726,8578,11.1,823668736
13,317,0,245,0,0,0,0,245,514,9539,8640,44212,9732,35.66,872882176
14,226,129,275,131,129,129,0,664,740,0,0,0,0,0,0
15,0,252,84,250,252,252,0,838,0,9685,8476,46716,9981,24.29,906584064
16,148,114,106,162,161,119,0,548,453,9457,8728,44887,9421,9.2,909152256
17,198,245,98,197,198,240,0,733,375,8990,8384,33535,9114,21.75,895582208
18,250,33,275,40,38,36,0,389,587,9162,8142,35989,9927,39.82,920285184
19,245,128,229,121,123,125,0,598,699,9583,8332,39452,10452,32.76,921694208
20,372,128,178,136,131,129,0,574,924,0,0,0,0,0,0
21,352,183,15,221,223,189,0,648,1215,9679,7928,47673,11953,33.34,974131200
22,122,325,149,304,307,318,0,1078,1081,0,0,0,0,0,0
23,15,104,565,79,79,104,0,827,848,10110,8740,46922,11646,34,980054016
24,116,149,165,149,149,149,0,612,768,10249,8884,42808,11010,28.94,971321344
25,201,562,179,562,562,562,0,1865,767,9960,8926,43471,10695,21.65,964349952
26,89,165,149,168,165,165,0,647,410,10088,9265,44574,10561,32.62,962277376
27,232,154,172,151,154,154,0,631,409,9935,9256,45802,10285,18.39,969863168
28,217,177,169,177,177,177,0,700,479,10323,9577,38489,10459,34.16,970072064
29,231,126,253,127,127,127,0,634,623,0,0,0,0,0,0
30,403,82,87,86,82,82,0,337,877,10284,9213,39688,10920,30.77,978649088
31,335,198,27,193,196,196,1,612,1174,0,0,0,0,0,0
32,19,220,330,220,220,220,0,990,812,11182,9772,48114,12323,33.09,1032802304
33,251,71,400,71,71,71,0,613,991,11562,10021,46220,11865,32.67,1027792896
34,81,340,278,340,340,340,0,1298,1015,11469,9689,47154,11822,37.99,1039228928
35,159,392,211,401,392,392,0,1396,887,11818,10809,46243,11341,26.68,1037189120
36,184,277,134,273,282,279,0,968,535,0,0,0,0,0,0
37,255,101,201,96,96,99,0,492,560,12055,11239,41925,11463,34.73,1040850944
38,452,25,0,27,25,25,0,77,987,11824,10685,45412,11978,28.75,1051799552
39,372,145,58,143,145,145,0,491,1214,0,0,0,0,0,0
40,376,114,2,114,114,114,0,344,1476,0,0,0,0,0,0
41,132,187,153,187,187,187,0,714,1540,11889,10107,56444,13969,32.25,1145864192
42,0,43,413,44,44,43,0,544,0,12751,10342,54631,13691,29.31,1147346944
43,0,32,375,39,31,32,0,477,0,0,0,0,0,0,0
44,52,532,437,526,532,532,1,2027,908,13110,10717,52031,12323,36.83,1163452416
45,13,378,64,376,377,377,0,1194,877,12451,11435,49213,11337,15.75,1150332928
46,30,436,30,437,435,435,1,1337,95,12021,11819,46233,10459,10.6,1141633024
47,0,65,0,64,65,65,0,194,0,11819,11747,45713,10329,1.58,1139073024
48,0,30,0,30,30,30,0,90,0,11607,11595,45473,9869,3.92,1131474944
51,221,0,167,0,0,0,0,167,221,11193,11129,46458,9905,6.43,1135226880
52,308,0,33,0,0,0,0,33,529,10902,10405,35624,10253,34.3,1132134400
53,150,167,404,167,167,167,0,905,576,11198,10099,39851,10987,27.36,957435904
54,101,33,176,33,33,33,0,275,582,10493,9483,40570,10821,19.07,912261120
55,107,393,22,394,394,393,0,1203,594,9988,8823,39983,10414,21.37,903307264
56,296,127,14,137,126,127,0,404,564,10445,9515,44800,10668,38.93,909471744
57,161,60,405,49,60,60,0,574,564,0,0,0,0,0,0
58,428,30,146,30,30,30,0,236,962,10245,9187,40162,11035,34.24,925384704
59,151,298,66,300,298,298,0,962,1026,10772,9180,47207,12411,27.17,925835264
60,249,202,447,200,201,201,1,1049,862,11022,9722,46069,11813,30.04,918360064
61,452,12,0,13,12,12,0,37,1302,11473,9768,54446,13384,30.33,974761984
62,33,300,223,422,396,300,0,1341,1334,11544,9297,56096,12979,30.97,1013366784
63,0,258,357,135,161,257,1,910,0,0,0,0,0,0,0
64,0,223,197,223,223,223,0,866,0,11291,9803,49676,12243,29.06,1002729472
65,176,357,176,357,354,354,3,1241,727,10939,9554,46436,12038,16.77,1006362624
66,0,197,0,197,197,197,0,591,0,10306,9940,42124,10707,19.45,978817024
67,214,176,174,176,176,176,0,702,249,10013,9544,43748,10649,13.59,978714624
68,253,0,124,0,0,0,0,124,467,9912,9316,37398,10867,28.91,978391040
69,175,138,293,143,143,143,0,722,548,10285,9311,40965,11359,33.15,968200192
70,434,68,80,63,63,63,0,269,870,10608,9293,46529,12565,35.94,989270016
71,73,221,415,221,221,221,0,1078,894,0,0,0,0,0,0
72,444,16,1,91,17,16,0,125,1150,0,0,0,0,0,0
73,14,338,274,263,337,338,0,1212,872,11287,9929,49483,12706,33.69,1002766336
74,326,78,232,78,78,78,0,466,1074,10799,9144,52611,12730,35.58,1040310272
75,66,261,334,261,261,261,0,1117,1075,10158,8483,54130,12757,40.95,1074913280
76,89,473,161,473,473,473,0,1580,882,0,0,0,0,0,0
77,280,62,122,62,62,62,0,308,713,9914,8912,51996,11938,20.78,1069645824
78,216,432,114,433,431,430,2,1408,927,10409,9040,58591,12827,27.85,1096527872
79,33,122,285,121,121,122,0,649,521,10896,9920,49518,11935,31.23,1067966464
80,227,98,192,98,98,98,0,486,605,11271,10118,44554,11917,27.75,1071435776
81,302,291,52,302,302,291,0,947,777,11699,10840,45401,11683,29.64,1066557440
82,139,146,296,183,160,147,0,786,624,0,0,0,0,0,0
83,191,108,273,60,83,107,0,523,636,12183,11224,42837,11716,32.06,1070964736
84,113,297,167,297,297,297,0,1058,712,12288,10989,44806,12259,34.36,1078046720
85,0,273,0,273,273,273,0,819,0,12452,11720,42476,11460,11.35,1061281792
86,0,167,0,167,167,167,0,501,0,11631,11383,40124,10618,7.18,1044250624
91,111,0,73,0,0,0,0,73,111,9988,9902,35311,9308,7.38,1022193664
92,370,0,129,0,0,0,0,129,481,0,0,0,0,0,0
93,141,30,416,40,31,30,0,517,622,10177,9292,39482,10952,29.58,842420224
94,0,172,4,162,170,171,1,507,0,10264,9330,38857,10354,25.27,817344512
95,99,169,76,332,229,178,0,815,350,9880,9091,38265,9997,3,811155456
96,265,251,260,88,189,240,2,777,364,9243,8768,39549,9933,31.77,824778752
97,77,76,105,76,76,76,0,333,441,9317,8422,36463,10220,24.61,807821312
98,0,256,0,256,256,256,0,768,0,9281,8850,34425,9251,9.55,792682496
99,84,109,49,109,109,109,0,376,84,8945,8932,32966,8513,5.83,777134080
100,45,0,80,0,0,0,0,80,129,8873,8602,35135,8508,11.95,778706944
