second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,56,0,0,0,0,0,0,0,56,10036,10018,34987,8651,2.06,822661120
2,405,0,170,0,0,0,0,170,461,9835,9690,36501,8747,14.05,821080064
3,30,0,321,0,0,0,0,321,491,10503,9690,43612,9900,36.05,876888064
4,80,170,55,170,170,170,0,565,401,10690,9906,34704,9424,15.57,856420352
5,221,247,205,321,320,250,1,1096,516,11118,10432,36781,9281,26.01,875511808
6,293,79,246,8,8,77,0,339,594,11401,10386,36937,9671,33.15,882540544
7,241,242,259,239,239,240,0,977,590,11436,10330,38286,9722,30.6,819490816
8,256,208,275,251,250,221,0,997,724,0,0,0,0,0,0
9,35,310,86,267,268,297,0,918,637,11641,10508,41240,9915,34.04,850784256
10,0,210,0,213,210,210,0,633,0,11088,10434,39192,9399,5.07,840474624
11,36,151,0,148,151,151,0,450,36,10752,10734,36634,8763,5.43,830930944
12,310,0,306,0,0,0,0,306,346,10793,10388,40673,9445,18.76,869089280
13,233,0,174,0,0,0,0,174,579,11031,10032,40935,10217,29.28,860618752
14,161,294,240,299,294,294,0,1127,717,11294,10323,38408,10311,28.26,881803264
15,0,186,20,181,186,186,0,573,0,10912,10374,36275,9811,4.48,871460864
16,298,145,196,237,234,148,0,815,507,0,0,0,0,0,0
17,283,100,168,8,11,97,0,284,596,11566,10834,40685,10298,30.51,892542976
18,376,169,21,171,169,169,0,530,898,11593,10460,43772,11513,28.75,907984896
19,166,60,128,63,65,65,0,321,915,0,0,0,0,0,0
20,205,161,428,156,156,156,0,896,1021,11563,9966,46119,12135,31.84,961196032
21,114,138,394,138,138,138,0,808,1031,11660,9726,48800,12197,32.88,969445376
22,186,428,264,428,428,428,0,1548,978,11851,10561,47720,11525,38.42,1000718336
23,74,392,103,393,392,392,0,1280,716,11831,11000,46800,10886,30.48,995753984
24,186,249,124,252,250,249,0,875,306,0,0,0,0,0,0
25,220,120,282,116,119,120,0,637,479,10799,10183,50848,11365,27.18,1038503936
26,52,104,21,124,109,105,0,359,362,10827,10119,50372,10928,10.16,1042571264
27,192,124,106,104,119,123,0,452,422,10172,9491,39360,11073,24.21,988209152
28,377,181,6,188,182,181,0,557,797,0,0,0,0,0,0
29,42,90,481,83,89,90,0,743,598,10115,9011,41160,11362,35.56,1008955392
30,418,37,44,39,38,38,0,159,954,0,0,0,0,0,0
31,114,84,423,83,84,84,0,674,986,10784,9211,47742,12539,37.14,1052340224
32,250,425,29,424,423,423,1,1299,1223,11504,10209,49550,12622,28.74,1060020224
33,112,217,374,355,296,229,1,1254,824,0,0,0,0,0,0
34,256,225,152,87,145,212,0,596,732,11879,10859,44547,12150,41.02,1027616768
35,119,384,239,396,395,392,0,1422,733,11674,10325,47740,12238,32.59,1060216832
36,322,52,54,40,41,44,0,179,737,0,0,0,0,0,0
37,225,136,59,136,136,136,0,467,826,11867,10899,47352,12640,32.43,1031278592
38,356,202,218,202,202,202,0,824,980,11519,10431,48230,12810,29.92,1045856256
39,243,96,168,96,96,96,0,456,1127,11635,10217,50246,13376,29.27,1076416512
40,371,17,0,17,17,17,0,51,1481,0,0,0,0,0,0
41,79,256,238,256,256,256,0,1006,1498,0,0,0,0,0,0
42,95,27,301,40,27,27,0,395,1372,12155,10146,58163,14162,30.94,1135382528
43,12,169,385,156,169,169,0,879,1373,0,0,0,0,0,0
44,64,286,333,333,330,290,0,1286,1279,12177,10111,52168,13039,32.7,1115099136
45,65,592,133,545,548,588,0,1814,837,12282,11314,45983,11477,34.62,1074716672
46,17,333,0,333,333,333,0,999,150,11804,11460,43616,10639,8.29,1062223872
47,13,133,30,133,133,133,0,429,163,0,0,0,0,0,0
49,0,30,0,30,30,30,0,90,0,11454,11436,42542,9649,1.68,1044553728
51,169,0,129,0,0,0,0,129,169,10601,10529,43262,9554,4.54,1043156992
52,310,0,10,0,0,0,0,10,479,10250,9741,36739,10494,24.84,1062051840
53,129,129,404,129,129,129,0,791,532,10036,9165,37745,10353,33.45,870871040
54,89,10,154,10,10,10,0,184,558,9959,8825,39792,10341,14.05,865931264
55,83,404,83,404,403,403,1,1293,635,0,0,0,0,0,0
56,349,137,42,137,136,136,1,451,449,9979,9487,37978,9782,16.49,849383424
57,195,40,341,40,40,40,0,461,604,10176,9513,43555,10671,21.75,867917824
58,205,102,319,102,102,102,0,625,707,10735,9501,46947,11144,28.98,894042112
59,314,34,28,34,34,34,0,130,995,10597,8987,46389,12265,42.35,934453248
60,187,408,316,409,408,408,0,1541,990,0,0,0,0,0,0
61,566,12,0,11,12,12,0,35,1320,0,0,0,0,0,0
62,61,400,174,402,401,401,0,1378,1381,10721,9139,55400,13234,30.04,983040000
63,0,150,534,148,149,149,0,980,0,10769,9089,54589,12389,35.52,1009676288
64,0,172,123,173,172,172,0,640,0,0,0,0,0,0,0
65,74,378,0,377,378,378,0,1133,573,10565,9269,53080,11862,9.14,1007919104
66,102,281,176,281,281,281,0,1019,452,9883,9580,39902,10718,36.74,961228800
67,80,0,0,0,0,0,0,0,256,9601,9231,40134,10490,7.21,960258048
68,282,66,215,66,66,66,0,413,472,0,0,0,0,0,0
69,362,110,8,110,110,110,0,338,759,10202,9107,42968,11830,32.02,981884928
70,76,172,428,172,172,172,0,944,754,0,0,0,0,0,0
