second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,58,0,0,0,0,0,0,0,58,9781,9766,47600,8633,1.87,1070718976
2,287,0,306,0,0,0,0,306,345,9905,9766,49297,8789,10.29,1080877056
3,146,0,184,0,0,0,0,184,491,10325,9498,56308,9714,41.46,1145065472
4,126,286,53,304,286,286,0,929,332,10167,9410,55394,9110,8.71,1148403712
5,100,86,97,68,86,86,0,337,346,10210,9544,32014,8948,26.41,1097662464
6,265,140,168,159,153,148,0,628,479,0,0,0,0,0,0
7,283,128,251,109,115,120,0,595,625,9902,9070,35226,9443,38.92,873975808
8,281,168,282,168,168,168,0,786,740,10548,9346,40638,10027,40.16,889229312
9,71,251,276,251,251,251,0,1029,765,11091,9956,37911,9571,34.89,867733504
10,0,282,0,282,282,282,0,846,0,11102,10534,35605,8771,6.54,851865600
11,0,276,0,276,276,276,0,828,0,10904,10888,33368,8065,5.04,835547136
12,170,0,98,0,0,0,0,98,170,0,0,0,0,0,0
13,338,0,306,0,0,0,0,306,508,10363,10036,37495,8631,16.66,854589440
14,232,98,328,98,98,98,0,622,712,10678,9572,43455,9564,35.74,911212544
15,0,305,8,305,305,305,0,923,0,10716,9483,45596,9819,21.11,949362688
16,129,320,72,329,326,323,0,1050,182,10392,10045,41958,8919,9.83,938024960
17,460,17,23,8,11,14,0,56,589,10741,10231,48232,10026,26.16,992747520
18,379,4,0,4,4,4,0,12,964,0,0,0,0,0,0
19,185,91,166,91,91,91,0,439,1111,11402,10216,45071,11749,29.72,1001963520
20,148,0,244,0,0,0,0,244,1206,11277,9257,48548,12047,30.68,1010024448
21,98,18,469,18,18,18,0,523,1286,11546,9245,50045,12330,37.21,988274688
22,113,299,346,361,361,304,0,1372,1316,0,0,0,0,0,0
23,127,562,266,500,499,556,1,1821,1100,12012,9907,50312,11771,34.31,993619968
24,72,346,116,346,345,345,1,1152,728,11148,10069,47338,10831,29.65,1005015040
25,265,228,200,236,228,228,0,892,451,10902,10216,47505,10516,24.71,1023160320
26,132,154,206,146,154,154,0,660,452,10790,9963,50292,10798,28.65,1054081024
27,148,199,100,200,199,199,0,698,390,10083,9385,51124,10620,26.64,1071374336
28,281,207,231,206,207,207,0,851,453,0,0,0,0,0,0
29,192,16,15,31,21,16,0,83,621,10191,9399,55422,11146,32.49,1115996160
30,83,314,321,300,310,315,0,1246,592,10200,9176,40188,11077,25.31,1070686208
31,309,10,181,9,9,9,0,208,673,10732,9601,42448,11640,29.03,1085067264
32,209,275,44,287,280,274,1,885,824,0,0,0,0,0,0
33,237,160,333,168,158,160,1,819,732,11373,10244,43532,11333,32.07,1079918592
34,433,23,1,3,18,22,0,44,1094,0,0,0,0,0,0
35,36,377,238,378,377,377,0,1370,1130,11417,9947,48311,12642,31.87,1067610112
36,105,51,475,50,51,51,0,627,807,11741,10315,44700,12128,32.97,1050689536
37,245,130,155,234,221,131,0,741,1025,11840,10045,49652,12930,28.79,1075347456
38,231,417,212,383,327,416,0,1338,923,0,0,0,0,0,0
39,291,171,141,101,170,171,0,583,856,11960,10799,50098,12769,33.57,1081004032
40,126,286,243,292,289,287,0,1111,881,11738,10225,48731,12847,31.92,1067528192
41,221,150,193,145,147,149,0,634,768,11749,10501,50017,12688,31.28,1067450368
42,149,133,226,185,163,133,0,707,836,12084,10605,48397,12800,32.14,1061216256
43,117,301,226,249,271,301,0,1047,785,0,0,0,0,0,0
44,201,254,238,253,254,254,0,999,670,12560,11484,44658,12149,32.13,1053396992
45,150,267,191,267,267,267,0,992,551,12431,11378,44228,12262,32.96,1057460224
46,30,238,30,238,238,238,0,744,393,12041,11478,43124,11561,19.26,1043423232
47,0,191,0,191,191,191,0,573,0,11817,11606,41730,10963,5.14,1031593984
48,0,30,0,30,30,30,0,90,0,11675,11662,40728,10287,5.23,1019629568
50,204,0,61,0,0,0,0,61,204,11843,11604,41063,10348,13.33,1024020480
51,262,0,7,0,0,0,0,7,466,0,0,0,0,0,0
52,83,46,442,61,61,50,0,614,533,12224,11233,39735,11207,34.38,849133568
53,148,18,187,7,7,15,0,216,636,11721,10512,42452,11043,36.93,857296896
54,83,373,76,419,416,380,0,1291,574,10849,9854,41887,10754,5.96,854671360
55,156,260,119,210,213,252,0,794,239,10295,10046,39661,10011,16.68,844816384
56,243,65,27,65,65,65,0,222,482,10493,9674,38020,10587,28.7,831483904
57,253,58,258,58,58,58,0,432,626,0,0,0,0,0,0
58,225,99,386,99,99,99,0,683,738,10699,9607,40580,11152,35.84,864169984
59,267,256,201,257,256,256,0,970,924,11042,9542,45355,11854,29.83,887390208
60,357,92,103,91,92,92,0,378,1023,10927,9426,51377,12862,28.33,937951232
61,376,268,0,269,269,269,0,807,1122,0,0,0,0,0,0
62,0,238,391,247,242,238,0,1118,0,11076,9480,54360,12610,30.36,1013952512
63,0,94,381,84,89,93,0,647,0,0,0,0,0,0,0
64,56,357,18,357,357,357,0,1089,552,11320,9738,47635,12310,28.33,1001058304
65,120,415,176,415,414,414,1,1419,492,10934,10094,45657,11522,19.22,983601152
66,8,18,0,18,18,18,0,54,184,10862,10496,44477,11012,13.03,973070336
67,310,176,103,176,176,176,0,631,394,10947,10448,46724,11093,12.73,979668992
