second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,42,0,22,0,0,0,0,22,42,12099,12084,6895,31,1.31,240619520
2,407,0,401,0,0,0,0,401,449,11853,11608,1831,281,12,211070976
3,42,19,68,22,19,19,0,128,491,12754,11266,8764,1504,48.57,240152576
4,87,398,72,399,401,401,0,1273,204,12340,11131,7908,1153,7,237379584
5,532,74,353,70,71,71,0,565,619,12515,11852,5630,974,36.75,236462080
6,227,59,401,67,61,60,0,589,812,13390,11302,12669,2195,59.5,268967936
7,212,289,213,310,304,304,0,1131,812,13210,10846,14112,2283,43.8,282243072
8,63,458,63,438,449,449,0,1399,711,12201,10920,12296,990,44.65,272224256
9,5,230,24,224,222,223,0,693,315,11339,10756,11511,543,15.01,269283328
10,0,59,0,58,59,59,0,176,0,10359,10240,10501,123,3.96,265179136
11,103,31,18,29,31,31,0,109,103,9781,9766,10280,30,1.13,263483392
12,300,0,362,0,0,0,0,362,403,10074,9174,5430,915,38.53,245583872
13,337,18,360,18,18,18,0,414,740,10635,8400,12995,2250,60.62,261378048
14,0,362,0,362,362,362,0,1086,0,9977,8398,10562,1250,12.1,256884736
15,49,360,27,360,360,360,0,1107,49,8618,8594,7610,30,12.53,235114496
16,450,0,451,0,0,0,0,451,499,9561,8148,8780,1511,55.92,234844160
17,501,2,408,5,5,5,0,423,998,0,0,0,0,0,0
18,216,452,312,459,452,452,0,1675,998,11072,8163,17371,3012,55.68,292974592
19,299,416,302,416,423,423,0,1564,840,11866,9295,17143,2421,60.23,300875776
20,172,318,187,317,309,309,0,1122,753,12323,10025,19325,2145,59.71,333434880
21,0,303,0,294,302,302,0,898,0,11069,9849,9694,1035,21.47,308457472
22,15,196,15,196,196,196,0,603,69,10262,9990,3321,138,9.54,292405248
23,97,0,79,0,0,0,0,79,112,10118,10059,3170,75,1.13,291172352
24,309,15,327,15,15,15,0,372,406,10534,9445,7032,1173,50.34,217935872
25,0,75,0,75,75,75,0,225,0,10573,9341,7318,1248,5.27,223002624
26,290,331,268,331,331,331,0,1261,290,10066,9423,7828,644,35.06,228921344
27,331,0,353,0,0,0,0,353,621,10808,8931,10967,1892,56.3,245760000
28,137,251,121,259,253,253,0,886,628,10848,9329,10920,1520,19.41,252686336
29,503,334,210,331,332,332,0,1205,701,0,0,0,0,0,0
30,184,115,463,124,116,115,0,818,793,12484,10177,13786,2407,52.97,278085632
31,121,251,133,238,251,252,0,874,651,12444,10729,12358,1651,36.3,288727040
32,299,333,285,351,334,332,0,1302,742,13423,11228,12045,2003,51.14,268267520
33,85,255,95,236,253,255,0,839,582,12925,11373,11671,1468,30.86,275345408
34,318,273,340,294,293,279,1,1206,668,13153,11191,11536,1935,47.72,278605824
35,341,116,318,95,95,109,0,617,681,13767,11805,11862,2052,53.04,271777792
36,565,174,224,174,174,174,0,746,1095,0,0,0,0,0,0
37,211,285,372,285,285,285,0,1227,1129,14261,11261,20706,2987,52.23,344752128
38,251,311,263,311,311,311,0,1196,1165,0,0,0,0,0,0
39,63,477,254,479,478,477,0,1688,872,14269,11533,15579,2628,58.59,345210880
40,0,257,0,268,256,257,0,781,0,13756,12235,10457,1407,32.69,329732096
41,65,267,65,254,267,267,0,853,65,13338,12907,7842,307,11.9,310075392
43,30,65,30,65,65,65,0,225,95,13305,13095,1493,220,0.94,255287296
45,0,30,0,30,30,30,0,90,0,12020,11915,898,115,0.93,199294976
47,40,0,5,0,0,0,0,5,40,11378,11363,691,25,0.57,197656576
48,426,0,461,0,0,0,0,461,466,11604,10478,7143,1219,46.03,213966848
49,196,0,196,0,0,0,0,196,662,11762,9761,11650,2013,33.66,257527808
50,35,466,35,466,466,466,0,1433,318,10803,9911,9183,858,21.87,250368000
51,83,196,83,196,196,196,0,671,118,10205,9777,8859,381,21.07,247787520
52,399,15,36,15,15,15,0,81,502,10941,9784,8599,1532,21.51,236355584
53,76,103,409,103,103,103,0,718,475,0,0,0,0,0,0
54,346,26,354,33,30,30,0,447,795,11432,9960,9753,1539,48.02,264007680
55,242,409,264,410,407,407,1,1488,815,12589,10146,13993,2162,49.73,283090944
56,311,348,298,351,352,352,0,1353,620,12226,10422,12231,1774,48.61,290365440
57,332,280,315,269,273,273,0,1130,647,12824,10968,10749,1833,53.71,281464832
58,171,292,201,294,294,294,0,1083,726,13525,11294,13132,2022,55.97,289292288
59,0,321,0,319,319,319,0,957,0,12032,10980,10616,972,18.62,271896576
60,0,201,0,201,201,201,0,603,0,11128,11109,8347,27,16.38,254849024
61,175,0,154,0,0,0,0,154,175,10715,10657,8750,100,4.58,257806336
62,1,0,22,0,0,0,0,22,176,10555,10013,3385,554,21.29,276619264
63,69,134,51,152,134,134,0,471,126,10230,9799,2594,317,1.46,272646144
64,394,42,394,24,42,42,0,502,463,10632,9399,7588,1298,54.22,227962880
65,418,30,413,34,33,32,0,512,857,11879,9328,15320,2566,54.7,284528640
66,276,380,285,380,378,378,0,1421,856,0,0,0,0,0,0
67,273,434,274,438,439,440,0,1591,749,12232,9929,16334,2009,59.02,303738880
68,163,281,176,278,276,275,0,1005,622,12084,10114,11730,1838,50.39,294412288
69,258,284,242,287,285,284,0,1098,442,11269,9987,11442,1273,26.12,288813056
70,83,184,99,176,182,184,0,641,470,10976,9802,8773,1134,48.96,261922816
71,154,237,154,240,237,237,0,868,318,10200,9358,8398,845,9.59,259969024
72,72,104,54,101,104,104,0,363,226,10215,9726,4721,486,24.16,218550272
73,424,93,337,133,103,93,0,666,587,11166,9694,9820,1616,43.31,242352128
74,25,104,130,74,99,109,0,412,521,11481,9904,9823,1585,23.26,260595712
75,195,348,178,338,343,343,0,1202,333,11568,10561,5977,963,35.76,232759296
76,416,130,413,130,130,130,0,803,611,0,0,0,0,0,0
77,369,124,354,125,124,124,0,727,894,12741,10886,11444,1978,65.39,260919296
78,0,460,35,461,460,460,0,1416,0,13718,11357,15019,2228,51.68,288890880
79,0,348,0,358,355,348,0,1061,0,13273,12212,11946,965,16.57,275337216
80,0,48,0,36,41,48,0,125,0,12378,12226,9705,23,16.96,258150400
86,243,0,243,0,0,0,0,243,243,9700,9436,11457,334,12.31,279769088
87,338,0,320,0,0,0,0,320,581,10142,8862,7790,1334,42.47,254038016
88,41,243,59,243,243,243,0,788,622,9992,8470,9879,1446,31.49,262148096
89,0,311,0,319,311,311,0,941,0,8995,8453,7536,475,11.81,245628928
90,316,68,302,60,68,68,0,498,316,9488,8775,4625,774,36.89,169336832
91,125,0,139,0,0,0,0,139,441,10112,8775,7884,1346,24.62,192344064
92,0,298,0,302,300,300,0,902,0,9890,9313,5838,503,14.02,190312448
93,0,143,0,139,141,141,0,421,0,9320,9305,4589,23,8.7,183705600
94,129,0,129,0,0,0,0,129,129,0,0,0,0,0,0
96,0,129,0,129,129,129,0,387,0,9227,8825,2579,410,0.38,165277696
98,49,0,24,0,0,0,0,24,49,7549,7535,1654,23,0.19,157769728
99,456,0,454,0,0,0,0,454,505,7308,6973,2488,396,15.94,161480704
100,199,18,226,24,24,24,0,298,704,8180,6377,10801,1863,61.58,233590784
101,354,364,122,393,391,371,0,1277,685,8181,6467,11507,1731,23.19,242155520
102,211,322,365,287,289,309,0,1250,675,8629,7030,8491,1444,57.77,256184320
103,348,122,399,122,122,122,0,765,791,9272,6993,13659,2327,59.97,271519744
104,59,354,86,356,355,355,0,1152,794,8842,7057,12984,1626,32.4,266014720
105,0,410,0,408,409,409,0,1226,0,8002,7558,9722,283,18.73,246059008
106,0,86,0,86,86,86,0,258,0,7677,7649,9097,24,1.33,242462720
110,532,0,363,0,0,0,0,363,532,5751,5737,9097,24,0.19,243380224
111,388,0,391,0,0,0,0,391,920,8156,5737,15364,2707,52.11,263974912
112,201,363,343,363,363,363,0,1432,958,8790,6380,15594,2183,59.93,279973888
113,158,382,182,390,387,382,0,1341,884,9224,7144,16306,1625,46.15,297349120
114,73,344,73,342,340,344,0,1099,327,0,0,0,0,0,0
115,0,190,0,184,189,190,0,563,0,8861,7931,14966,789,23.97,296722432
116,204,73,204,73,73,73,0,423,277,8538,8295,13657,243,10.9,287985664
118,0,204,0,204,204,204,0,612,0,8921,8295,4570,636,0.38,275083264
120,461,0,271,0,0,0,0,271,461,8022,7605,4041,691,14.05,198627328
121,300,0,471,0,0,0,0,471,761,9429,7605,12260,2164,42.53,244203520
122,230,271,249,271,271,271,0,1062,969,9687,7079,15550,2308,57.26,285777920
123,0,458,0,471,458,458,0,1387,0,9439,8015,12505,1059,20.36,276209664
124,0,262,0,249,262,262,0,773,0,8960,8705,10020,24,16.31,257896448
127,452,0,424,0,0,0,0,424,452,9682,8446,7603,1298,52.81,212471808
128,124,0,152,0,0,0,0,152,576,10187,8446,10177,1751,19.93,238604288
129,0,416,0,424,423,423,0,1270,0,0,0,0,0,0,0
130,0,160,0,152,153,153,0,458,0,9815,9335,6901,392,17.85,223432704
132,364,0,313,0,0,0,0,313,364,8437,8424,6011,23,0.19,221044736
133,301,0,352,0,0,0,0,352,665,9203,8098,6888,1172,48.96,217251840
134,74,308,74,313,308,308,0,1003,739,9716,7486,12948,2240,43.39,257093632
135,0,357,0,352,357,357,0,1066,0,8662,7543,9930,995,12.13,249790464
136,0,74,0,74,74,74,0,222,0,7953,7724,7593,23,12.53,236748800
138,483,0,126,0,0,0,0,126,483,7913,7724,9629,408,7.31,245157888
139,0,0,357,0,0,0,0,357,0,9085,7724,8514,1473,46.71,246980608
140,0,117,0,126,122,122,0,370,0,9161,7774,8419,1398,8.53,245727232
141,0,366,0,357,361,361,0,1079,0,8996,8552,5597,228,15.99,228073472
142,175,0,154,0,0,0,0,154,175,8767,8460,2048,317,14.68,177967104
143,201,0,222,0,0,0,0,222,376,7901,6760,6771,1150,36.9,201580544
144,193,136,175,148,143,142,0,608,466,7342,6328,7043,1030,11.63,213364736
145,279,240,297,228,233,234,0,992,472,8215,6884,8054,1378,60.93,236593152
146,0,175,0,175,175,175,0,525,0,8107,6906,7663,1133,7.33,232443904
147,377,278,80,280,278,278,0,916,407,0,0,0,0,0,0
148,179,19,476,17,19,19,0,531,556,8617,7522,6996,1205,32.35,221372416
149,230,80,210,80,80,80,0,450,715,8955,7274,9836,1691,36.07,250429440
150,308,476,312,476,476,476,0,1740,730,9924,7774,13420,1903,52.33,265519104
151,331,179,334,191,186,180,0,891,725,10536,8386,12544,2169,58.23,266846208
152,213,333,226,328,331,337,0,1222,690,10177,8137,14664,1900,49.51,293560320
153,0,344,0,337,339,339,0,1015,0,9137,7994,9135,1058,23.67,255262720
154,0,226,0,226,226,226,0,678,0,8733,8457,6987,167,10.94,243351552
155,363,0,92,0,0,0,0,92,363,8729,8568,7845,238,10.73,244948992
156,180,0,451,0,0,0,0,451,543,10156,8568,9588,1653,59.23,248451072
157,0,92,0,92,92,92,0,276,0,10154,8752,8943,1377,10.33,254517248
158,120,451,103,451,451,451,0,1456,230,9952,9154,7515,392,29.42,237248512
159,322,0,339,0,0,0,0,339,442,9841,8502,7914,1352,41.16,217759744
160,0,100,0,100,100,100,0,300,0,9759,8710,7074,1007,8.54,219074560
161,265,342,242,342,342,342,0,1268,265,0,0,0,0,0,0
162,213,0,236,0,0,0,0,236,478,10298,9386,5738,969,46.2,206036992
163,0,232,0,241,232,232,0,705,0,10833,9386,8526,1460,22.52,219996160
164,0,246,0,237,246,246,0,729,0,10163,9690,5995,425,10.67,212414464
166,241,0,241,0,0,0,0,241,241,8877,8864,5029,26,0.75,209526784
168,0,241,0,241,241,241,0,723,0,9600,8864,4502,750,0.38,243929088
170,348,0,321,0,0,0,0,321,348,9572,9296,2122,331,11.5,201465856
171,618,0,366,0,0,0,0,366,966,10430,8380,12161,2103,58.33,254169088
172,395,147,297,147,147,147,0,738,1214,0,0,0,0,0,0
173,216,308,281,309,309,309,0,1208,1354,12232,9040,23392,3388,54.1,373760000
174,77,450,344,459,457,457,0,1717,1121,12042,9301,16701,2265,58.45,351256576
175,307,272,340,268,270,270,0,1148,943,0,0,0,0,0,0
176,225,403,218,399,398,398,0,1413,868,12449,10115,20914,2427,55.24,397393920
177,63,364,82,362,363,363,0,1170,621,12225,10142,11422,1890,55.33,347697152
178,365,215,352,223,223,222,0,1020,468,12073,10596,11594,1359,28.77,311017472
179,143,90,156,82,82,83,0,403,508,12436,11182,8186,1222,41.87,290971648
180,0,344,0,347,344,344,0,1035,0,11762,10684,8860,1060,17.37,267001856
181,0,164,0,161,164,164,0,489,0,11162,10806,7164,358,12.93,248659968
184,157,0,157,0,0,0,0,157,157,9356,8922,3061,497,20.29,262504448
185,240,0,218,0,0,0,0,218,397,9697,8922,4728,790,11.94,226410496
186,2,157,24,157,157,157,0,495,399,9991,9236,6052,754,27.61,228429824
187,0,210,0,215,210,210,0,635,0,9344,8902,5215,406,2.45,222547968
188,0,32,0,27,32,32,0,91,0,8647,8634,3832,28,3.61,214708224
189,242,0,242,0,0,0,0,242,242,9283,8634,4449,754,24.71,210071552
190,234,0,234,0,0,0,0,234,476,9341,7900,8507,1457,39.27,240906240
191,0,229,0,230,230,230,0,690,0,9141,8119,7044,854,4.85,236527616
192,109,247,81,246,246,246,0,819,109,8900,8576,7033,388,19.09,232538112
193,227,0,255,0,0,0,0,255,336,0,0,0,0,0,0
194,0,81,0,81,81,81,0,243,0,8767,7746,6127,1037,28.4,227028992
195,0,255,0,255,255,255,0,765,0,8675,8000,5143,632,6.99,220282880
205,185,0,153,0,0,0,0,153,185,5879,5866,3698,29,0.19,214228992
206,2,0,34,0,0,0,0,34,187,5658,5084,3634,598,26.56,207286272
207,0,150,0,153,150,150,0,453,0,4973,4399,3634,598,0.19,207286272
208,0,37,0,34,37,37,0,108,0,4294,4282,1226,37,3.26,194351104
209,460,0,432,0,0,0,0,432,460,4430,3812,4120,685,25.79,203194368
210,208,0,203,0,0,0,0,203,668,5316,3398,11255,1943,56.55,252858368
211,288,311,312,390,351,325,0,1378,900,5522,3383,13717,1864,41.03,288616448
212,571,324,192,245,284,310,0,1031,905,0,0,0,0,0,0
213,142,239,400,258,250,249,0,1157,896,6510,4070,20901,2694,56.73,354357248
214,0,246,130,246,236,237,0,849,0,7095,4624,13797,2299,60.7,331911168
215,157,419,121,400,418,418,0,1357,287,6777,5250,11566,1365,12.95,313397248
216,9,130,45,130,130,130,0,435,294,6553,5904,4468,537,41.92,264327168
217,0,115,0,118,115,115,0,348,0,6136,5626,4468,537,0.19,264327168
218,0,51,0,48,51,51,0,150,0,5686,5668,3272,39,7.08,218992640
220,443,0,334,0,0,0,0,334,443,5927,5668,4745,303,12.32,224567296
221,0,0,109,0,0,0,0,109,0,6943,5602,7999,1369,43.69,253906944
222,0,332,0,332,332,332,0,996,0,6215,5107,7219,1048,6.07,249978880
223,0,111,0,111,111,111,0,333,0,5908,5602,4786,40,7.23,235307008
224,183,0,158,0,0,0,0,158,183,5680,5602,5160,106,2.29,238538752
225,467,0,467,0,0,0,0,467,650,6138,4933,7549,1293,54.79,225677312
226,458,100,363,112,107,107,0,689,1048,7585,4977,15718,2733,60.15,297603072
227,155,497,257,503,503,499,0,1762,734,8151,5858,16773,2163,52.85,307179520
228,583,323,191,305,310,314,0,1120,926,0,0,0,0,0,0
229,54,243,429,260,257,257,0,1203,943,9299,6907,15329,2592,57.54,324268032
230,202,273,237,256,259,259,0,1011,728,9784,7597,12478,2020,62.15,324157440
231,221,429,188,429,429,429,0,1475,606,10015,8197,11629,1453,30.31,303124480
232,361,237,363,237,237,237,0,1074,582,10547,9061,8890,1444,59.18,275562496
233,356,133,367,140,140,140,0,787,830,11760,9348,15166,2412,58.79,298393600
234,54,411,74,408,405,404,0,1291,815,11721,10127,13548,1468,29.69,290926592
235,327,360,231,357,359,360,0,1307,415,0,0,0,0,0,0
236,96,88,172,87,88,88,0,435,423,12295,10981,8599,1184,50.35,259067904
237,74,231,94,231,231,231,0,787,497,12557,11121,8888,1526,24.9,248631296
238,62,164,62,167,164,164,0,557,232,12023,11401,6533,547,12.91,233582592
239,433,102,394,99,102,102,0,697,495,12348,11741,9060,716,31.2,251879424
240,399,60,410,62,62,62,0,596,839,13708,11741,12045,2085,61.56,278810624
241,120,350,124,351,349,348,0,1172,877,14341,11899,15862,2446,47.43,304840704
242,263,448,287,446,447,448,0,1628,604,13523,11859,15555,1552,43.53,306737152
243,0,132,0,131,132,132,0,395,0,12531,11643,7002,898,28.39,278417408
244,66,287,66,287,287,287,0,927,317,11734,11201,4316,475,16.66,239513600
246,0,66,0,66,66,66,0,198,0,11112,11089,3263,35,1.88,215003136
249,101,0,101,0,0,0,0,101,101,11072,10757,4978,337,13.88,225472512
251,110,101,110,101,101,101,0,413,207,11019,10661,3287,363,18.6,229392384
252,93,0,76,0,0,0,0,76,203,0,0,0,0,0,0
253,238,110,255,110,110,110,0,585,331,10725,10073,4527,758,18.71,221675520
254,0,70,0,70,70,70,0,210,0,11308,10293,6061,1026,32.43,213794816
255,0,261,0,261,261,261,0,783,0,11179,10568,5024,599,4.86,218173440
256,187,0,187,0,0,0,0,187,187,10922,10908,3673,32,5.28,208773120
257,29,0,9,0,0,0,0,9,216,10670,10096,3613,594,24.3,200069120
258,238,187,228,187,187,187,0,789,376,10303,9230,6800,1135,22.18,218095616
259,61,0,91,0,0,0,0,91,328,10279,9275,7687,1018,24.5,229339136
260,0,229,0,233,229,229,0,691,0,9401,8949,6234,419,8.54,227667968
261,187,99,148,95,99,99,0,441,187,8720,8705,4893,34,4.56,225226752
262,96,0,135,0,0,0,0,135,283,8766,7903,5251,883,31.49,213049344
263,370,137,341,141,140,140,0,762,614,9265,7689,9657,1662,33.4,237555712
264,303,146,332,142,143,143,0,760,673,8698,6813,13536,1938,58.03,276443136
265,0,341,0,341,341,341,0,1023,0,8143,6967,9707,1145,21.77,264454144
266,0,332,0,332,332,332,0,996,0,7553,7401,7016,131,14.89,248987648
270,353,0,241,0,0,0,0,241,353,7201,6293,12577,1076,27.26,271663104
271,165,0,277,0,0,0,0,277,518,6920,5349,9252,1589,34.38,246452224
272,174,169,160,193,183,183,1,719,561,0,0,0,0,0,0
273,235,349,249,325,334,334,0,1242,524,6712,5148,9487,1391,37.11,251052032
274,168,152,168,157,152,152,0,629,494,6718,5425,7399,1262,40.45,239108096
275,0,257,0,252,257,257,0,766,0,6848,5583,8825,1181,29.48,250097664
276,371,157,354,168,168,168,0,858,398,6488,5881,7897,651,10.57,242458624
277,395,11,377,0,0,0,0,377,766,7503,6217,9060,1351,56.8,245067776
278,404,303,293,307,305,305,0,1210,867,8827,6387,14718,2410,63.16,286556160
279,254,256,328,259,261,260,0,1108,1072,0,0,0,0,0,0
280,192,465,264,458,458,459,0,1639,867,9996,7441,16600,2387,59.07,344850432
281,144,328,107,328,328,328,0,1091,504,9998,8063,16804,1813,44.97,349224960
282,443,141,289,141,141,141,0,712,798,0,0,0,0,0,0
283,231,218,392,226,218,218,0,1054,755,10865,8787,12504,2151,51.61,349212672
284,397,113,338,105,113,113,0,669,1104,11786,9243,17312,2917,55.02,314810368
285,196,545,265,559,555,554,0,1933,938,11880,9180,16200,2421,54.68,307957760
286,305,301,303,330,333,314,0,1280,805,12529,10056,20019,2359,61.16,348635136
287,314,328,322,294,295,315,0,1226,684,12732,10651,12477,2038,58.1,306401280
288,102,312,116,303,303,303,0,1025,681,12857,11326,10403,1428,35.18,311451648
289,0,318,0,319,319,319,0,957,0,12072,11510,8031,441,14.24,294133760
290,0,120,0,119,119,119,0,357,0,11646,11598,7058,35,4.25,286973952
291,219,0,197,0,0,0,0,197,219,12246,11598,11051,743,26.32,298979328
292,513,0,367,0,0,0,0,367,732,0,0,0,0,0,0
293,0,193,168,194,194,194,0,750,0,13748,11598,12877,2232,58.53,288579584
294,0,313,0,328,314,312,0,954,0,12952,11633,10464,1245,13.97,273502208
295,258,226,31,210,224,226,0,691,258,12431,12058,7563,36,17.84,256327680
296,64,0,291,0,0,0,0,291,322,12323,11346,13037,1002,37.82,298704896
297,178,31,156,31,31,31,0,249,469,12132,11150,13034,1001,0.75,298995712
298,318,291,321,291,291,291,0,1194,541,13283,11747,10748,1324,56.3,273444864
299,167,127,186,132,129,128,0,575,663,13779,11882,11372,1886,37,275841024
300,0,342,0,342,340,341,0,1023,0,13532,12622,8623,751,10.29,260673536
301,0,194,0,189,194,194,0,577,0,13119,13098,6907,34,10.8,248336384
