series,count,min_ms,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms,max_ms
find_input,83226,16.634,1793.680,508.080,4963.319,8433.141,12960.228,13602.558,15339.178
remove,83225,0.752,17.353,6.310,31.851,109.787,156.401,326.489,992.672
insert,83207,1.575,20.061,7.687,48.295,116.249,157.656,249.029,872.068
find_output,83206,0.614,15.229,4.753,28.828,96.388,151.038,233.616,871.261
task_cycle,84240,3535.093,7996.683,6808.994,13349.769,16791.695,21381.987,24502.962,40660.454
scheduler_queue,84240,0.013,34934.169,23057.722,88972.463,110603.804,151361.156,178179.558,193289.676
task_execution,84240,3535.107,7996.711,6809.016,13349.813,16791.757,21382.063,24503.048,40660.598
offered_to_finished,84240,3558.589,42930.880,31089.281,98105.191,120309.153,161763.609,185602.061,200947.589
offered_to_finished_arrival,70673,3558.589,37687.602,25697.747,87205.584,109464.770,141377.600,185304.159,200947.589
connection_open,83226,10.458,956.079,268.062,2615.537,4873.299,6388.829,7505.967,8752.963
demand_to_ready,83226,14.636,1774.065,494.112,4951.259,8421.139,12949.205,13549.961,15336.577
driver_open,83226,10.458,956.079,268.062,2615.537,4873.299,6388.829,7505.967,8752.963
handshake_hello,83226,0.447,8.099,1.084,9.294,22.805,144.469,588.641,1747.555
handshake_auth,166452,0.232,14.754,4.009,31.863,89.154,165.010,273.791,744.218
client_create,84240,0.290,1003.057,978.175,1607.568,1938.640,2854.237,4261.826,7859.477
