second,scheduled_tasks,started_tasks,conn_created,conn_ready,conn_failed,conn_closed,active_connecting,active_ready,waiting_for_server,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,246,246,97,87,0,0,19,87,14,81,0,0,0,0,81,246,6,0,509,23,0,81096704
1,795,729,361,360,0,0,36,447,39,360,0,0,0,0,360,975,267,0,3619,538,21.04,137850880
2,264,330,357,359,0,0,34,806,34,364,0,0,0,0,364,1305,964,0,10612,1506,45.84,267374592
3,172,172,348,345,0,0,28,1151,27,344,0,0,0,0,344,1477,1694,0,16581,2237,46.46,363282432
4,357,307,301,296,0,7,42,1440,46,297,211,205,203,1,916,1777,2425,0,22296,2971,41.87,439328768
5,170,29,214,219,0,163,62,1534,59,218,356,356,355,0,1285,1762,2956,0,26557,3501,36.82,533385216
6,676,400,221,196,0,602,50,1507,57,197,405,410,413,0,1425,1645,3100,0,28947,3683,34.5,601030656
7,291,75,199,214,0,170,46,1166,45,215,319,313,306,0,1153,1453,2201,0,26569,2781,35.61,622686208
8,311,381,223,239,0,408,70,1195,59,238,244,250,257,0,989,1347,2415,0,23124,2983,40.2,631812096
9,0,285,311,283,0,199,49,1049,50,282,226,226,226,0,960,1419,1924,0,22562,2506,48.53,632254464
10,525,225,282,312,0,187,51,1212,50,314,225,224,224,1,987,1468,2283,0,26439,2873,35.07,655781888
11,0,365,261,234,0,271,35,1191,33,231,199,198,198,1,826,1537,2352,0,28414,2946,33.35,677072896
12,1172,182,247,259,0,146,49,1290,60,262,238,234,234,0,968,1588,2398,0,23526,2983,34.1,673112064
13,514,175,271,265,0,288,76,1281,65,261,325,328,328,0,1242,1582,2575,0,24810,3171,37.42,694419456
14,124,353,230,234,0,380,59,1252,57,235,274,272,270,0,1051,1474,2529,0,26066,3125,40.26,698318848
15,383,264,321,305,0,199,63,1200,57,308,261,264,266,0,1099,1541,2251,0,22318,2834,36.02,644403200
16,514,273,255,274,0,235,64,1294,59,274,210,210,210,0,904,1536,2457,0,25428,3062,36.2,671903744
17,679,261,265,262,0,276,63,1229,63,256,281,280,280,0,1097,1562,2422,0,24708,3016,36.47,673046528
18,860,232,265,270,0,204,50,1334,56,273,242,243,243,0,1001,1572,2564,0,24151,3159,38.3,676388864
19,457,345,279,264,0,351,44,1296,46,265,284,280,275,0,1104,1570,2511,0,25856,3165,40.07,697315328
20,0,181,265,277,0,201,71,1268,61,279,311,315,307,0,1212,1547,2453,1,25766,3081,36.96,688390144
