second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,131,131,0,0,0,0,131,8,53899,53856,453,39,35.14,89960448
1,166,129,136,0,0,0,0,136,41,53993,53819,411,31,26.1,92958720
2,317,332,334,0,0,0,0,334,68,54451,54044,1073,98,55.25,107651072
3,357,338,329,0,0,0,0,329,210,54778,54307,1221,167,67.37,114839552
4,246,268,268,0,0,0,0,268,56,0,0,0,0,0,0
5,661,167,167,0,0,0,0,167,517,55105,54748,4528,803,57.92,155959296
6,91,319,319,0,0,0,0,319,527,55193,54448,6968,876,61.42,190500864
7,262,297,297,0,0,0,0,297,254,0,0,0,0,0,0
8,384,271,277,0,0,0,0,277,390,55348,54784,5287,890,64.07,161300480
9,117,344,341,0,0,0,0,341,368,55406,54970,4314,449,68.51,176013312
10,341,411,408,0,0,0,0,408,233,55318,54873,489,48,60.49,123392000
11,158,228,228,0,0,0,0,228,71,0,0,0,0,0,0
12,244,217,219,0,0,0,0,219,36,55060,54880,476,42,17.14,119058432
13,446,449,452,0,0,0,0,452,79,55674,55118,749,83,62.85,114221056
14,432,402,405,0,0,0,0,405,99,0,0,0,0,0,0
15,160,213,205,0,0,0,0,205,52,56058,55575,592,41,57.6,109998080
16,259,201,206,0,0,0,0,206,62,55786,55610,583,40,20.47,106618880
17,414,229,225,0,0,0,0,225,289,0,0,0,0,0,0
18,500,251,250,0,0,0,0,250,493,56348,55589,6726,1015,67.57,161751040
19,290,152,153,0,0,0,0,153,647,0,0,0,0,0,0
20,243,212,212,0,0,0,0,212,746,0,0,0,0,0,0
21,47,488,488,0,0,0,0,488,375,56300,55379,9547,822,67.64,249602048
22,486,306,305,0,0,0,0,305,403,0,0,0,0,0,0
23,333,321,325,0,0,0,0,325,434,56328,55431,9942,1295,64.75,207372288
24,141,239,235,0,0,0,0,235,453,0,0,0,0,0,0
25,203,301,306,0,0,0,0,306,315,0,0,0,0,0,0
26,218,337,334,0,0,0,0,334,218,56443,56018,3310,514,65.96,165502976
27,172,203,202,0,0,0,0,202,135,56103,55833,4486,797,64.63,169431040
28,448,95,96,0,0,0,0,96,473,0,0,0,0,0,0
