second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,10,10,10,0,0,0,0,10,1,647,617,311,16,35.23,63131648
1,10,10,10,0,0,0,0,10,1,679,637,424,18,2.72,68108288
2,10,10,10,0,0,0,0,10,1,696,658,377,15,5.44,72904704
3,10,10,10,0,0,0,0,10,1,719,678,475,15,7.79,79208448
4,10,10,10,0,0,0,0,10,1,738,697,575,15,4.67,81215488
5,10,10,10,0,0,0,0,10,1,758,717,674,15,7.98,85229568
6,10,10,10,0,0,0,0,10,1,779,736,398,15,1.55,84185088
7,10,10,10,0,0,0,0,10,1,797,756,497,15,4.28,87646208
8,10,10,10,0,0,0,0,10,1,816,775,596,15,2.14,88539136
9,10,10,10,0,0,0,0,10,1,836,795,309,15,1.17,87216128
10,10,10,10,0,0,0,0,10,1,857,815,409,15,1.17,87314432
11,10,10,10,0,0,0,0,10,1,879,835,508,15,0.97,88334336
12,10,10,10,0,0,0,0,10,1,897,854,607,15,1.17,89182208
13,10,10,10,0,0,0,0,10,1,916,873,377,15,0.58,82440192
14,10,10,10,0,0,0,0,10,1,934,893,477,15,1.75,83058688
15,10,10,10,0,0,0,0,10,1,954,913,574,15,0.97,83767296
16,10,10,10,0,0,0,0,10,1,976,933,674,15,1.75,84774912
17,10,10,10,0,0,0,0,10,1,993,952,370,15,0.97,82792448
18,10,10,10,0,0,0,0,10,1,1013,972,470,15,0.97,83017728
19,10,10,10,0,0,0,0,10,1,1033,992,576,16,1.36,83865600
20,10,10,10,0,0,0,0,10,1,1053,1011,684,18,2.72,84967424
21,10,10,10,0,0,0,0,10,1,1074,1029,399,15,1.17,82796544
22,10,10,10,0,0,0,0,10,1,1092,1051,498,15,1.17,83341312
23,10,10,10,0,0,0,0,10,1,1112,1071,597,15,0.78,84332544
24,10,10,10,0,0,0,0,10,1,1132,1091,329,15,1.75,82317312
25,10,10,10,0,0,0,0,10,1,1152,1111,428,15,0.78,82419712
26,10,10,10,0,0,0,0,10,1,1174,1131,527,15,1.94,83550208
27,10,10,10,0,0,0,0,10,1,1192,1151,624,15,0.78,84652032
28,10,10,10,0,0,0,0,10,1,1211,1170,369,15,1.55,82624512
29,10,10,10,0,0,0,0,10,1,1229,1188,468,13,1.55,83038208
30,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
