second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,10,10,0,0,10,0,0,10,1,1232,1203,317,17,52.98,63275008
1,10,10,0,0,10,0,0,10,1,1258,1217,429,19,6,70418432
2,10,10,0,0,10,0,0,10,1,1261,1219,520,16,3.68,77676544
3,10,10,0,0,10,0,0,10,1,1263,1218,618,16,8.15,83050496
4,10,10,0,0,10,0,0,10,1,1262,1220,719,16,8.35,88387584
5,10,10,0,0,10,0,0,10,1,1263,1221,819,16,3.3,91500544
6,10,10,0,0,10,0,0,10,1,1263,1220,927,19,1.52,94298112
7,10,10,0,0,10,0,0,10,1,1265,1223,1016,16,6.41,98754560
8,10,10,0,0,10,0,0,10,1,1264,1222,1116,16,1.16,101507072
9,10,10,0,0,10,0,0,10,1,1264,1223,323,16,0.97,99844096
10,10,10,0,0,10,0,0,10,1,1264,1223,423,16,0.97,99844096
11,10,10,0,0,10,0,0,10,1,1264,1223,522,16,1.16,99848192
12,10,10,0,0,10,0,0,10,1,1266,1223,628,17,0.97,99864576
13,10,10,0,0,10,0,0,10,1,1267,1224,738,19,0.78,99954688
14,10,10,0,0,10,0,0,10,1,1268,1225,831,16,0.78,99934208
15,10,10,0,0,10,0,0,10,1,1268,1227,931,16,0.78,99233792
16,10,10,0,0,10,0,0,10,1,1268,1227,1031,16,1.75,99450880
17,10,10,0,0,10,0,0,10,1,1270,1227,1131,16,0.97,99512320
18,10,10,0,0,10,0,0,10,1,1269,1228,1230,16,0.78,99631104
19,10,10,0,0,10,0,0,10,1,1269,1228,413,16,1.16,99266560
20,10,10,0,0,10,0,0,10,1,1269,1228,513,16,0.97,99266560
21,10,10,0,0,10,0,0,10,1,1269,1228,613,16,0.58,99270656
22,10,10,0,0,10,0,0,10,1,1273,1230,713,16,1.16,99274752
23,10,10,0,0,10,0,0,10,1,1270,1229,813,16,0.39,99332096
24,10,10,0,0,10,0,0,10,1,1270,1229,913,16,1.75,99389440
25,10,10,0,0,10,0,0,10,1,1269,1228,1013,16,0.78,99418112
26,10,10,0,0,10,0,0,10,1,1269,1228,1113,16,0.78,99540992
27,10,10,0,0,10,0,0,10,1,1271,1228,1212,16,0.19,99557376
28,10,10,0,0,10,0,0,10,1,1269,1228,379,17,0.97,99143680
29,10,10,0,0,10,0,0,10,1,1273,1229,490,17,1.36,99143680
30,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
