second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,0,134,0,0,0,0,134,135,47,13,320,16,100,69926912
1,140,0,127,0,0,0,0,127,275,451,13,2660,431,22.04,100954112
2,461,0,274,0,0,0,0,274,736,909,13,5277,894,25.04,136744960
3,264,0,350,0,0,0,0,350,1000,2077,13,12775,2247,59.16,222220288
4,166,0,280,0,0,0,0,280,1166,3017,13,17718,3103,66.32,284725248
5,326,0,259,0,0,0,0,259,1492,3585,13,20506,3579,55.31,323399680
6,516,0,0,0,0,0,0,0,2008,4720,13,28554,5048,58.61,384364544
7,223,39,94,0,0,0,41,94,2212,5048,17,33286,5677,48.71,499994624
8,165,60,30,0,0,0,58,30,2297,5148,111,34344,5712,50.1,522870784
9,243,7,4,0,0,0,7,4,2533,0,0,0,0,0,0
10,79,57,41,42,41,41,17,165,2557,5194,151,37210,6128,37.49,596025344
11,229,199,20,101,89,84,119,294,2746,0,0,0,0,0,0
12,0,173,51,71,80,85,89,287,0,0,0,0,0,0,0
13,17,191,97,110,114,114,71,435,2265,0,0,0,0,0,0
14,269,285,78,159,158,149,139,544,2428,6100,1097,39205,6301,67.48,681623552
15,0,378,128,336,297,287,91,1048,0,6469,1704,39155,5563,60.33,667619328
16,107,436,163,288,328,347,89,1126,1651,0,0,0,0,0,0
17,401,132,203,130,130,127,15,590,1815,0,0,0,0,0,0
18,505,171,68,219,139,137,23,563,2120,0,0,0,0,0,0
19,238,155,145,69,147,139,20,500,2217,8428,3384,37316,6436,50.99,753041408
20,330,37,116,18,19,31,0,184,2494,8552,3521,36863,6559,52.62,789856256
21,33,28,202,25,26,25,3,278,2518,0,0,0,0,0,0
22,83,49,107,38,38,40,9,223,2545,0,0,0,0,0,0
23,427,84,40,40,40,40,45,160,2901,0,0,0,0,0,0
24,15,117,77,50,50,50,66,227,2849,8810,3782,40613,6862,47.89,902311936
25,419,136,29,77,77,77,59,260,3057,0,0,0,0,0,0
26,326,199,37,68,67,67,141,239,3293,0,0,0,0,0,0
27,23,178,37,48,46,40,132,171,3176,0,0,0,0,0,0
28,251,297,79,59,59,64,238,261,3029,0,0,0,0,0,0
29,7,264,123,107,110,111,148,451,2975,9992,4959,45286,6982,52.84,962011136
30,0,180,83,100,97,97,84,377,0,10246,5209,42765,6840,78.08,938106880
31,0,316,203,206,206,206,108,821,0,0,0,0,0,0,0
32,322,190,86,162,165,165,24,578,2362,0,0,0,0,0,0
33,638,117,12,54,38,36,81,140,2904,0,0,0,0,0,0
34,97,289,89,196,212,202,89,699,2883,0,0,0,0,0,0
35,88,435,33,126,122,133,304,414,2693,0,0,0,0,0,0
36,376,166,24,127,131,128,37,410,2555,11641,7137,45229,5985,58.68,932839424
37,193,29,53,22,22,26,4,123,2720,0,0,0,0,0,0
38,110,454,225,55,55,55,397,390,2720,0,0,0,0,0,0
39,0,198,248,118,118,118,77,602,0,0,0,0,0,0,0
40,79,91,246,82,81,81,15,490,2171,12998,7970,37730,5939,50.43,791281664
41,375,165,88,113,114,114,51,429,2405,0,0,0,0,0,0
42,556,164,32,86,82,71,96,271,2826,13279,8266,42128,6449,51.23,812670976
43,58,222,121,140,134,123,96,518,2723,0,0,0,0,0,0
44,1,173,157,127,127,149,22,560,2526,0,0,0,0,0,0
45,304,73,99,31,41,41,35,212,2691,0,0,0,0,0,0
46,0,97,68,21,21,20,73,130,0,14283,9256,38234,6573,60.3,842108928
47,635,154,17,52,52,49,108,170,3045,0,0,0,0,0,0
48,568,99,6,72,72,75,25,225,3518,0,0,0,0,0,0
49,31,243,135,120,120,120,118,495,3512,0,0,0,0,0,0
50,2,226,84,96,88,86,145,354,3080,0,0,0,0,0,0
51,70,119,86,68,76,79,37,309,3088,0,0,0,0,0,0
52,15,117,65,89,88,88,30,330,3022,15313,10291,42777,7286,52.51,955437056
53,329,155,25,25,26,26,133,102,3101,0,0,0,0,0,0
54,56,295,93,129,129,129,159,480,3098,0,0,0,0,0,0
