second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,37,0,0,0,0,0,0,0,37,28109,28094,490,28,4.54,87396352
2,377,215,215,0,0,0,0,215,199,28059,28014,1352,220,23.03,116781056
3,77,276,276,0,0,0,0,276,200,28219,28160,2723,599,42.39,161746944
4,83,37,44,0,0,0,0,44,46,28033,28015,2824,659,15.53,161075200
5,296,292,285,0,0,0,0,285,179,28545,28475,4732,1142,43.88,192778240
6,339,248,248,0,0,0,0,248,141,0,0,0,0,0,0
7,223,322,322,0,0,0,0,322,256,28910,28797,6294,1598,42.14,234737664
8,185,196,196,0,0,0,0,196,51,29132,29113,6664,1782,32.42,220278784
9,0,31,31,0,0,0,0,31,0,0,0,0,0,0,0
11,59,0,0,0,0,0,0,0,59,28673,28655,6436,1782,1.05,222834688
12,271,295,295,0,0,0,0,295,278,28701,28127,11267,2657,17.63,255180800
13,300,278,289,0,0,0,0,289,64,28875,28814,8855,2447,37.99,245358592
14,110,167,156,0,0,0,0,156,50,29047,29029,8687,2550,22.99,259035136
16,343,0,0,0,0,0,0,0,343,0,0,0,0,0,0
17,243,510,510,0,0,0,0,510,362,29236,29051,11361,3050,35.88,308883456
18,505,9,9,0,0,0,0,9,581,29699,28990,20542,4866,33.32,374751232
19,128,430,434,0,0,0,0,434,690,0,0,0,0,0,0
20,158,337,333,0,0,0,0,333,281,30006,29719,16010,4214,38.33,399532032
21,310,9,9,0,0,0,0,9,401,30549,29749,20912,5121,28.74,394362880
22,0,391,391,0,0,0,0,391,0,30263,30245,17048,4339,19.4,404983808
23,15,16,16,0,0,0,0,16,16,0,0,0,0,0,0
24,373,8,8,0,0,0,0,8,365,30025,30007,17213,4355,3.66,405417984
25,33,352,352,0,0,0,0,352,398,30573,29759,24298,5551,29.89,478339072
26,62,59,61,0,0,0,0,61,49,30020,30003,16403,4760,15.55,436371456
27,284,289,287,0,0,0,0,287,206,30252,30163,18406,5166,27.32,438124544
28,275,243,243,0,0,0,0,243,90,30745,30575,18576,5439,33.99,382603264
29,244,275,275,0,0,0,0,275,85,0,0,0,0,0,0
30,517,66,66,0,0,0,0,66,496,0,0,0,0,0,0
31,63,306,306,0,0,0,0,306,555,31249,30702,27310,7209,29.5,490672128
