second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,48,0,0,0,0,0,0,0,48,29421,29410,28038,7821,3.5,687013888
2,301,179,0,0,179,0,0,179,170,29107,29066,27019,7794,21.38,691662848
3,142,312,0,0,312,0,0,312,172,29468,29415,27620,7995,39.16,671707136
4,99,27,0,0,27,0,0,27,72,0,0,0,0,0,0
5,295,231,0,0,231,0,0,231,240,29480,29204,30867,8550,21.59,687726592
6,288,81,0,0,81,0,0,81,390,29759,29096,32443,9000,36.24,692854784
7,151,450,0,0,452,0,0,452,128,0,0,0,0,0,0
8,201,211,0,0,209,0,0,209,52,30121,30055,31415,8534,37.86,682016768
9,92,121,0,0,121,0,0,121,52,30576,30565,28302,8557,26.15,682082304
12,59,25,0,0,28,0,0,28,39,29536,29525,28685,8229,4.5,677023744
13,254,130,0,0,136,0,0,136,165,30200,30091,29546,8604,35.57,683048960
14,403,248,0,0,239,0,0,239,318,0,0,0,0,0,0
15,24,342,0,0,342,0,0,342,342,30989,30407,33562,9427,36.03,696877056
16,74,0,0,0,0,0,0,0,74,30704,30693,30862,8870,6.04,683896832
17,499,73,0,0,73,0,0,73,500,31204,30707,39726,10601,29.14,737079296
18,97,248,0,0,248,0,0,248,590,0,0,0,0,0,0
19,350,215,0,0,215,0,0,215,484,31864,31633,39464,10195,33.65,742883328
20,109,266,0,0,266,0,0,266,567,32638,32190,37063,9861,34.68,742141952
21,221,378,0,0,378,0,0,378,332,0,0,0,0,0,0
22,337,13,0,0,13,0,0,13,507,33431,32912,37748,10130,31.23,758427648
23,0,494,0,0,494,0,0,494,0,0,0,0,0,0,0
24,15,15,0,0,15,0,0,15,15,33064,33053,33200,9328,18.39,742772736
25,161,34,0,0,34,0,0,34,127,32219,32139,35517,9780,11.57,751448064
26,245,126,0,0,126,0,0,126,372,0,0,0,0,0,0
27,0,246,0,0,246,0,0,246,0,32880,32869,33954,9734,37.83,755085312
28,269,213,0,0,215,0,0,215,98,32360,32295,35688,9930,17.76,763584512
29,228,224,0,0,236,0,0,236,99,32071,32033,32712,9712,39.21,754671616
30,288,278,0,0,266,0,0,266,94,0,0,0,0,0,0
31,247,252,0,0,250,0,0,250,83,32794,32731,34117,10002,37.34,759332864
32,312,152,0,0,152,0,0,152,326,33462,33169,37543,10734,31.36,777953280
33,173,340,0,0,340,0,0,340,235,0,0,0,0,0,0
34,256,186,0,0,188,0,0,188,285,32805,32539,39877,10854,32.83,786690048
35,210,262,0,0,260,0,0,260,129,32228,32175,36040,10459,41.54,783253504
36,285,203,0,0,203,0,0,203,290,0,0,0,0,0,0
37,297,196,0,0,196,0,0,196,259,32874,32780,35723,10444,39.35,786485248
38,382,7,0,0,7,0,0,7,634,0,0,0,0,0,0
39,337,22,0,0,22,0,0,22,949,0,0,0,0,0,0
40,210,26,0,0,26,0,0,26,1143,34148,33008,50872,13014,33.58,903860224
41,44,487,0,0,488,0,0,488,1134,0,0,0,0,0,0
42,44,616,0,0,616,0,0,616,691,34350,34192,37610,11194,38.1,868868096
43,166,76,0,0,75,0,0,75,227,0,0,0,0,0,0
44,16,224,0,0,224,0,0,224,214,34101,34088,35894,10393,24.61,857747456
45,30,30,0,0,30,0,0,30,30,33915,33902,35984,10388,4.77,857600000
49,125,0,0,0,0,0,0,0,125,33451,33438,35984,9715,2.67,853495808
50,174,228,0,0,253,0,0,253,126,33924,33868,33605,10081,41.11,843329536
51,363,57,0,0,39,0,0,39,377,0,0,0,0,0,0
52,35,412,0,0,405,0,0,405,235,34735,34102,37331,10142,30.87,721408000
53,83,83,0,0,83,0,0,83,83,34123,34079,36486,9928,20.81,714317824
54,155,69,0,0,80,0,0,80,101,34236,34102,39641,10274,18.51,722116608
55,247,113,0,0,102,0,0,102,313,0,0,0,0,0,0
56,239,272,0,0,303,0,0,303,213,34236,34014,42996,10446,31.83,731836416
57,402,163,0,0,132,0,0,132,426,34854,34450,39826,11416,37.77,748625920
58,58,310,0,0,310,0,0,310,461,0,0,0,0,0,0
59,420,147,0,0,147,0,0,147,447,35651,35364,44212,11881,38.77,762707968
60,356,22,0,0,22,0,0,22,803,0,0,0,0,0,0
61,0,68,0,0,72,0,0,72,0,36703,35232,47447,12805,36.65,804544512
62,0,643,0,0,639,0,0,639,0,36068,35915,42345,11151,25.56,777994240
63,109,130,0,0,138,0,0,138,53,36246,36175,43001,11079,20.78,777883648
64,67,116,0,0,108,0,0,108,66,0,0,0,0,0,0
65,81,15,0,0,15,0,0,15,66,36138,36125,42923,10763,5.9,774578176
