second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,130,130,0,0,0,0,130,8,34,15,502,29,0,76656640
1,135,134,134,0,0,0,0,134,9,303,277,1134,182,22.52,103010304
2,135,137,137,0,0,0,0,137,10,574,547,1690,317,20.74,113102848
3,135,133,133,0,0,0,0,133,8,847,825,2097,454,18.82,121606144
4,135,138,138,0,0,0,0,138,8,1121,1095,2341,588,23.56,129396736
5,135,135,135,0,0,0,0,135,9,1391,1366,2831,728,28.77,139522048
6,135,135,135,0,0,0,0,135,14,1663,1638,3234,870,25.49,149364736
7,135,133,133,0,0,0,0,133,8,1938,1916,3683,999,28.76,155865088
8,135,135,135,0,0,0,0,135,7,2212,2188,4096,1135,22.34,164278272
9,135,137,137,0,0,0,0,137,8,2486,2460,4557,1278,11.36,172138496
10,135,135,135,0,0,0,0,135,10,2761,2736,4992,1413,11.5,177008640
11,135,133,133,0,0,0,0,133,9,3033,3008,5436,1554,13.61,186712064
12,135,135,137,0,0,0,0,137,8,3311,3288,5850,1686,15.51,190943232
13,135,137,135,0,0,0,0,135,10,3584,3562,6292,1826,11.72,196304896
14,135,135,135,0,0,0,0,135,9,3861,3828,6779,1967,19.4,205348864
15,135,134,134,0,0,0,0,134,9,4138,4112,7199,2103,11.81,209989632
16,135,132,132,0,0,0,0,132,11,4410,4385,7700,2248,12.93,215248896
17,135,137,137,0,0,0,0,137,10,4692,4667,7748,2388,14.4,226189312
18,135,137,137,0,0,0,0,137,11,4971,4947,8165,2532,14.48,229384192
19,135,134,134,0,0,0,0,134,11,5247,5229,8536,2659,13.34,233603072
20,135,136,136,0,0,0,0,136,9,5526,5505,9093,2800,14.27,242700288
21,135,132,132,0,0,0,0,132,10,5804,5781,9560,2939,19.1,247693312
22,135,136,136,0,0,0,0,136,10,6079,6058,9994,3083,14.84,253370368
23,135,136,136,0,0,0,0,136,11,6359,6336,10520,3219,13.02,261865472
24,135,135,135,0,0,0,0,135,11,6637,6616,11005,3362,12.96,266158080
25,135,135,135,0,0,0,0,135,11,6918,6894,11275,3503,13.92,270757888
26,135,134,134,0,0,0,0,134,11,7197,7176,11552,3657,14.62,279187456
27,135,134,134,0,0,0,0,134,12,7488,7464,12009,3788,15.7,287330304
28,132,134,134,0,0,0,0,134,12,7772,7745,12576,3926,12.95,292020224
29,138,136,136,0,0,0,0,136,11,8052,8030,13005,4067,12.89,300199936
30,135,138,138,0,0,0,0,138,12,8335,8310,13513,4206,15.27,308252672
31,135,135,135,0,0,0,0,135,12,8618,8592,13996,4353,15.45,316993536
32,135,134,134,0,0,0,0,134,12,8900,8876,14147,4504,15.98,323653632
33,135,134,135,0,0,0,0,135,12,9191,9166,14610,4638,15.72,327696384
34,135,137,136,0,0,0,0,136,16,9478,9456,15161,4782,16.5,336592896
35,135,134,134,0,0,0,0,134,13,0,0,0,0,0,0
36,135,136,136,0,0,0,0,136,16,9758,9734,15794,4930,19.74,341794816
37,135,135,135,0,0,0,0,135,12,10053,10028,15894,5085,19.57,347017216
38,135,135,135,0,0,0,0,135,11,10350,10328,16340,5218,13.09,352382976
39,135,135,135,0,0,0,0,135,13,10632,10608,16906,5359,17.58,361476096
