second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,129,129,0,0,0,0,129,16,32130,32110,25485,8152,27.74,578367488
1,135,138,138,0,0,0,0,138,17,32187,32165,25652,8143,21.96,578527232
2,135,135,135,0,0,0,0,135,18,32255,32236,25558,8150,16.92,574390272
3,135,135,135,0,0,0,0,135,16,32294,32267,25543,8152,17.34,574402560
4,131,125,125,0,0,0,0,125,21,32360,32342,25379,8150,18.25,574189568
5,139,140,140,0,0,0,0,140,22,0,0,0,0,0,0
6,135,137,138,0,0,0,0,138,16,32145,32123,25327,8139,22.29,578215936
7,135,134,133,0,0,0,0,133,17,32220,32193,25409,8146,19.85,574287872
8,135,135,135,0,0,0,0,135,16,32277,32242,25450,8142,21.49,578371584
9,135,136,136,0,0,0,0,136,18,32305,32285,25387,8142,18.52,570044416
10,135,133,133,0,0,0,0,133,20,32131,32113,25360,8142,20.97,578416640
11,135,137,137,0,0,0,0,137,16,0,0,0,0,0,0
12,135,137,137,0,0,0,0,137,20,32186,32169,25445,8130,20.86,578269184
13,135,136,136,0,0,0,0,136,20,32257,32238,25639,8144,19.52,578445312
14,135,135,135,0,0,0,0,135,25,32291,32271,25457,8145,19.42,578613248
15,135,127,128,0,0,0,0,128,19,32375,32352,25368,8148,19.88,574332928
16,135,142,141,0,0,0,0,141,16,0,0,0,0,0,0
17,135,135,135,0,0,0,0,135,27,32159,32139,25326,8156,19.83,574136320
18,135,134,134,0,0,0,0,134,24,32257,32238,25374,8169,18.6,574599168
19,135,122,122,0,0,0,0,122,19,32331,32314,26080,8147,20.66,574271488
20,135,146,146,0,0,0,0,146,20,32119,32098,25965,8148,20.11,578473984
21,135,136,136,0,0,0,0,136,22,0,0,0,0,0,0
22,135,136,136,0,0,0,0,136,21,32167,32141,25870,8142,19.04,578502656
23,135,132,132,0,0,0,0,132,18,32224,32200,25786,8141,20.56,578428928
24,132,134,134,0,0,0,0,134,18,32293,32274,25830,8158,19.36,578809856
25,138,139,139,0,0,0,0,139,15,32355,32333,26016,8146,20.4,578568192
26,135,134,134,0,0,0,0,134,16,0,0,0,0,0,0
27,135,137,137,0,0,0,0,137,17,32145,32126,25576,8153,20.61,578633728
28,135,136,136,0,0,0,0,136,22,32187,32169,25680,8147,24.98,578596864
29,135,135,135,0,0,0,0,135,17,32257,32240,25397,8148,21.48,578543616
30,135,134,135,0,0,0,0,135,18,32309,32278,25504,8158,17.64,574631936
31,135,135,134,0,0,0,0,134,18,32108,32090,25661,8151,16.21,574464000
32,135,136,136,0,0,0,0,136,17,0,0,0,0,0,0
33,133,128,128,0,0,0,0,128,17,32153,32131,25468,8150,21.51,574402560
34,137,142,142,0,0,0,0,142,19,32212,32187,25425,8153,18.95,574394368
35,135,135,135,0,0,0,0,135,20,32279,32262,25945,8144,19.26,578478080
36,135,132,132,0,0,0,0,132,16,32368,32350,25699,8161,17.6,578568192
37,129,132,132,0,0,0,0,132,20,0,0,0,0,0,0
38,141,138,138,0,0,0,0,138,16,32149,32130,26005,8152,18.4,578695168
39,135,137,137,0,0,0,0,137,15,32192,32165,25804,8155,18.24,578695168
40,131,131,131,0,0,0,0,131,15,32261,32244,25460,8154,18.94,578793472
41,136,121,121,0,0,0,0,121,19,32315,32296,26049,8147,17.29,575709184
42,138,154,154,0,0,0,0,154,21,32104,32086,26005,8152,20.3,578666496
43,135,135,135,0,0,0,0,135,28,0,0,0,0,0,0
44,131,127,127,0,0,0,0,127,15,32161,32137,25854,8155,19.74,578818048
45,139,142,142,0,0,0,0,142,17,32225,32204,25512,8162,19.71,578859008
46,135,128,128,0,0,0,0,128,20,32270,32250,26042,8146,22.15,578490368
47,132,136,136,0,0,0,0,136,15,32348,32326,25923,8148,19.32,578560000
48,138,134,135,0,0,0,0,135,16,32113,32096,25547,8150,20.75,578646016
49,135,125,127,0,0,0,0,127,26,0,0,0,0,0,0
50,135,148,145,0,0,0,0,145,22,32159,32135,25615,8156,21.77,574550016
51,129,134,134,0,0,0,0,134,18,32232,32213,25781,8152,17.3,574459904
52,141,139,139,0,0,0,0,139,20,32291,32270,25741,8147,19.97,574423040
53,135,135,135,0,0,0,0,135,19,32334,32316,25645,8146,19.81,578641920
54,135,136,136,0,0,0,0,136,20,0,0,0,0,0,0
55,134,124,124,0,0,0,0,124,15,32133,32114,25500,8159,19.76,578867200
56,136,146,146,0,0,0,0,146,19,32179,32163,25481,8152,19.22,574541824
57,135,135,135,0,0,0,0,135,23,32240,32218,25509,8151,16.88,570503168
58,135,128,128,0,0,0,0,128,15,32306,32277,25559,8158,20.85,578805760
59,135,132,134,0,0,0,0,134,17,32155,32134,26028,8188,21.63,579354624
60,135,141,140,0,0,0,0,140,23,0,0,0,0,0,0
61,135,137,136,0,0,0,0,136,18,32148,32131,26021,8201,20,567898112
62,135,128,128,0,0,0,0,128,20,32234,32215,25976,8178,17.42,558993408
63,135,142,142,0,0,0,0,142,21,32284,32261,26084,8177,16.98,560640000
64,135,137,137,0,0,0,0,137,16,32334,32317,25709,8178,19.94,567394304
65,135,135,135,0,0,0,0,135,21,32132,32109,25600,8179,20.3,563515392
66,134,123,124,0,0,0,0,124,15,0,0,0,0,0,0
67,136,147,146,0,0,0,0,146,25,32176,32146,25553,8183,21.45,564400128
68,135,135,135,0,0,0,0,135,17,32244,32214,25604,8180,17.28,564944896
69,135,125,125,0,0,0,0,125,17,32324,32294,25527,8187,18.53,563712000
70,135,145,145,0,0,0,0,145,17,32362,32333,25599,8182,21.69,559747072
71,135,135,136,0,0,0,0,136,20,0,0,0,0,0,0
72,135,135,134,0,0,0,0,134,16,32134,32108,25547,8184,18.82,564195328
73,135,124,124,0,0,0,0,124,20,32211,32186,25435,8174,17.18,556769280
74,135,145,145,0,0,0,0,145,18,32255,32233,25491,8182,17.41,563179520
75,135,134,134,0,0,0,0,134,21,32309,32279,25569,8182,19.8,559845376
76,135,135,135,0,0,0,0,135,17,32105,32081,25501,8197,18.04,565223424
77,135,122,122,0,0,0,0,122,23,0,0,0,0,0,0
78,135,149,149,0,0,0,0,149,21,32171,32152,25940,8169,17.34,561352704
79,135,136,136,0,0,0,0,136,20,32241,32219,25962,8177,21.05,562253824
80,135,121,121,0,0,0,0,121,22,32301,32279,25982,8177,19.52,559792128
81,135,148,148,0,0,0,0,148,24,32347,32320,25637,8180,22.63,550469632
82,135,136,136,0,0,0,0,136,18,0,0,0,0,0,0
83,135,135,135,0,0,0,0,135,18,32132,32111,26176,8196,18.07,568344576
84,135,127,129,0,0,0,0,129,20,32199,32180,25947,8178,20.13,569708544
85,135,138,137,0,0,0,0,137,26,32252,32230,25976,8182,17.7,556785664
86,135,137,136,0,0,0,0,136,18,32296,32275,25600,8177,26.01,555671552
87,129,132,132,0,0,0,0,132,15,32364,32339,25736,8180,17.98,560156672
88,141,129,129,0,0,0,0,129,17,0,0,0,0,0,0
89,135,148,148,0,0,0,0,148,20,32145,32118,25579,8192,18.37,569118720
90,135,133,133,0,0,0,0,133,15,32205,32182,25624,8170,18.6,555360256
91,135,136,136,0,0,0,0,136,18,32246,32226,25492,8174,22.37,558784512
92,135,136,136,0,0,0,0,136,18,32304,32276,25508,8178,22.71,559169536
93,135,135,135,0,0,0,0,135,16,32337,32315,25629,8186,20.43,555995136
94,135,134,134,0,0,0,0,134,19,0,0,0,0,0,0
95,135,125,126,0,0,0,0,126,17,32157,32137,25690,8181,17.64,555032576
96,135,146,145,0,0,0,0,145,20,32199,32176,25495,8176,18.78,564969472
97,135,132,132,0,0,0,0,132,16,32255,32233,25495,8173,19.63,561721344
98,135,126,126,0,0,0,0,126,16,32336,32307,25523,8184,18.88,563716096
99,135,144,144,0,0,0,0,144,16,32111,32087,25627,8181,18.82,555012096
100,135,137,137,0,0,0,0,137,16,0,0,0,0,0,0
101,135,135,135,0,0,0,0,135,21,32151,32128,25547,8194,18.41,561696768
102,135,130,130,0,0,0,0,130,17,32234,32210,25464,8177,20.11,556589056
103,135,140,140,0,0,0,0,140,19,32293,32269,25467,8186,16.82,564383744
104,135,135,135,0,0,0,0,135,18,32365,32346,25303,8181,16.68,564834304
105,135,135,135,0,0,0,0,135,20,0,0,0,0,0,0
106,135,125,126,0,0,0,0,126,19,32177,32151,25616,8181,19.66,560668672
107,135,146,145,0,0,0,0,145,20,32242,32213,25612,8177,18.56,558989312
108,135,134,134,0,0,0,0,134,20,32283,32262,25509,8186,18.08,557744128
109,128,125,125,0,0,0,0,125,17,32346,32329,26316,8199,20.12,563568640
110,142,144,144,0,0,0,0,144,25,0,0,0,0,0,0
111,135,137,137,0,0,0,0,137,19,32157,32132,25354,8182,19.93,565280768
112,135,134,134,0,0,0,0,134,17,32220,32200,25619,8178,20.11,554897408
113,135,119,121,0,0,0,0,121,21,32255,32229,25385,8175,18.7,566321152
114,135,147,145,0,0,0,0,145,18,32326,32303,25924,8183,21.21,566497280
115,135,136,136,0,0,0,0,136,19,32125,32106,25889,8176,20.48,562855936
116,135,135,135,0,0,0,0,135,15,0,0,0,0,0,0
117,135,138,138,0,0,0,0,138,17,32180,32161,26048,8177,19,563937280
118,135,136,136,0,0,0,0,136,20,32250,32230,25733,8177,19.51,564199424
119,135,135,135,0,0,0,0,135,20,32328,32310,25658,8178,17.97,563564544
120,132,121,121,0,0,0,0,121,21,32398,32380,25623,8188,21.77,567107584
121,138,140,141,0,0,0,0,141,21,0,0,0,0,0,0
122,135,141,140,0,0,0,0,140,16,32192,32174,25619,8176,18.39,564084736
123,135,136,136,0,0,0,0,136,19,32258,32237,25769,8178,20.32,555372544
124,135,137,137,0,0,0,0,137,16,32312,32290,25527,8183,19.25,562491392
125,135,134,134,0,0,0,0,134,22,32354,32334,25602,8203,18.45,559415296
126,135,132,132,0,0,0,0,132,22,32415,32395,25770,8179,20.67,560865280
127,135,136,136,0,0,0,0,136,18,0,0,0,0,0,0
128,135,134,134,0,0,0,0,134,16,32218,32200,25745,8181,18.4,557682688
129,135,135,135,0,0,0,0,135,16,32250,32232,25598,8176,20.69,565108736
130,135,137,137,0,0,0,0,137,19,32305,32288,25630,8184,20.58,564285440
131,135,136,136,0,0,0,0,136,21,32367,32350,25735,8173,17.75,560984064
132,135,135,135,0,0,0,0,135,20,32155,32138,25713,8175,18.69,554631168
133,135,136,136,0,0,0,0,136,19,0,0,0,0,0,0
134,135,134,134,0,0,0,0,134,15,32203,32180,25555,8176,18.32,559980544
135,135,133,133,0,0,0,0,133,21,32266,32241,25528,8177,16.65,556199936
