second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,0,132,0,0,0,0,132,135,16945,16926,738,67,21.3,83042304
1,135,0,135,0,0,0,0,135,270,17245,16926,3451,519,20.59,132513792
2,135,0,129,0,0,0,0,129,405,17540,16926,6123,964,24.56,187953152
3,135,0,138,0,0,0,0,138,540,17534,16628,8758,1403,23.12,229015552
4,135,0,137,0,0,0,0,137,675,17258,16054,11427,1848,21.59,271826944
5,135,0,133,0,0,0,0,133,810,17163,15660,14095,2291,26.47,313753600
6,135,0,137,0,0,0,0,137,945,17022,15230,16772,2738,26.49,363937792
7,135,0,136,0,0,0,0,136,1080,17232,15140,19530,3197,23.65,414625792
8,135,0,135,0,0,0,0,135,1215,17335,14942,22238,3648,15.96,429871104
9,135,0,133,0,0,0,0,133,1350,17172,14478,24886,4089,19.09,488620032
10,135,130,134,131,130,130,0,525,1363,17470,14742,26483,4260,25,523137024
11,135,134,136,136,134,134,0,540,1364,0,0,0,0,0,0
12,135,132,128,129,132,132,0,521,1367,17766,15045,27993,4414,21.21,549654528
13,132,136,140,137,137,136,0,550,1363,18080,15356,29621,4565,20.42,583438336
14,138,139,136,138,138,139,0,551,1364,18092,15363,31145,4716,19.73,615235584
15,135,133,137,133,133,133,0,536,1372,17852,15125,28245,4870,15.79,618049536
16,135,136,136,137,136,136,0,545,1365,18004,15282,29752,5016,17.18,634650624
17,135,137,130,136,137,137,0,540,1365,17646,14916,31244,5163,20.22,650338304
18,135,134,128,135,134,134,0,531,1371,17800,15056,32743,5311,20.03,664121344
19,135,134,145,133,134,134,0,546,1369,18110,15387,34444,5485,21.32,679129088
20,135,134,137,134,134,134,0,539,1366,0,0,0,0,0,0
21,135,136,134,136,136,136,0,542,1368,18336,15591,35965,5631,19.29,700346368
22,135,128,134,128,128,128,0,518,1366,18448,15707,30636,5782,16.91,693473280
23,135,140,132,140,140,140,0,552,1366,18610,15890,32128,5928,19.22,714502144
24,133,127,131,136,128,127,0,522,1376,18409,15682,31515,6079,21.2,731029504
25,136,144,140,135,143,144,0,562,1366,18725,16002,33236,6264,22.46,741605376
26,136,138,136,138,138,138,0,550,1367,18953,16218,34717,6395,23.21,754507776
27,135,128,138,130,128,128,0,524,1366,18634,15910,33200,6546,20.42,700706816
28,135,130,135,128,130,130,0,523,1366,0,0,0,0,0,0
29,135,145,135,145,145,145,0,570,1369,18918,16195,34741,6703,21.84,732340224
30,129,127,126,129,128,127,0,510,1368,18898,16173,36351,6863,17.12,760143872
31,140,137,142,139,138,137,0,556,1379,19238,16495,34904,7017,22.88,748441600
32,136,140,133,137,138,140,0,548,1370,19540,16811,36457,7172,19.35,768839680
33,135,132,135,132,133,132,0,532,1369,19295,16570,35123,7337,21.51,756416512
34,135,132,137,131,131,132,0,531,1369,19209,16487,36832,7500,18.42,782770176
35,135,140,136,140,140,140,0,556,1366,19489,16754,38340,7645,21.31,800505856
36,129,127,125,129,127,127,0,508,1367,0,0,0,0,0,0
37,140,143,140,142,144,144,0,570,1374,19791,17052,37129,7798,23.1,792403968
38,136,138,138,138,138,137,0,551,1368,20095,17365,38695,7957,20.88,814977024
39,135,135,134,135,135,135,0,539,1371,20414,17692,37494,8124,22.03,801464320
40,135,127,138,126,126,127,0,517,1371,20551,17817,39008,8266,18.8,826535936
41,135,141,112,142,142,142,0,538,1370,20372,17627,38408,8442,19.76,818520064
42,134,127,146,133,126,126,0,531,1368,0,0,0,0,0,0
43,132,140,140,135,141,140,0,556,1375,20123,17385,39981,8602,19.95,844058624
44,139,139,142,137,138,139,0,556,1371,20053,17305,41492,8740,17.82,870567936
45,135,136,133,136,136,136,0,541,1369,19651,16923,40753,8933,22.48,850108416
