second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,130,0,0,130,0,0,130,7,31,14,497,28,35.13,75911168
1,135,137,0,0,137,0,0,137,8,300,278,1505,180,23.66,108953600
2,135,134,0,0,134,0,0,134,8,573,551,1892,312,21.31,119832576
3,135,134,0,0,134,0,0,134,9,845,824,2294,449,18.6,128897024
4,135,136,0,0,136,0,0,136,7,1118,1092,2664,592,25.26,139055104
5,135,135,0,0,135,0,0,135,7,1390,1364,3066,726,22.25,145584128
6,135,136,0,0,136,0,0,136,10,1664,1642,3497,860,27.59,155754496
7,135,134,0,0,134,0,0,134,7,1936,1911,3795,998,22.72,162537472
8,135,134,0,0,135,0,0,135,8,2211,2185,4210,1134,13.27,167469056
9,135,136,0,0,135,0,0,135,7,2483,2461,4669,1277,17.3,171532288
10,135,136,0,0,136,0,0,136,8,2759,2735,5086,1412,12.9,172929024
11,135,133,0,0,133,0,0,133,9,3031,3007,5513,1552,14.41,180346880
12,135,136,0,0,136,0,0,136,8,3308,3285,5866,1687,16.5,187002880
13,135,136,0,0,136,0,0,136,9,3581,3558,6291,1827,13.99,191320064
14,135,130,0,0,130,0,0,130,8,3857,3836,6740,1961,16.28,197824512
15,135,136,0,0,136,0,0,136,10,4131,4110,7073,2103,13.2,203628544
16,135,136,0,0,136,0,0,136,10,4409,4388,7514,2239,13.54,207716352
17,135,136,0,0,136,0,0,136,8,4685,4664,7946,2374,13.41,211947520
18,135,135,0,0,135,0,0,135,10,4962,4937,8403,2515,16.32,220180480
19,135,134,0,0,134,0,0,134,10,5239,5216,8808,2655,15.42,223408128
20,135,135,0,0,135,0,0,135,11,5512,5490,9314,2799,15.01,228061184
21,135,137,0,0,137,0,0,137,10,5794,5772,9756,2933,15.13,232800256
22,135,136,0,0,136,0,0,136,10,6070,6046,10125,3074,12.5,238940160
23,135,133,0,0,133,0,0,133,9,6351,6328,10593,3211,18.3,246398976
24,135,134,0,0,134,0,0,134,12,6629,6603,11057,3351,20.66,250998784
25,135,136,0,0,136,0,0,136,12,6908,6886,11472,3494,14.35,255614976
26,135,136,0,0,136,0,0,136,11,7189,7163,11569,3644,13.7,264302592
27,135,134,0,0,135,0,0,135,13,7472,7444,11951,3782,14.54,272764928
28,135,137,0,0,136,0,0,136,12,7763,7742,12453,3920,18.32,276975616
29,135,134,0,0,134,0,0,134,12,8046,8014,12940,4062,15.64,282054656
30,135,134,0,0,134,0,0,134,11,8330,8307,13352,4199,15.79,286842880
31,135,134,0,0,134,0,0,134,11,8609,8581,13937,4349,16.36,295514112
32,134,133,0,0,133,0,0,133,14,8894,8871,14336,4482,13.73,299421696
33,132,132,0,0,132,0,0,132,18,9176,9146,14804,4628,14.88,304189440
34,139,136,0,0,136,0,0,136,13,9459,9433,15344,4765,14.34,309035008
35,134,140,0,0,140,0,0,140,12,0,0,0,0,0,0
36,133,131,0,0,131,0,0,131,13,9759,9725,15420,4933,14.93,317145088
37,138,135,0,0,135,0,0,135,14,10046,10023,15950,5063,16.75,326414336
38,132,130,0,0,130,0,0,130,14,10330,10309,16474,5213,16.3,335605760
39,138,138,0,0,138,0,0,138,15,10619,10591,16976,5351,16.74,339058688
40,135,139,0,0,139,0,0,139,13,10904,10883,17496,5500,14.42,343482368
41,135,138,0,0,138,0,0,138,13,11193,11170,17601,5662,14.44,358105088
42,135,136,0,0,136,0,0,136,12,11494,11466,18050,5792,16,365682688
43,135,135,0,0,135,0,0,135,16,11782,11754,18634,5936,14.63,374489088
44,135,134,0,0,134,0,0,134,13,12067,12044,19104,6080,14.28,380841984
45,135,136,0,0,136,0,0,136,14,12357,12335,19668,6224,15.6,385175552
46,135,135,0,0,135,0,0,135,14,12644,12616,19741,6377,14.21,390033408
47,135,135,0,0,135,0,0,135,15,12944,12902,20261,6520,14.88,394358784
48,135,135,0,0,135,0,0,135,14,13236,13209,20858,6662,17.11,399118336
49,135,134,0,0,134,0,0,134,16,13525,13501,21366,6810,17.31,404725760
50,135,135,0,0,135,0,0,135,15,0,0,0,0,0,0
51,135,136,0,0,136,0,0,136,14,13816,13791,21895,6956,17.83,414404608
52,135,134,0,0,134,0,0,134,16,14128,14087,22103,7118,13.93,420712448
53,135,136,0,0,136,0,0,136,14,14422,14399,22660,7261,13.6,429514752
54,135,135,0,0,135,0,0,135,17,14716,14688,23198,7410,18.83,441270272
55,131,130,0,0,130,0,0,130,22,15003,14977,23457,7590,16.93,449523712
56,139,130,0,0,130,0,0,130,15,15325,15297,23930,7710,19.79,453533696
57,135,144,0,0,144,0,0,144,15,15614,15589,24536,7856,12.24,458285056
58,135,135,0,0,136,0,0,136,19,15902,15879,24843,8005,14.74,462905344
59,135,134,0,0,133,0,0,133,17,16207,16167,25295,8164,18,467132416
60,135,136,0,0,136,0,0,136,17,0,0,0,0,0,0
61,135,136,0,0,136,0,0,136,16,16506,16482,25938,8161,13.35,468340736
62,135,135,0,0,135,0,0,135,17,16799,16777,26138,8170,17.92,474034176
63,135,134,0,0,134,0,0,134,17,17112,17087,26679,8156,15.39,475791360
64,134,132,0,0,132,0,0,132,17,17406,17381,27324,8159,15.42,481738752
65,136,130,0,0,130,0,0,130,16,17700,17678,27547,8179,16.47,492613632
66,135,142,0,0,142,0,0,142,16,18012,17991,28126,8164,17.53,493961216
67,135,137,0,0,137,0,0,137,26,18307,18285,25718,8164,18.23,499650560
68,135,135,0,0,135,0,0,135,15,18623,18585,25909,8155,13.27,503902208
69,135,135,0,0,135,0,0,135,17,18917,18888,26578,8161,16.18,503939072
70,135,135,0,0,135,0,0,135,16,0,0,0,0,0,0
71,135,134,0,0,134,0,0,134,15,19215,19188,26826,8177,16.83,505851904
72,128,126,0,0,126,0,0,126,16,19527,19507,27375,8161,15.78,506589184
73,142,144,0,0,144,0,0,144,22,19825,19808,25770,8166,16.91,506343424
74,135,134,0,0,134,0,0,134,17,20129,20092,25948,8162,17.48,506494976
75,135,136,0,0,136,0,0,136,16,20430,20408,26574,8160,16.05,506499072
76,135,135,0,0,135,0,0,135,16,20732,20706,26788,8174,15.99,507617280
77,135,135,0,0,135,0,0,135,17,21038,21015,27376,8156,15.22,508997632
78,130,130,0,0,130,0,0,130,16,21337,21318,27779,8174,19.22,510226432
79,140,132,0,0,132,0,0,132,14,0,0,0,0,0,0
80,135,142,0,0,142,0,0,142,17,21653,21632,28283,8161,16.83,511873024
81,135,137,0,0,137,0,0,137,16,21953,21934,28805,8162,14.71,514129920
82,135,134,0,0,134,0,0,134,20,22274,22250,29206,8159,16.2,518660096
83,135,134,0,0,134,0,0,134,21,22574,22557,29800,8158,16.95,524431360
84,129,129,0,0,129,0,0,129,24,22878,22839,25450,8165,18.14,510701568
85,141,141,0,0,141,0,0,141,19,23205,23187,25865,8169,15.37,522706944
86,135,136,0,0,136,0,0,136,15,23521,23500,26407,8166,17.51,523907072
87,135,136,0,0,136,0,0,136,16,0,0,0,0,0,0
88,135,135,0,0,135,0,0,135,15,23825,23803,26933,8166,14.05,525303808
89,135,134,0,0,134,0,0,134,19,24133,24092,25501,8168,20.51,523685888
