second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,130,0,0,130,0,0,130,20,31757,31740,25912,7907,25.77,561025024
1,135,126,0,0,126,0,0,126,17,31822,31806,26584,7903,16.82,562835456
2,135,145,0,0,145,0,0,145,15,31640,31623,25184,7902,18.58,560304128
3,135,135,0,0,135,0,0,135,17,31665,31642,25616,7906,17.75,560386048
4,135,134,0,0,134,0,0,134,16,31727,31711,26229,7906,14.98,560074752
5,135,137,0,0,137,0,0,137,22,0,0,0,0,0,0
6,136,123,0,0,123,0,0,123,16,31787,31767,24981,7904,18.75,560340992
7,134,146,0,0,146,0,0,146,18,31832,31816,25340,7902,15.34,559927296
8,135,136,0,0,136,0,0,136,20,31621,31602,26079,7898,15.92,560406528
9,135,135,0,0,135,0,0,135,22,31682,31667,24995,7900,20.84,560254976
10,134,130,0,0,130,0,0,130,20,31728,31710,25447,7916,19.57,560803840
11,136,128,0,0,128,0,0,128,17,0,0,0,0,0,0
12,135,142,0,0,142,0,0,142,27,31820,31803,26076,7901,18.76,559865856
13,135,140,0,0,140,0,0,140,14,31852,31835,24990,7902,17.62,556068864
14,135,135,0,0,135,0,0,135,17,31615,31597,25409,7904,19.42,556257280
15,135,132,0,0,132,0,0,132,18,31683,31668,26061,7900,15.7,560156672
16,135,137,0,0,137,0,0,137,23,31742,31726,24979,7902,19.18,560218112
17,135,136,0,0,136,0,0,136,16,0,0,0,0,0,0
18,135,135,0,0,135,0,0,135,16,31793,31777,25383,7904,17.42,560152576
19,135,133,0,0,133,0,0,133,18,31861,31840,26052,7906,14.79,556208128
20,135,125,0,0,126,0,0,126,19,31658,31637,24979,7904,23.43,556183552
21,135,142,0,0,141,0,0,141,16,31692,31674,25355,7900,18.84,560148480
22,135,136,0,0,136,0,0,136,22,31750,31737,26059,7904,17.98,560226304
23,135,136,0,0,136,0,0,136,27,0,0,0,0,0,0
24,135,133,0,0,133,0,0,133,16,31809,31788,25006,7906,17.35,560336896
25,135,136,0,0,136,0,0,136,21,31871,31856,25481,7927,18.1,560377856
26,135,137,0,0,137,0,0,137,16,31640,31622,26049,7898,17.89,556167168
27,135,136,0,0,136,0,0,136,25,31703,31687,25009,7902,19.07,559763456
28,135,136,0,0,136,0,0,136,16,31758,31734,25363,7906,15.4,560312320
29,133,133,0,0,133,0,0,133,16,0,0,0,0,0,0
30,135,120,0,0,121,0,0,121,18,31828,31809,26014,7896,16.8,560152576
31,137,152,0,0,151,0,0,151,19,31630,31608,24981,7902,17.2,559996928
32,135,133,0,0,133,0,0,133,17,31647,31625,25405,7909,18.23,560156672
33,133,135,0,0,135,0,0,135,20,31712,31696,25976,7892,16.11,559845376
34,134,133,0,0,133,0,0,133,26,0,0,0,0,0,0
35,138,137,0,0,137,0,0,137,17,31792,31774,24979,7900,18.84,560205824
36,135,135,0,0,135,0,0,135,19,31817,31793,25385,7901,17.06,559919104
37,135,137,0,0,137,0,0,137,19,31621,31603,26010,7903,18.37,560320512
38,130,126,0,0,126,0,0,126,17,31675,31658,25044,7911,17.41,553652224
39,140,136,0,0,136,0,0,136,16,31720,31702,25406,7914,18.66,557596672
40,135,139,0,0,139,0,0,139,19,0,0,0,0,0,0
41,135,138,0,0,138,0,0,138,16,31775,31756,26070,7906,15.18,553762816
42,135,136,0,0,136,0,0,136,15,31833,31818,24998,7900,18.31,553648128
43,130,129,0,0,129,0,0,129,18,31633,31615,25411,7905,18.1,557678592
44,141,139,0,0,139,0,0,139,16,31675,31658,26090,7908,17.75,557957120
45,134,134,0,0,134,0,0,134,21,31740,31722,25039,7901,20.24,557850624
46,135,135,0,0,135,0,0,135,18,0,0,0,0,0,0
47,135,135,0,0,135,0,0,135,17,31782,31764,25369,7901,16.35,557801472
48,128,130,0,0,130,0,0,130,16,31850,31832,26042,7907,16.3,557912064
49,142,141,0,0,141,0,0,141,19,31627,31594,24956,7897,17.01,557543424
50,135,137,0,0,137,0,0,137,16,31669,31646,25359,7900,20.57,553644032
51,135,133,0,0,133,0,0,133,20,31733,31715,26090,7914,21.3,558051328
52,135,137,0,0,137,0,0,137,22,0,0,0,0,0,0
53,135,125,0,0,125,0,0,125,17,31811,31786,25035,7906,21.14,558002176
54,135,145,0,0,145,0,0,145,17,31836,31819,25446,7923,15.78,557948928
55,135,134,0,0,134,0,0,134,17,31636,31619,26069,7910,16.72,557965312
56,135,136,0,0,136,0,0,136,28,31691,31667,25001,7901,21.55,557854720
57,135,133,0,0,133,0,0,133,18,31755,31732,25408,7927,18.97,558333952
58,134,128,0,0,129,0,0,129,17,0,0,0,0,0,0
59,136,129,0,0,128,0,0,128,23,31790,31773,26071,8083,16.26,560422912
60,135,148,0,0,148,0,0,148,20,31839,31813,25692,8177,19.4,558301184
61,135,137,0,0,137,0,0,137,16,31646,31625,26160,8176,18.73,562479104
62,135,124,0,0,125,0,0,125,19,31707,31683,26835,8183,15.87,562413568
63,130,138,0,0,137,0,0,137,17,31733,31708,27166,8175,19.22,563163136
64,140,119,0,0,125,0,0,125,27,0,0,0,0,0,0
65,135,159,0,0,153,0,0,153,25,31792,31773,25604,8169,18.29,555765760
66,135,134,0,0,134,0,0,134,15,31856,31837,26244,8176,16.06,555937792
67,136,128,0,0,128,0,0,128,21,31646,31625,26590,8168,20.27,559996928
68,134,136,0,0,136,0,0,136,22,31690,31669,27180,8202,17.2,557797376
69,135,138,0,0,138,0,0,138,28,31757,31739,25961,8171,20.4,555769856
70,135,136,0,0,136,0,0,136,17,0,0,0,0,0,0
71,135,135,0,0,135,0,0,135,18,31803,31782,26263,8176,16.24,559992832
72,135,127,0,0,127,0,0,127,20,31859,31843,26768,8168,15.22,560353280
73,135,143,0,0,143,0,0,143,17,31624,31599,25845,8180,19.29,559996928
74,135,136,0,0,136,0,0,136,16,31673,31654,26177,8170,18.89,559751168
75,135,137,0,0,137,0,0,137,20,31742,31726,26918,8177,18.15,556556288
76,135,134,0,0,134,0,0,134,17,0,0,0,0,0,0
77,134,123,0,0,124,0,0,124,16,31826,31804,25813,8171,19.15,560361472
78,136,148,0,0,147,0,0,147,21,31836,31819,26295,8183,16.06,561049600
79,135,135,0,0,135,0,0,135,18,31639,31623,26890,8166,16.57,560451584
80,135,133,0,0,133,0,0,133,23,31700,31682,25823,8172,19.71,556359680
81,135,137,0,0,137,0,0,137,16,31730,31707,26209,8171,18.47,560467968
82,135,123,0,0,123,0,0,123,17,0,0,0,0,0,0
83,135,146,0,0,146,0,0,146,24,31802,31784,26777,8169,16.98,560680960
84,135,136,0,0,136,0,0,136,19,31858,31836,25769,8171,20.74,560521216
85,135,132,0,0,132,0,0,132,18,31647,31628,26153,8168,16.38,560168960
86,135,127,0,0,127,0,0,127,19,31683,31658,26858,8182,18.37,560943104
87,136,136,0,0,138,0,0,138,22,31748,31723,25830,8181,20.88,560676864
88,134,140,0,0,138,0,0,138,18,0,0,0,0,0,0
89,136,137,0,0,137,0,0,137,17,31787,31768,26263,8176,15.57,560869376
