second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,9274,9260,659,35,1.52,191721472
2,409,154,154,0,0,0,0,154,349,8892,8696,2122,230,3.18,196415488
3,0,276,285,0,0,0,0,285,0,9659,8670,7026,844,37.84,230457344
4,263,61,52,0,0,0,0,52,263,9274,9126,1418,35,44.07,192667648
5,417,207,210,0,0,0,0,210,473,9587,8825,7626,838,14.73,238018560
6,213,189,188,0,0,0,0,188,533,9826,8706,9211,1137,47.41,273149952
7,28,249,261,0,0,0,0,261,495,9661,8778,8362,897,56.12,276299776
8,205,276,262,0,0,0,0,262,424,9884,9084,7050,935,52.25,260751360
9,0,205,205,0,0,0,0,205,0,9610,9374,727,33,48.38,196866048
11,232,0,0,0,0,0,0,0,232,8783,8770,723,32,0.57,199847936
12,139,203,205,0,0,0,0,205,295,8998,8373,4622,476,34.61,221736960
13,369,217,215,0,0,0,0,215,399,9596,8720,6799,812,46.94,225730560
14,0,283,300,0,0,0,0,300,0,9228,8972,2612,32,43.75,214609920
15,166,37,20,0,0,0,0,20,166,0,0,0,0,0,0
16,622,155,155,0,0,0,0,155,633,9233,8940,5686,435,8.77,226746368
17,303,206,206,0,0,0,0,206,730,10327,8750,14151,1549,45.94,316870656
18,299,118,122,0,0,0,0,122,956,0,0,0,0,0,0
19,42,265,268,0,0,0,0,268,833,11011,8884,16906,2024,39.76,373751808
20,202,319,318,0,0,0,0,318,638,10854,9376,14513,1467,57.56,384679936
21,53,183,177,0,0,0,0,177,563,10373,9355,10224,1353,54.28,384253952
22,15,274,274,0,0,0,0,274,440,10783,9499,10882,1338,32.68,332623872
23,406,183,183,0,0,0,0,183,406,10582,10393,1108,36,42.86,269393920
24,0,151,157,0,0,0,0,157,0,11556,10567,7874,878,33.24,264802304
25,0,254,248,0,0,0,0,248,0,10860,10716,3394,37,33.12,254443520
26,277,126,139,0,0,0,0,139,235,0,0,0,0,0,0
27,344,189,178,0,0,0,0,178,337,10930,10484,3974,339,29.49,229724160
28,293,296,294,0,0,0,0,294,303,11374,10524,6573,762,45.49,265502720
29,531,126,129,0,0,0,0,129,741,11128,10568,5887,707,55.15,230371328
30,0,248,246,0,0,0,0,246,0,11717,10611,10455,1262,51.53,313438208
31,53,262,285,0,0,0,0,285,419,12095,10972,8659,996,52.88,308310016
32,430,209,185,0,0,0,0,185,480,12030,11319,6800,817,46.33,262414336
33,0,312,321,0,0,0,0,321,0,11931,11255,5603,651,52.92,258867200
34,340,165,160,0,0,0,0,160,347,12428,11649,6476,863,48.57,237445120
35,230,307,306,0,0,0,0,306,333,0,0,0,0,0,0
36,734,46,43,0,0,0,0,43,946,13049,11435,16340,2182,45.81,329396224
37,325,125,128,0,0,0,0,128,1205,0,0,0,0,0,0
38,27,212,210,0,0,0,0,210,1142,13678,11272,20311,2606,53.7,396222464
39,8,313,326,0,0,0,0,326,936,0,0,0,0,0,0
40,107,204,192,0,0,0,0,192,693,13562,11608,16274,1893,59.29,433438720
41,0,318,315,0,0,0,1,315,0,13387,12192,8881,1156,63.16,429506560
42,0,241,241,0,0,0,0,241,0,12585,12383,2957,39,31.14,262004736
43,65,65,65,0,0,0,0,65,65,12153,12018,1546,122,10.28,238178304
45,30,30,30,0,0,0,0,30,30,11670,11626,698,40,4.7,168652800
49,466,4,5,0,0,0,0,5,466,10751,9933,7260,985,19.13,224731136
50,145,155,158,0,0,0,0,158,503,0,0,0,0,0,0
51,51,312,308,0,0,0,0,308,213,10874,9724,9940,1176,44.67,273268736
52,35,226,226,0,0,0,0,226,157,10653,10197,4468,476,49.15,221929472
53,83,83,83,0,0,0,0,83,83,9974,9681,4115,252,22.47,227930112
54,399,71,71,0,0,0,0,71,399,10434,9818,5340,587,20.81,201650176
55,209,254,254,0,0,0,0,254,357,10255,9474,5185,629,43.78,243748864
56,178,263,270,0,0,0,0,270,308,10213,9374,5450,621,45.62,262184960
57,528,145,139,0,0,0,0,139,584,10461,9587,6980,829,41.01,246763520
58,311,208,209,0,0,0,0,209,684,0,0,0,0,0,0
59,252,126,124,0,0,0,0,124,841,11228,9372,15300,1902,53.04,343130112
60,0,352,363,0,0,0,0,363,0,10912,9451,11869,1628,55.52,365318144
61,0,200,189,0,0,0,0,189,0,10214,9480,5751,620,43,286162944
62,0,256,256,0,0,0,0,256,0,9832,9630,1917,40,32.67,230277120
63,176,31,32,0,0,0,0,32,178,9513,9057,5333,463,17.82,244572160
64,0,147,145,0,0,0,1,145,0,0,0,0,0,0,0
65,327,85,85,0,0,0,0,85,248,9052,9023,1458,36,13.28,231034880
66,303,228,235,0,0,0,0,235,317,9284,8790,4557,604,29.94,234262528
67,469,120,118,0,0,0,0,118,772,10347,9199,8472,1096,48.55,264572928
68,114,219,217,0,0,0,0,217,688,10618,9282,11267,1355,50.39,310099968
69,380,203,200,0,0,0,0,200,738,9710,8884,7815,911,64.45,333635584
70,0,162,174,0,0,0,0,174,0,10189,8423,13030,1771,45.65,348721152
71,72,436,424,0,0,0,0,424,572,9279,8406,7851,907,55.95,337350656
72,269,98,55,0,0,0,46,55,438,9467,8657,8221,1047,34.73,268894208
73,154,312,321,0,0,0,0,321,344,9717,9133,6353,453,57.93,280309760
74,176,214,202,0,0,0,0,202,187,9841,9534,3584,260,37.54,230948864
75,320,81,81,0,0,0,0,81,507,0,0,0,0,0,0
76,12,292,307,0,0,0,0,307,193,10864,9696,9235,1261,40.14,281579520
77,588,170,145,0,0,0,10,145,564,10778,10529,1371,58,53.7,233078784
78,258,147,150,0,0,0,0,150,754,12002,10656,10499,1334,27.69,281489408
79,33,242,242,0,0,0,0,242,576,12354,11084,12699,1433,56.47,318267392
80,114,225,222,0,0,0,0,222,507,12247,10864,10738,1312,45.3,328192000
81,0,355,355,0,0,0,0,355,0,11509,11063,4006,267,53.11,293179392
88,243,82,82,0,0,0,0,82,204,0,0,0,0,0,0
89,379,226,226,0,0,0,0,226,338,9651,9098,4047,473,24.75,277962752
90,0,212,212,0,0,0,0,212,0,10039,9246,5536,708,46.29,233861120
91,0,102,102,0,0,0,0,102,0,9258,9007,2188,205,31.16,241106944
92,441,71,72,0,0,0,0,72,417,8866,8842,1246,47,7.57,219795456
93,0,269,272,0,0,0,0,272,0,9624,8751,6044,758,35.83,249266176
94,0,101,97,0,0,0,0,97,0,9186,9019,1139,29,41.32,220897280
