second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,8261,8247,1127,29,0.95,264318976
2,409,135,135,0,0,0,0,135,396,8407,8247,2517,234,5.79,241680384
3,0,236,237,0,0,0,0,237,0,9370,8424,7298,902,37.14,251392000
4,263,121,120,0,0,0,0,120,263,8557,8376,1234,28,52.16,235003904
5,395,137,143,0,0,0,0,143,609,9187,8273,7693,976,21.69,268705792
6,297,129,123,0,0,0,0,123,696,9092,8190,9506,1249,55.23,294518784
7,121,191,193,0,0,0,0,193,619,9417,8133,13198,1718,43.27,334737408
8,12,229,231,0,0,0,0,231,621,9248,8117,11086,1218,52.14,343216128
9,38,280,279,0,0,0,0,279,390,9265,8574,9814,690,46.8,349753344
10,0,159,156,0,0,0,0,156,0,8627,8511,1957,28,22.18,285773824
11,107,0,0,0,0,0,0,0,107,8059,8045,1957,28,0.38,286580736
12,201,137,138,0,0,0,0,138,294,8426,7772,4989,566,33.04,294580224
13,432,186,185,0,0,0,0,185,432,8805,8109,7167,1001,48.02,295297024
14,0,208,212,0,0,0,0,212,0,0,0,0,0,0,0
15,0,209,205,0,0,0,0,205,0,8594,7852,6408,619,55.71,284573696
16,737,52,55,0,0,0,0,55,692,8433,8113,3627,423,20.13,282468352
17,116,200,205,0,0,0,0,205,704,9596,7933,13382,1725,37.75,320950272
18,97,248,240,0,0,0,0,240,478,9060,7805,11625,1369,56.94,352931840
19,327,121,133,0,0,0,0,133,707,9294,8028,15511,1567,43.04,372518912
20,225,150,152,0,0,0,0,152,731,9355,8173,14347,1635,49.89,392650752
21,16,350,339,0,0,0,0,339,502,9731,8402,14258,1639,46.79,411140096
22,184,141,142,0,0,0,0,142,563,10027,8573,11442,1436,45.4,403243008
23,12,311,313,0,0,0,0,313,153,9377,8689,5625,525,53.78,306614272
24,394,244,238,0,0,0,0,238,384,10168,9178,7542,906,41.72,273457152
25,0,281,281,0,0,0,0,281,0,9062,8771,2612,211,37.41,274292736
26,306,88,91,0,0,0,0,91,273,9643,9063,5848,558,32.68,277139456
27,315,199,196,0,0,0,0,196,344,0,0,0,0,0,0
28,150,230,231,0,0,0,0,231,318,10274,9479,6757,764,45.56,271163392
29,427,126,133,0,0,0,0,133,565,10657,9977,5597,702,44.48,284266496
30,247,210,202,0,0,0,0,202,691,11655,10274,11298,1419,41.12,323571712
31,0,114,116,0,0,0,0,116,0,11975,10674,11183,1463,42.47,345788416
32,175,311,313,0,0,0,0,313,368,0,0,0,0,0,0
33,152,190,186,0,0,0,0,186,351,11838,11021,11484,880,47.09,364212224
34,176,283,285,0,0,0,0,285,328,12043,11276,7411,573,48.74,316887040
35,266,230,228,0,0,0,0,228,257,11953,11539,4414,593,52.06,271966208
36,715,4,7,0,0,0,0,7,954,12789,11378,14502,2008,41.31,337367040
37,83,154,151,0,0,0,0,151,956,0,0,0,0,0,0
38,248,162,163,0,0,0,0,163,1006,13048,10914,19104,2319,49.72,413446144
39,53,184,189,0,0,0,0,189,974,0,0,0,0,0,0
40,386,167,166,0,0,0,0,166,1071,0,0,0,0,0,0
41,17,136,99,0,0,0,35,99,977,0,0,0,0,0,0
42,48,289,290,0,0,0,0,290,939,13860,11364,21594,2372,50.58,501981184
43,0,339,335,0,0,0,0,335,0,13215,11583,17633,1430,51.8,497500160
44,30,173,173,0,0,0,0,173,245,12546,11839,14311,623,38.58,498176000
45,0,193,193,0,0,0,0,193,0,11946,11455,13516,423,10.98,499150848
46,0,22,22,0,0,0,0,22,0,11760,11668,836,26,17.31,437071872
48,338,2,4,0,0,0,0,4,336,11286,10785,5356,698,14.37,427958272
49,199,191,189,0,0,0,0,189,369,0,0,0,0,0,0
50,125,158,158,0,0,0,0,158,312,11406,10633,6034,647,43.31,316715008
51,35,255,259,0,0,0,0,259,257,11245,10381,7364,889,36.05,323846144
52,83,174,170,0,0,0,0,170,83,11024,10692,3779,209,44.56,236019712
53,399,19,21,0,0,0,0,21,399,10720,10225,4637,521,19.53,225505280
54,134,275,273,0,0,0,0,273,241,10840,10071,7439,755,48.71,261505024
55,250,177,179,0,0,0,0,179,337,10654,10090,5727,702,42.21,262057984
56,177,216,216,0,0,0,0,216,309,10955,10295,5816,663,43.63,262103040
57,469,130,128,0,0,0,0,128,612,11141,10188,8862,1089,42.66,281325568
58,45,224,226,0,0,0,0,226,613,11234,10185,9990,1230,47.31,314179584
59,348,134,135,0,0,0,0,135,647,0,0,0,0,0,0
60,55,191,191,0,0,0,0,191,697,11634,9816,15091,1770,39.35,361086976
61,0,388,393,0,0,0,0,393,0,11395,10155,10819,1250,56.89,358563840
62,176,209,206,0,0,0,0,206,176,10738,10385,4983,277,46.11,276725760
63,0,90,85,0,0,0,0,85,0,10487,10337,816,27,32.2,269033472
64,227,72,73,0,0,0,0,73,187,9952,9816,1998,184,2.97,274509824
65,371,198,202,0,0,0,0,202,349,10105,9658,3757,520,46.71,241500160
66,307,139,138,0,0,0,0,138,545,0,0,0,0,0,0
67,144,201,198,0,0,0,0,198,497,11330,10163,10182,1099,48.17,313331712
68,164,103,107,0,0,0,0,107,511,0,0,0,0,0,0
69,115,346,346,0,0,0,0,346,498,11282,10170,9111,982,48.12,335470592
70,351,265,261,0,0,0,0,261,355,11131,10498,6040,589,50.41,272506880
71,185,226,237,0,0,0,0,237,393,0,0,0,0,0,0
72,70,213,205,0,0,0,0,205,332,11157,10397,9170,837,48.39,300855296
73,154,234,230,0,0,0,0,230,222,10688,10247,5274,370,48.69,269295616
74,496,103,103,0,0,0,0,103,496,10437,10273,1039,28,34.14,262070272
75,0,187,190,0,0,0,0,190,0,0,0,0,0,0,0
76,25,322,319,0,0,0,0,319,218,11155,10587,6146,469,43.56,301301760
77,619,82,89,0,0,0,0,89,588,11789,10894,7764,980,42.81,313090048
78,104,210,205,0,0,0,0,205,530,12353,11268,11196,1233,50.3,313126912
79,99,254,254,0,0,0,0,254,433,12435,11540,9612,850,45.54,326029312
80,158,244,255,0,0,0,0,255,326,11899,11322,5766,595,50.9,274513920
81,0,190,177,0,0,0,0,177,0,0,0,0,0,0,0
87,73,0,0,0,0,0,0,0,73,9669,9650,1065,27,0.76,257200128
88,213,232,232,0,0,0,0,232,171,9634,9393,2409,204,16.64,237350912
89,336,166,170,0,0,0,0,170,355,10277,9477,5901,650,39.87,249671680
90,0,224,220,0,0,0,0,220,0,10080,9639,3733,238,52.83,255385600
91,218,15,15,0,0,0,0,15,203,9106,9082,940,27,7.17,242786304
92,223,119,119,0,0,0,0,119,423,9599,8757,7058,916,27.66,281874432
93,0,307,307,0,0,0,0,307,0,9535,9102,3228,296,46.44,257654784
95,129,0,0,0,0,0,0,0,129,8850,8831,2001,27,0.38,250224640
96,0,129,129,0,0,0,0,129,0,8952,8805,1158,27,20.1,232017920
100,425,30,30,0,0,0,0,30,420,7721,6953,6874,771,15.24,275058688
101,279,229,234,0,0,0,0,234,488,7478,6565,8775,941,41.95,294342656
