second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,29,9,495,17,4.09,78278656
2,333,0,154,0,0,0,0,154,415,111,9,1214,118,2.14,88813568
3,76,0,212,0,0,0,0,212,491,1297,9,10159,1304,51.77,221052928
4,263,0,125,0,0,0,0,125,754,1345,9,11093,1352,35.09,266891264
5,334,0,130,0,0,0,0,130,1088,2183,9,18131,2294,31.35,356257792
6,82,0,294,0,0,0,0,294,1170,2613,9,23131,3053,59.31,436547584
7,413,0,47,0,0,0,0,47,1583,3683,9,29506,3715,45.63,508252160
8,3,0,184,0,0,0,0,184,1586,4425,9,34833,4457,46.93,590544896
9,31,0,174,0,0,0,0,174,1617,4626,9,37155,4668,36.98,609390592
10,0,0,131,0,0,0,0,131,0,4808,9,38573,4816,20.86,648310784
11,17,0,166,0,0,0,0,166,1634,4878,9,39431,4886,31.64,685735936
12,287,78,44,85,81,79,0,289,1912,5194,166,42401,5188,28.57,746307584
13,436,188,75,186,189,191,1,641,2091,0,0,0,0,0,0
14,0,226,31,220,221,221,0,693,0,5718,583,45418,5287,41.45,811253760
15,0,54,14,66,62,54,0,196,0,5875,993,44509,4968,25.47,805036032
16,227,91,186,97,89,94,0,466,1947,0,0,0,0,0,0
17,213,239,137,260,270,235,7,902,1952,6460,1488,43470,5302,41.94,846434304
18,473,136,67,120,118,148,0,453,2303,7133,1954,46505,5426,40.44,848297984
19,477,30,109,283,4,12,0,408,2705,8091,2079,52230,6237,41.33,917127168
20,0,326,39,84,355,331,2,809,0,8168,2653,50272,5576,43.75,935763968
21,297,140,63,216,101,117,16,497,2537,0,0,0,0,0,0
22,0,141,69,40,142,125,20,376,0,8560,2969,52599,5715,44.06,966479872
23,0,208,175,57,51,75,134,358,0,8675,3396,53621,5543,46.38,1014689792
24,15,353,52,52,58,58,290,220,2007,8558,3535,40079,5077,58.92,967532544
25,58,69,86,15,34,35,34,170,1838,8658,3734,40848,5038,36.17,966066176
26,160,326,231,171,169,167,161,738,1896,0,0,0,0,0,0
27,188,145,116,151,118,114,29,499,1732,8688,4146,37030,4537,44.65,942006272
28,314,108,116,68,107,109,0,400,1930,8939,4556,38583,4484,36.25,932315136
29,307,119,96,88,82,84,52,350,2196,9772,4820,39738,4908,41.73,939524096
30,79,57,4,60,39,31,9,134,2146,0,0,0,0,0,0
