second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,82,0,0,0,0,0,0,0,82,26,8,492,17,4.09,76238848
2,409,106,0,0,106,0,0,106,391,131,8,1348,127,2.53,88031232
3,0,270,0,0,274,0,0,274,0,1158,210,7161,877,46.32,169746432
4,263,118,0,0,114,0,0,114,263,1219,768,5051,375,67.52,188071936
5,363,164,0,0,166,0,0,166,541,1588,997,7471,548,32.59,193953792
6,166,96,0,0,96,0,0,96,572,2113,1312,8349,1007,48.94,231772160
7,26,203,0,0,202,0,0,202,525,2915,1567,11878,1500,53.89,276230144
8,237,305,0,0,306,0,0,306,352,3430,2536,7288,793,63.7,269840384
9,71,243,0,0,241,0,0,241,353,0,0,0,0,0,0
10,0,112,0,0,112,0,0,112,0,3346,3024,3879,243,63.54,255582208
11,97,0,0,0,0,0,0,0,97,3322,3242,3365,42,19.49,232951808
12,234,173,0,0,174,0,0,174,295,3450,3242,5334,297,4.58,240553984
13,409,222,0,0,221,0,0,221,450,4201,3668,4767,338,39.49,180785152
14,0,269,0,0,273,0,0,273,0,4895,4033,6744,882,50.95,206016512
15,23,76,0,0,72,0,0,72,23,4900,4722,1898,42,50.46,185868288
16,770,44,0,0,44,0,0,44,749,5212,4722,6338,649,8.64,206323712
17,245,219,0,0,225,0,0,225,992,6690,4808,16440,2138,40.87,293662720
18,318,123,0,0,117,0,0,117,970,7461,5273,16338,2089,47.13,316026880
19,46,245,0,0,249,0,0,249,995,7938,5644,19384,2199,42.25,351629312
20,77,334,0,0,345,0,0,345,768,8109,6335,15410,1655,50.22,350699520
21,208,179,0,0,163,0,2,163,631,8230,6846,16295,1483,47.52,363892736
22,15,275,0,0,278,0,0,278,352,8547,7415,16104,1061,46.79,362913792
23,0,282,0,0,278,0,0,278,0,8380,8122,3402,43,50.15,321609728
24,406,126,0,0,126,0,0,126,405,9054,8255,6440,828,31.46,249798656
25,0,251,0,0,266,0,0,266,0,9145,8832,4660,170,46.35,196063232
26,226,51,0,0,41,0,0,41,219,0,0,0,0,0,0
27,258,261,0,0,259,0,0,259,203,9568,9083,3909,474,24.82,201490432
28,207,168,0,0,165,0,0,165,256,10234,9640,4450,551,52.54,167878656
29,434,267,0,0,267,0,0,267,408,10694,10147,5684,487,40.23,194469888
30,320,155,0,0,155,0,0,155,701,11513,10497,9555,1306,45.61,228335616
31,15,174,0,0,178,0,0,178,503,12221,10776,12434,1378,42.28,271548416
32,408,329,0,0,325,0,0,325,493,11987,11388,5150,633,54.74,255983616
33,71,103,0,0,103,0,0,103,553,12431,11070,11004,1315,29.81,251293696
34,99,309,0,0,311,0,0,311,463,12192,11472,8321,734,53.97,270761984
35,238,308,0,0,315,0,0,315,325,0,0,0,0,0,0
36,854,143,0,0,136,0,0,136,892,12359,11866,9332,386,52.29,261472256
37,356,159,0,0,160,0,0,160,1122,13518,11841,13197,1688,41.93,261042176
38,213,169,0,0,172,0,0,172,1189,13832,11390,20805,2515,49.34,350334976
39,0,126,0,0,121,0,0,121,0,13962,11152,22536,2801,51.02,406855680
40,0,210,0,0,222,0,0,222,0,0,0,0,0,0,0
41,0,349,0,0,328,0,13,328,0,0,0,0,0,0,0
42,65,468,0,0,451,0,14,451,183,13089,12315,6349,452,55.68,373063680
43,0,45,0,0,43,0,0,43,0,12455,12363,4908,33,25.1,331276288
44,30,30,0,0,30,0,0,30,30,11824,11773,5199,33,5.63,328245248
48,466,0,0,0,5,0,0,5,466,11431,10949,5786,724,10.65,166567936
49,196,126,0,0,121,0,0,121,542,11809,10548,9621,1220,33.73,245399552
50,0,306,0,0,306,0,0,306,0,11402,10557,8911,692,52.02,244576256
51,35,265,0,0,265,0,0,265,118,0,0,0,0,0,0
52,83,83,0,0,83,0,0,83,83,10716,10647,864,30,38.09,221392896
53,399,94,0,0,94,0,0,94,398,10459,10356,1397,30,14.72,226942976
