second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,128,128,0,0,0,0,128,10,29,9,498,17,0,75952128
1,135,136,136,0,0,0,0,136,11,431,267,766,41,29.12,90873856
2,135,132,133,0,0,0,0,133,11,716,539,927,32,32.04,97603584
3,135,111,122,0,0,0,0,122,36,987,809,994,44,27.99,100065280
4,135,157,146,0,0,0,0,146,34,1249,1051,1375,81,31.4,105111552
5,135,137,136,0,0,0,0,136,13,1544,1351,1034,52,35.8,105308160
6,135,137,137,0,0,0,0,137,10,1809,1629,821,46,38.71,105955328
7,135,134,134,0,0,0,0,134,11,2081,1903,1105,48,31.87,108969984
8,135,135,135,0,0,0,0,135,10,2355,2177,913,43,30.85,108822528
9,135,137,137,0,0,0,0,137,10,2629,2451,890,46,19.29,108507136
10,135,134,134,0,0,0,0,134,12,2900,2723,1091,46,23.05,110432256
11,135,135,135,0,0,0,0,135,9,3172,2998,1019,45,19.64,106987520
12,135,134,134,0,0,0,0,134,10,3444,3272,820,45,19.05,105111552
13,135,136,136,0,0,0,0,136,9,3724,3546,947,42,21.1,105680896
14,135,135,135,0,0,0,0,135,9,3997,3820,887,46,18.43,104857600
15,135,135,135,0,0,0,0,135,10,4272,4094,813,43,22.61,104357888
16,135,135,135,0,0,0,0,135,10,4548,4372,990,42,21.6,105996288
17,135,135,136,0,0,0,0,136,12,4825,4646,767,46,21.99,104427520
18,135,136,135,0,0,0,0,135,9,5103,4926,985,43,23.15,105574400
19,135,136,136,0,0,0,0,136,9,5379,5200,913,42,21.93,104394752
20,135,134,134,0,0,0,0,134,10,5655,5479,1095,42,20.93,105869312
21,135,134,134,0,0,0,0,134,9,5933,5753,963,44,21.49,105222144
22,135,136,136,0,0,0,0,136,9,6212,6034,885,42,21.98,104210432
23,135,134,134,0,0,0,0,134,9,6490,6310,825,50,21.39,103100416
24,135,135,135,0,0,0,0,135,10,6767,6592,1057,41,22.26,105246720
25,135,135,135,0,0,0,0,135,9,7048,6870,840,33,21.18,103235584
26,135,136,136,0,0,0,0,136,10,7327,7152,719,39,19.96,102150144
27,135,135,135,0,0,0,0,135,9,7608,7432,916,36,19.83,103895040
28,135,135,135,0,0,0,0,135,9,7886,7708,773,36,20.37,102432768
29,135,133,133,0,0,0,0,133,10,8162,7986,932,35,20.94,108343296
30,135,138,138,0,0,0,0,138,9,8251,8074,809,32,23.08,107859968
31,135,132,132,0,0,0,0,132,10,8258,8083,764,35,20.07,107175936
32,135,137,137,0,0,0,0,137,9,8271,8094,904,34,21,108404736
33,135,135,135,0,0,0,0,135,10,8018,7844,749,35,23.18,106668032
34,135,134,135,0,0,0,0,135,9,8023,7849,956,31,18.62,108036096
35,135,136,136,0,0,0,0,136,9,8036,7856,742,32,20.25,106508288
36,135,135,134,0,0,0,0,134,10,8046,7866,663,32,21.86,106258432
37,135,134,134,0,0,0,0,134,9,8060,7882,826,33,20.9,106934272
38,135,135,135,0,0,0,0,135,10,8073,7895,775,33,19.31,106516480
39,135,137,137,0,0,0,0,137,11,0,0,0,0,0,0
40,135,134,134,0,0,0,0,134,10,8081,7904,711,37,20.67,105906176
41,135,123,127,0,0,0,0,127,18,8095,7917,955,34,20.16,103768064
42,135,147,143,0,0,0,0,143,17,8092,7916,972,41,23.88,104501248
43,135,135,135,0,0,0,0,135,10,8118,7941,804,37,20.5,102416384
44,135,136,136,0,0,0,0,136,9,8123,7950,689,36,19.16,101715968
45,135,134,134,0,0,0,0,134,9,8136,7958,950,33,20.53,104206336
46,135,134,134,0,0,0,0,134,11,8146,7971,837,33,23.01,102825984
47,135,136,136,0,0,0,0,136,9,8164,7988,1003,33,21.9,107520000
48,135,136,136,0,0,0,0,136,9,8170,7993,863,34,16.39,107491328
49,135,133,133,0,0,0,0,133,9,8182,8006,650,31,21.13,106188800
50,135,135,135,0,0,0,0,135,9,8189,8014,1006,39,15.57,108335104
51,135,137,137,0,0,0,0,137,9,8202,8028,802,30,20.15,107458560
52,135,133,134,0,0,0,0,134,9,8213,8036,793,30,19.74,108855296
53,135,134,133,0,0,0,0,133,9,8223,8048,694,35,20.62,102207488
54,135,136,136,0,0,0,0,136,12,8236,8060,1022,29,21.77,104677376
55,135,137,137,0,0,0,0,137,10,8247,8068,849,37,18.9,107925504
56,135,133,134,0,0,0,0,134,9,8258,8084,665,35,23.09,109395968
57,135,137,136,0,0,0,0,136,9,8273,8095,892,32,20.65,107921408
58,135,134,134,0,0,0,0,134,9,8011,7835,764,31,21.23,106831872
59,135,135,135,0,0,0,0,135,9,8020,7846,989,32,17.9,108924928
60,135,135,135,0,0,0,0,135,9,8029,7852,787,29,19.18,107978752
61,135,136,136,0,0,0,0,136,9,8036,7862,660,32,17.89,107261952
62,135,134,134,0,0,0,0,134,10,8049,7872,864,29,19.75,104525824
63,135,135,135,0,0,0,0,135,9,8058,7882,746,30,21.3,103608320
64,135,136,136,0,0,0,0,136,9,8071,7896,649,30,19.47,103190528
65,135,135,135,0,0,0,0,135,9,0,0,0,0,0,0
66,135,133,133,0,0,0,0,133,10,8081,7904,901,33,23.9,104124416
67,135,135,135,0,0,0,0,135,9,8092,7913,729,36,20.62,102735872
68,135,136,136,0,0,0,0,136,9,8096,7922,942,32,21.26,104366080
69,135,135,135,0,0,0,0,135,9,8111,7937,856,34,20.7,103591936
70,135,136,136,0,0,0,0,136,11,8121,7951,972,31,17.9,104398848
71,135,134,134,0,0,0,0,134,10,8133,7960,889,31,19.49,103972864
