second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,129,129,0,0,0,0,129,14,8099,7947,606,28,41.04,116473856
1,136,135,136,0,0,0,0,136,11,8114,7947,730,36,24.42,116858880
2,134,134,133,0,0,0,0,133,15,8133,7961,918,31,21.67,120709120
3,135,135,135,0,0,0,0,135,9,8146,7971,849,33,21.75,119341056
4,136,136,136,0,0,0,0,136,10,8154,7981,746,33,18.27,119328768
5,135,136,136,0,0,0,0,136,10,8170,7997,844,32,20.68,117227520
6,135,134,134,0,0,0,0,134,9,8179,8003,674,31,21.66,117047296
7,134,135,135,0,0,0,0,135,9,8192,8017,873,32,19.78,116998144
8,136,136,136,0,0,0,0,136,9,8203,8027,818,30,20.33,117055488
9,135,133,135,0,0,0,0,135,9,8213,8040,707,35,20.09,117231616
10,134,137,135,0,0,0,0,135,9,8220,8047,841,32,20.84,117051392
11,136,134,134,0,0,0,0,134,10,8233,8060,840,31,18.15,116936704
12,134,136,136,0,0,0,0,136,10,7974,7800,871,33,17.5,114036736
13,136,134,134,0,0,0,0,134,9,7991,7816,856,33,22.43,112832512
14,134,135,135,0,0,0,0,135,10,7994,7819,732,33,18.97,112857088
15,135,134,135,0,0,0,0,135,9,8005,7833,839,32,21.82,114061312
16,136,137,136,0,0,0,0,136,11,8015,7839,729,32,23.55,114167808
17,134,134,134,0,0,0,0,134,12,8024,7851,794,28,19.21,115122176
18,136,135,135,0,0,0,0,135,10,8036,7862,694,33,22.63,115154944
19,134,134,134,0,0,0,0,134,13,8051,7879,843,30,20.73,114941952
20,136,136,136,0,0,0,0,136,9,8056,7883,877,35,21.62,115122176
21,135,134,134,0,0,0,0,134,9,8066,7893,864,35,20.12,115007488
22,134,137,137,0,0,0,0,137,9,8079,7906,815,30,22.9,114950144
23,135,135,135,0,0,0,0,135,9,8091,7916,851,32,17.25,115036160
24,136,135,135,0,0,0,0,135,9,8101,7927,840,32,19.14,115023872
25,135,134,134,0,0,0,0,134,9,8111,7937,647,32,21.63,115040256
26,134,134,134,0,0,0,0,134,16,0,0,0,0,0,0
27,136,136,136,0,0,0,0,136,9,8120,7945,847,32,21.73,115003392
28,135,135,135,0,0,0,0,135,10,8137,7962,842,29,21.43,115011584
29,135,136,136,0,0,0,0,136,9,8144,7971,710,33,22.74,115417088
30,135,134,134,0,0,0,0,134,9,8186,8011,860,32,24.02,115412992
31,134,134,134,0,0,0,0,134,9,8197,8023,840,35,18.17,111083520
32,136,136,136,0,0,0,0,136,11,8219,8047,654,33,19.39,112390144
33,135,134,134,0,0,0,0,134,11,8215,8042,883,33,19.93,110784512
34,135,136,136,0,0,0,0,136,10,8232,8060,703,32,21.5,109887488
35,135,135,135,0,0,0,0,135,10,8243,8068,928,33,20.95,109092864
36,134,135,135,0,0,0,0,135,9,8254,8081,796,30,23.69,108527616
37,136,133,133,0,0,0,0,133,10,8264,8086,709,34,17.09,107569152
38,134,137,137,0,0,0,0,137,9,8004,7832,927,33,23.31,109490176
39,136,135,135,0,0,0,0,135,9,8013,7840,938,32,21.87,109338624
40,134,135,135,0,0,0,0,135,9,8024,7852,778,38,20.37,108277760
41,135,136,136,0,0,0,0,136,10,8036,7862,739,32,21.65,107802624
42,135,134,134,0,0,0,0,134,10,8047,7873,655,29,19.77,107401216
43,135,134,134,0,0,0,0,134,9,8056,7882,856,32,23.82,108859392
44,135,135,135,0,0,0,0,135,9,8066,7892,802,30,21.25,108572672
45,136,136,136,0,0,0,0,136,10,8077,7902,646,27,21.05,107380736
46,135,135,135,0,0,0,0,135,10,8089,7914,931,34,21.61,109170688
47,135,135,135,0,0,0,0,135,8,8095,7924,704,34,22.53,111738880
