second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,129,0,0,129,0,0,129,10,29,8,494,17,0,73203712
1,135,135,0,0,135,0,0,135,10,431,268,1313,36,30.86,100442112
2,135,135,0,0,135,0,0,135,10,715,536,1240,33,31.31,108773376
3,135,135,0,0,135,0,0,135,9,987,809,1142,38,26.56,112005120
4,135,134,0,0,134,0,0,134,10,1258,1081,1014,35,24.63,113451008
5,135,135,0,0,135,0,0,135,15,1530,1351,905,35,35.82,116310016
6,135,133,0,0,133,0,0,133,10,1803,1623,956,45,34.93,118988800
7,135,137,0,0,137,0,0,137,10,2077,1894,1350,40,31.71,120512512
8,135,135,0,0,135,0,0,135,13,2351,2172,1334,39,28.18,121249792
9,135,136,0,0,136,0,0,136,10,2619,2444,1266,43,17.6,121475072
10,135,135,0,0,135,0,0,135,10,2895,2716,1237,39,21.8,121442304
11,135,135,0,0,135,0,0,135,9,3169,2992,1138,39,18.66,119058432
12,135,134,0,0,135,0,0,135,10,3442,3266,1062,42,21.36,119279616
13,135,136,0,0,135,0,0,135,9,3717,3538,751,40,19.95,117944320
14,135,135,0,0,135,0,0,135,10,3989,3812,784,43,15.47,117190656
15,135,134,0,0,134,0,0,134,10,4269,4090,1335,40,22,117932032
16,135,136,0,0,136,0,0,136,10,4545,4368,1256,42,19.15,118562816
17,135,136,0,0,136,0,0,136,9,4819,4644,1239,39,17.97,118792192
18,135,134,0,0,134,0,0,134,10,5094,4916,1170,39,18.88,118095872
19,135,135,0,0,135,0,0,135,10,5372,5195,1102,41,15.05,117972992
20,135,134,0,0,135,0,0,135,11,5649,5472,969,39,19.09,118136832
21,135,135,0,0,134,0,0,134,9,5926,5746,956,35,20.54,117665792
22,135,134,0,0,134,0,0,134,9,6201,6026,892,34,17.25,117682176
23,135,136,0,0,136,0,0,136,10,6479,6306,869,39,18.78,117829632
24,135,134,0,0,134,0,0,134,10,6757,6581,823,41,22.3,118009856
25,135,136,0,0,136,0,0,136,10,7039,6862,765,40,19.5,118198272
26,135,136,0,0,136,0,0,136,9,7320,7143,682,38,18.42,118542336
27,135,134,0,0,134,0,0,134,10,7601,7424,1342,36,17.9,119300096
28,135,136,0,0,136,0,0,136,10,7883,7701,1430,36,18.86,119468032
29,135,135,0,0,135,0,0,135,10,8153,7978,1488,38,16.93,119877632
30,135,134,0,0,134,0,0,134,10,8015,7838,1428,34,22.4,119816192
31,135,135,0,0,135,0,0,135,11,8026,7847,1414,37,20.13,120193024
32,135,136,0,0,136,0,0,136,10,8034,7857,1457,32,18.39,120475648
33,135,135,0,0,135,0,0,135,9,8042,7865,1457,34,19.92,120602624
34,135,134,0,0,135,0,0,135,9,8054,7877,1106,41,18.12,119947264
35,135,136,0,0,135,0,0,135,9,8067,7890,1091,33,18.44,119758848
36,135,135,0,0,135,0,0,135,10,8081,7902,1022,35,17.46,119898112
37,135,135,0,0,136,0,0,136,10,8087,7910,1127,35,19.52,120090624
38,135,135,0,0,134,0,0,134,11,8097,7917,1095,36,19.54,119992320
39,135,134,0,0,134,0,0,134,9,8112,7928,1069,38,21.04,119926784
40,135,135,0,0,135,0,0,135,9,0,0,0,0,0,0
41,135,136,0,0,136,0,0,136,10,8120,7940,905,38,21.42,118845440
42,135,133,0,0,133,0,0,133,15,8128,7948,877,36,21.18,118599680
43,135,137,0,0,137,0,0,137,11,8138,7964,944,33,21.72,119070720
44,135,135,0,0,135,0,0,135,9,8150,7968,896,35,23.48,119173120
45,135,135,0,0,135,0,0,135,10,8162,7985,879,36,20.73,119205888
46,135,135,0,0,135,0,0,135,11,8166,7989,720,36,18.69,120795136
47,135,133,0,0,133,0,0,133,10,8180,8001,822,33,23.35,124870656
48,135,137,0,0,137,0,0,137,10,8188,8011,680,35,22.07,121483264
49,135,134,0,0,134,0,0,134,10,8199,8021,707,43,18.99,121880576
50,135,136,0,0,136,0,0,136,10,8211,8029,1413,35,18.96,121688064
51,135,134,0,0,134,0,0,134,11,8221,8043,1273,32,22.38,121851904
52,135,134,0,0,136,0,0,136,9,8236,8053,1280,35,18.62,121675776
53,135,137,0,0,135,0,0,135,11,8243,8065,1371,39,19.21,121958400
54,135,135,0,0,135,0,0,135,9,8253,8073,1190,33,21.49,121688064
55,135,134,0,0,134,0,0,134,9,8264,8085,1194,37,21.2,121991168
56,135,136,0,0,136,0,0,136,11,8277,8098,1309,41,18.6,122175488
57,135,134,0,0,134,0,0,134,10,8016,7838,1132,33,21.21,121659392
58,135,136,0,0,136,0,0,136,11,8027,7848,1147,31,16.74,121618432
59,135,135,0,0,135,0,0,135,11,8036,7858,1056,33,20.11,121610240
60,135,135,0,0,135,0,0,135,9,8048,7871,1035,34,20.86,122585088
61,135,134,0,0,134,0,0,134,9,8058,7878,1081,39,18.91,122806272
62,135,136,0,0,136,0,0,136,9,8068,7890,951,36,18.6,122732544
63,135,135,0,0,135,0,0,135,11,8078,7902,780,33,20.14,118083584
64,135,134,0,0,134,0,0,134,10,8094,7914,820,33,21.88,118263808
65,135,135,0,0,135,0,0,135,9,8099,7921,834,37,17.01,119033856
66,135,134,0,0,134,0,0,134,10,8112,7931,699,39,18.91,119152640
67,135,136,0,0,136,0,0,136,10,0,0,0,0,0,0
68,135,136,0,0,136,0,0,136,10,8127,7948,1348,36,18.66,118730752
69,135,135,0,0,135,0,0,135,9,8132,7955,1299,35,21.62,118661120
70,135,134,0,0,134,0,0,134,9,8144,7968,1070,34,17.86,119500800
71,135,136,0,0,136,0,0,136,10,8152,7978,1102,31,19.03,119656448
72,135,135,0,0,135,0,0,135,10,8162,7988,1086,37,19.39,119812096
73,135,135,0,0,135,0,0,135,10,8173,7999,950,34,22.08,120143872
74,135,133,0,0,133,0,0,133,11,8186,8011,1026,31,22.48,120315904
75,135,137,0,0,137,0,0,137,10,8197,8021,949,33,15.75,123748352
76,135,135,0,0,135,0,0,135,9,8212,8037,831,32,19.01,123031552
77,135,134,0,0,134,0,0,134,10,8219,8043,825,33,20.88,123301888
78,135,136,0,0,136,0,0,136,9,8232,8054,960,38,20.31,123580416
79,135,133,0,0,133,0,0,133,10,8238,8063,752,32,19.05,123101184
80,135,136,0,0,136,0,0,136,10,8247,8069,713,35,18.74,123437056
81,135,135,0,0,135,0,0,135,10,8262,8089,809,32,23.37,123600896
82,135,136,0,0,136,0,0,136,10,8270,8096,673,35,18.53,123383808
83,135,134,0,0,134,0,0,134,9,8013,7836,712,33,19.47,123392000
84,135,136,0,0,136,0,0,136,11,8023,7851,1318,35,18.68,116387840
85,135,135,0,0,135,0,0,135,9,8037,7861,1422,33,17.87,113500160
86,135,135,0,0,135,0,0,135,11,8046,7867,1383,30,18.95,116994048
87,135,135,0,0,135,0,0,135,10,8056,7879,1347,30,22.1,117350400
88,135,134,0,0,134,0,0,134,10,8066,7888,1295,30,19.96,118333440
89,135,136,0,0,136,0,0,136,11,8077,7904,1142,40,20.57,119316480
90,135,135,0,0,135,0,0,135,9,8091,7913,862,36,22.3,119533568
91,135,135,0,0,135,0,0,135,10,8102,7923,973,38,19.75,119885824
92,135,134,0,0,134,0,0,134,11,8111,7937,912,36,20.91,119967744
93,135,134,0,0,134,0,0,134,10,8121,7943,912,35,22.91,119943168
94,135,137,0,0,137,0,0,137,10,0,0,0,0,0,0
95,135,135,0,0,135,0,0,135,10,8134,7958,874,38,19.4,119955456
96,135,135,0,0,135,0,0,135,11,8142,7966,835,37,21.04,119902208
97,135,133,0,0,133,0,0,133,9,8149,7975,784,33,19.45,119717888
98,135,136,0,0,136,0,0,136,11,8165,7989,736,35,21.95,119492608
99,135,134,0,0,135,0,0,135,11,8176,8001,1311,34,23.97,120430592
100,135,135,0,0,134,0,0,134,11,8190,8012,1436,44,18.19,124268544
101,135,135,0,0,135,0,0,135,10,8198,8024,1317,32,18.93,124567552
102,135,137,0,0,137,0,0,137,11,8210,8035,1217,35,20.11,123301888
