second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,129,0,0,129,0,0,129,10,8143,7991,845,30,11.04,130830336
1,135,136,0,0,136,0,0,136,10,8161,7994,852,34,23.84,133603328
2,135,133,0,0,133,0,0,133,10,8184,8008,805,34,21.08,133627904
3,135,135,0,0,135,0,0,135,12,8196,8016,719,38,19.27,131645440
4,136,135,0,0,135,0,0,135,9,8208,8034,809,31,19.19,131567616
5,135,135,0,0,135,0,0,135,11,8226,8050,652,33,18.91,127463424
6,135,136,0,0,136,0,0,136,10,8235,8060,1281,28,18.45,130719744
7,134,135,0,0,135,0,0,135,10,8242,8066,1419,32,17.91,131772416
8,136,135,0,0,135,0,0,135,10,7982,7807,1241,32,21.28,126742528
9,134,133,0,0,133,0,0,133,12,7990,7816,1180,28,19.42,130301952
10,135,135,0,0,135,0,0,135,9,8004,7829,1236,35,19.58,130940928
11,135,130,0,0,130,0,0,130,13,8010,7836,1185,32,18.62,130990080
12,136,140,0,0,140,0,0,140,16,8020,7848,1146,33,22.85,130973696
13,134,136,0,0,136,0,0,136,9,8028,7853,1077,30,16.18,130924544
14,136,135,0,0,135,0,0,135,10,8038,7863,806,34,20.28,123895808
15,135,136,0,0,136,0,0,136,9,8048,7875,789,36,20.84,124350464
16,135,135,0,0,135,0,0,135,12,8052,7882,925,40,19.63,125378560
17,134,134,0,0,134,0,0,134,11,8072,7898,863,33,15.75,125349888
18,135,136,0,0,136,0,0,136,10,8082,7908,830,31,18.78,126992384
19,136,136,0,0,136,0,0,136,10,8089,7914,677,31,18.88,126914560
20,134,134,0,0,134,0,0,134,13,8103,7932,1179,36,20.36,126947328
21,136,135,0,0,135,0,0,135,10,8110,7938,1188,32,18.52,126943232
22,135,135,0,0,135,0,0,135,10,8121,7944,1180,36,19.46,126992384
23,135,135,0,0,135,0,0,135,11,8127,7954,1112,32,24.23,126959616
24,134,133,0,0,133,0,0,133,9,8138,7966,1039,31,18.16,126840832
25,135,138,0,0,138,0,0,138,10,8150,7976,1032,32,16.78,126857216
26,136,133,0,0,134,0,0,134,9,0,0,0,0,0,0
27,135,136,0,0,135,0,0,135,11,8161,7986,1077,32,18.85,126910464
28,134,134,0,0,134,0,0,134,11,8165,7992,954,29,19.21,127000576
29,135,134,0,0,134,0,0,134,10,8181,8006,855,32,21.06,127713280
30,135,136,0,0,138,0,0,138,11,8224,8045,927,28,17.48,131760128
31,135,136,0,0,134,0,0,134,9,8233,8055,858,35,22.46,131919872
32,135,134,0,0,134,0,0,134,10,8241,8064,768,39,24.53,130973696
33,135,136,0,0,136,0,0,136,10,8248,8077,717,33,20.75,130789376
34,135,134,0,0,135,0,0,135,10,8260,8087,820,33,22.04,130981888
35,136,136,0,0,135,0,0,135,10,8274,8099,672,33,20.26,130883584
36,134,136,0,0,136,0,0,136,9,8018,7844,666,36,21.09,130912256
37,135,134,0,0,134,0,0,134,11,8023,7852,1379,32,20.18,130752512
38,135,136,0,0,136,0,0,136,10,8029,7856,1342,34,23.03,130895872
39,135,134,0,0,134,0,0,134,10,8040,7866,1307,32,19.79,130826240
40,135,135,0,0,135,0,0,135,9,8052,7880,1249,31,20.9,130822144
41,136,134,0,0,134,0,0,134,10,8058,7884,1234,35,19.61,131010560
42,135,136,0,0,136,0,0,136,12,8068,7898,1121,30,19.57,126386176
43,134,135,0,0,135,0,0,135,10,8080,7909,1205,33,18.83,126545920
44,136,135,0,0,135,0,0,135,10,8091,7918,1196,38,22.22,126799872
45,134,136,0,0,136,0,0,136,10,8100,7927,1109,33,17.68,126578688
46,135,134,0,0,135,0,0,135,10,8110,7938,1042,32,19.79,126513152
47,135,133,0,0,132,0,0,132,10,8120,7947,1032,32,19.91,126525440
48,136,137,0,0,137,0,0,137,10,8130,7953,789,39,20.55,119791616
49,134,134,0,0,134,0,0,134,9,8144,7967,711,26,17.97,116547584
50,135,135,0,0,135,0,0,135,10,8153,7977,679,33,22.02,123260928
51,136,136,0,0,136,0,0,136,17,8170,7995,669,30,22.72,123281408
52,135,135,0,0,135,0,0,135,10,8180,8005,762,38,20.47,124207104
53,134,135,0,0,135,0,0,135,10,0,0,0,0,0,0
54,136,135,0,0,135,0,0,135,11,8192,8019,1492,37,21.96,127553536
55,135,134,0,0,134,0,0,134,10,8200,8026,1294,34,21.84,123805696
56,134,136,0,0,136,0,0,136,9,8210,8037,1239,31,18.86,125288448
57,136,135,0,0,135,0,0,135,11,8227,8052,1359,37,22.14,125353984
58,134,134,0,0,134,0,0,134,9,8233,8059,1238,33,23.57,126824448
59,135,136,0,0,136,0,0,136,10,8243,8069,1137,33,19.41,126640128
60,136,136,0,0,136,0,0,136,10,8251,8079,1101,33,17.5,126713856
61,135,134,0,0,134,0,0,134,10,8261,8090,1177,31,20.02,126627840
62,134,136,0,0,136,0,0,136,9,8042,7870,1014,33,21.46,126681088
63,135,133,0,0,133,0,0,133,10,8013,7838,1023,29,19.22,126623744
64,136,136,0,0,136,0,0,136,11,8020,7850,1071,35,20,126885888
65,135,135,0,0,135,0,0,135,9,8033,7859,1023,33,16.35,126873600
66,135,135,0,0,135,0,0,135,9,8040,7867,978,33,20.62,126873600
67,135,136,0,0,136,0,0,136,11,8051,7880,933,33,20.72,126697472
68,135,135,0,0,135,0,0,135,9,8068,7895,803,36,18.83,124178432
69,134,134,0,0,134,0,0,134,11,8072,7902,806,33,22.63,124133376
70,135,134,0,0,134,0,0,134,12,8084,7911,866,29,21.32,124043264
71,136,137,0,0,137,0,0,137,9,8098,7925,877,33,17.07,124121088
72,135,134,0,0,134,0,0,134,10,8106,7935,747,31,21.82,124600320
73,135,136,0,0,136,0,0,136,10,8116,7942,746,33,21.47,124747776
74,135,134,0,0,134,0,0,134,10,8122,7952,1401,34,21.13,124567552
75,134,136,0,0,136,0,0,136,9,8137,7964,1266,32,18.11,124506112
76,136,133,0,0,133,0,0,133,9,8151,7976,1312,33,17.79,124702720
77,134,136,0,0,136,0,0,136,9,8161,7988,1208,32,24.78,124579840
78,136,135,0,0,135,0,0,135,11,8169,7994,1251,35,17.95,124682240
79,135,134,0,0,134,0,0,134,11,8177,8006,1125,33,20.97,125493248
80,135,137,0,0,137,0,0,137,10,0,0,0,0,0,0
81,134,135,0,0,135,0,0,135,10,8188,8014,1224,32,19.24,125583360
82,136,132,0,0,132,0,0,132,9,8197,8022,1116,32,20.93,127012864
83,134,136,0,0,136,0,0,136,10,8205,8035,1008,32,17.92,126939136
84,135,136,0,0,136,0,0,136,10,8217,8041,952,33,19.2,127115264
85,136,134,0,0,134,0,0,134,10,8225,8054,1071,32,19.92,127078400
86,134,136,0,0,136,0,0,136,10,8239,8065,878,30,21.39,126894080
87,136,135,0,0,135,0,0,135,15,8252,8074,868,36,20.48,127000576
88,134,135,0,0,135,0,0,135,10,8265,8091,1022,35,21.03,126984192
89,136,135,0,0,135,0,0,135,10,8275,8099,802,36,19.57,127090688
90,134,133,0,0,133,0,0,133,10,8014,7839,763,32,22.14,126849024
91,135,138,0,0,138,0,0,138,10,8023,7848,872,33,19.46,126885888
92,135,134,0,0,134,0,0,134,10,8027,7857,845,32,19.37,126816256
93,135,134,0,0,134,0,0,134,9,8039,7869,807,34,18.43,127012864
94,135,136,0,0,136,0,0,136,9,8052,7878,796,30,20.85,126898176
95,136,134,0,0,134,0,0,134,10,8065,7893,949,37,19.79,127262720
96,134,135,0,0,135,0,0,135,10,8076,7905,1332,33,17.77,127016960
97,136,135,0,0,135,0,0,135,10,8086,7914,1284,32,20.83,126906368
98,135,135,0,0,135,0,0,135,10,8101,7928,1404,34,21.77,127102976
99,135,136,0,0,136,0,0,136,9,8111,7937,1349,35,21.78,127062016
100,134,135,0,0,135,0,0,135,11,8122,7949,1256,28,17.51,126869504
