second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,35,0,5,0,0,0,0,5,35,3490,3472,320,16,4.05,72802304
2,345,300,308,0,0,0,0,308,129,3050,2949,934,95,8,82657280
3,111,191,178,0,0,0,0,178,75,3717,3276,1140,135,76.25,108548096
4,202,47,47,0,0,0,0,47,155,3449,3317,759,33,28.38,105558016
5,168,307,308,0,0,0,0,308,216,3700,3201,3689,607,30.47,133689344
6,350,333,337,0,0,0,0,337,99,3888,3644,1182,129,65.45,111607808
7,235,268,263,0,0,0,0,263,37,4500,4091,573,39,69.7,115859456
8,140,140,140,0,0,0,0,140,43,4544,4250,913,125,29.35,114995200
9,31,31,31,0,0,0,0,31,31,4354,4210,613,33,14.79,110415872
12,275,261,262,0,0,0,0,262,49,3519,3502,677,33,0.19,110116864
13,347,344,344,0,0,0,0,344,46,4251,3868,932,99,47.74,104550400
14,118,135,134,0,0,0,0,134,44,5173,4711,492,33,59.13,103677952
16,277,255,260,0,0,0,0,260,44,4728,4711,493,33,0.19,102793216
17,548,350,345,0,0,0,0,345,319,6367,5452,4456,778,65.05,146649088
18,273,393,398,0,0,0,0,398,458,7062,6224,5963,987,60.29,170205184
19,352,413,409,0,0,0,0,409,259,7625,7201,2683,326,63.36,146833408
20,237,276,275,0,0,0,0,275,39,8426,8085,756,32,51.12,115048448
22,15,11,11,0,0,0,0,11,15,8101,8085,754,31,0.38,114712576
23,0,4,4,0,0,0,0,4,0,8146,8115,491,31,3.42,115691520
24,406,262,272,0,0,0,0,272,183,8793,8531,1059,124,33.13,116469760
25,0,144,134,0,0,0,0,134,0,9135,8924,707,31,25.85,119750656
26,201,87,87,0,0,0,0,87,151,9180,9022,2651,416,10.45,129187840
27,376,469,475,0,0,0,0,475,116,10499,9993,1053,107,70.05,115265536
28,114,135,129,0,0,0,0,129,32,10467,10296,535,28,19.13,111730688
29,398,195,196,0,0,0,0,196,320,0,0,0,0,0,0
30,310,492,496,0,0,0,0,496,204,11419,10692,3854,566,46.15,141918208
31,46,67,62,0,0,0,0,62,30,12170,11798,628,28,65.55,109309952
32,470,454,454,0,0,0,0,454,58,11659,11494,972,95,12.03,109961216
33,13,29,29,0,0,0,0,29,18,12192,11780,402,28,51.05,104480768
34,340,338,338,0,0,0,0,338,42,11886,11820,836,109,6.88,106848256
35,265,187,193,0,0,0,0,193,109,12262,11923,388,27,44.46,104779776
36,489,337,335,0,0,0,0,335,418,12980,11852,6864,1208,55.53,164212736
37,401,394,393,0,0,0,0,393,258,0,0,0,0,0,0
38,276,447,454,0,0,0,0,454,240,12935,12249,4204,619,60.98,153227264
39,0,68,58,0,0,0,0,58,0,13322,13073,715,27,54.64,118710272
41,65,65,65,0,0,0,0,65,34,13090,13073,713,26,0.56,118591488
43,30,30,30,0,0,0,0,30,30,12298,12281,627,25,0.94,117551104
47,27,0,0,0,0,0,0,0,27,10801,10784,379,24,0.57,116699136
48,439,392,393,0,0,0,0,393,442,0,0,0,0,0,0
