second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
1,53,5,11,0,0,0,0,11,53,9641,9625,384,24,1.13,190144512
2,410,445,440,0,0,0,0,440,107,9423,9311,490,24,14.03,155484160
3,28,41,40,0,0,0,0,40,30,10143,9697,382,24,55.95,146677760
4,129,111,111,0,0,0,0,111,27,9713,9697,379,23,1.32,145489920
5,616,437,437,0,0,0,0,437,197,10428,10148,847,68,33.8,142147584
6,144,328,328,0,0,0,0,328,238,11728,11022,1929,303,66.07,156971008
7,206,219,219,0,0,0,0,219,78,11119,10934,438,23,34.47,147886080
8,31,31,31,0,0,0,0,31,20,10926,10770,811,23,20,151580672
11,72,44,46,0,0,0,0,46,30,9575,9559,641,23,0.38,148922368
12,346,355,355,0,0,0,0,355,32,10457,10146,780,23,42.26,143896576
13,322,341,339,0,0,0,0,339,31,10629,10192,600,57,59.17,139911168
15,64,44,45,0,0,0,0,45,25,10292,10276,453,23,0.38,139304960
16,565,360,360,0,0,0,0,360,366,11768,10850,5304,856,48.69,180256768
17,462,342,347,0,0,0,0,347,466,12263,11355,6690,1071,60.8,195952640
18,166,483,483,0,0,0,0,483,85,12262,12051,1006,65,63.2,146223104
19,355,360,355,0,0,0,0,355,33,0,0,0,0,0,0
20,75,98,97,0,0,0,0,97,32,13280,12861,943,66,55.38,146505728
22,15,15,15,0,0,0,0,15,15,12992,12977,676,22,0.56,145530880
23,37,17,23,0,0,0,0,23,30,12283,12254,515,22,2.8,145539072
24,369,389,383,0,0,0,0,383,33,12145,11930,615,57,26.69,138825728
26,312,294,296,0,0,0,0,296,37,11388,11321,948,58,6.55,138838016
27,309,327,325,0,0,0,0,325,157,12264,11729,911,22,67.55,151109632
28,100,86,89,0,0,0,0,89,31,11116,11031,568,22,9.81,141717504
29,466,456,453,0,0,0,0,453,128,11539,11022,1920,197,56.3,146550784
30,258,279,279,0,0,0,0,279,29,12160,11801,748,27,51.75,140902400
31,374,189,189,0,0,0,0,189,232,12504,11915,3766,633,27.96,162451456
32,109,296,296,0,0,0,0,296,191,11935,11789,408,23,43.49,147333120
33,156,131,132,0,0,0,0,132,29,0,0,0,0,0,0
34,234,232,232,0,0,0,0,232,33,12285,12078,695,83,24.15,140963840
35,521,351,350,0,0,0,0,350,264,12518,12185,943,100,37.08,142155776
36,571,269,271,0,0,0,0,271,500,13163,11998,6646,1141,52.55,178618368
37,271,396,403,0,0,0,0,403,536,0,0,0,0,0,0
38,18,393,384,0,0,0,0,384,83,13476,12754,5271,397,62.43,189329408
41,65,65,65,0,0,0,0,65,24,12803,12788,559,22,0.56,157859840
43,30,30,30,0,0,0,0,30,30,11839,11794,441,22,4.52,140316672
47,100,87,87,0,0,0,0,87,33,10273,10190,785,78,4.06,141295616
48,434,425,425,0,0,0,0,425,31,10528,10044,948,67,59.47,140935168
49,128,150,150,0,0,0,0,150,28,9953,9742,710,22,24.53,136278016
50,35,35,35,0,0,0,0,35,28,9855,9805,709,22,4.91,133480448
51,83,83,83,0,0,0,0,83,23,0,0,0,0,0,0
52,297,281,281,0,0,0,0,281,26,10069,9971,770,21,12.27,133476352
53,236,240,241,0,0,0,0,241,37,10920,10555,735,63,44.12,134389760
54,399,394,395,0,0,0,0,395,31,11145,10826,773,60,37.55,135008256
55,199,184,184,0,0,0,0,184,32,11616,11138,539,53,58.13,135806976
56,435,402,400,0,0,0,0,400,151,11161,10702,2747,401,30.69,151871488
57,311,376,376,0,0,0,0,376,87,11662,11157,1795,194,58.46,149221376
