second,conn_created,conn_closed,find_input_ops,remove_ops,insert_ops,find_output_ops,failed_ops,combined_ops,in_flight_tasks,ephemeral_ports,time_wait,handles,threads,cpu_pct,working_set_bytes
0,135,133,134,0,0,0,0,134,5,2998,2820,377,27,19.39,70074368
1,135,134,133,0,0,0,0,133,6,3671,3356,553,23,27.24,81469440
2,135,136,136,0,0,0,0,136,4,4222,3892,436,27,27.36,83480576
3,135,135,135,0,0,0,0,135,5,4758,4431,454,30,19.87,86138880
4,135,135,135,0,0,0,0,135,5,5302,4978,646,28,28.92,90509312
5,135,135,135,0,0,0,0,135,5,5844,5519,456,28,27.86,89903104
6,135,136,136,0,0,0,0,136,5,6383,6054,685,27,28.57,93270016
7,135,134,134,0,0,0,0,134,5,6925,6601,592,25,32.09,94343168
8,135,134,135,0,0,0,0,135,4,7476,7145,520,24,21.06,94052352
9,135,137,136,0,0,0,0,136,4,8006,7681,462,24,15.63,94007296
10,135,135,135,0,0,0,0,135,5,8557,8230,404,28,18.42,94183424
11,135,134,134,0,0,0,0,134,5,9098,8770,394,27,15,96280576
12,135,135,135,0,0,0,0,135,4,9653,9329,526,25,14.25,94711808
13,135,136,136,0,0,0,0,136,4,10209,9884,507,24,17.81,94781440
14,135,135,135,0,0,0,0,135,5,10766,10438,472,27,15.4,94801920
15,135,135,135,0,0,0,0,135,10,11329,10999,405,30,14.79,94670848
16,135,135,135,0,0,0,0,135,4,11896,11568,388,26,16.46,92356608
17,135,135,135,0,0,0,0,135,4,12454,12124,595,24,19.37,91136000
18,135,135,135,0,0,0,0,135,4,13013,12683,601,27,17.83,91410432
19,135,135,135,0,0,0,0,135,6,13340,13012,588,23,19.37,90279936
20,135,135,135,0,0,0,0,135,4,13637,13308,448,31,18.05,90394624
21,135,135,135,0,0,0,0,135,5,13929,13605,493,22,16.05,90419200
22,135,135,135,0,0,0,0,135,5,0,0,0,0,0,0
23,135,135,135,0,0,0,0,135,4,14234,13907,500,28,13.74,90574848
24,135,134,134,0,0,0,0,134,5,14523,14193,481,20,18.06,91758592
25,135,135,135,0,0,0,0,135,5,14802,14476,410,25,16.38,90533888
26,135,136,136,0,0,0,0,136,5,14900,14573,410,22,19.27,89845760
27,135,135,135,0,0,0,0,135,4,15142,14815,726,26,17.39,91242496
28,135,134,134,0,0,0,0,134,4,15439,15113,668,20,19.18,90898432
29,135,134,134,0,0,0,0,134,5,15665,15341,512,18,19.73,89878528
30,135,137,137,0,0,0,0,137,5,15709,15385,489,22,15.61,94711808
31,135,134,134,0,0,0,0,134,4,15746,15421,511,24,18.19,94801920
32,135,136,136,0,0,0,0,136,5,15787,15464,393,22,19.79,96755712
33,135,134,134,0,0,0,0,134,6,15840,15514,665,20,17.44,97390592
34,135,134,135,0,0,0,0,135,4,15871,15542,557,23,16.46,95502336
35,135,137,136,0,0,0,0,136,5,15924,15597,477,18,16.56,95006720
36,135,135,135,0,0,0,0,135,5,0,0,0,0,0,0
37,135,134,134,0,0,0,0,134,5,15964,15639,476,23,15.4,95043584
38,135,134,134,0,0,0,0,134,4,16001,15677,404,26,18.57,92368896
39,135,136,136,0,0,0,0,136,4,16053,15730,489,23,17.66,90677248
40,135,136,136,0,0,0,0,136,4,15573,15251,434,20,15.77,90554368
41,135,135,135,0,0,0,0,135,4,15608,15283,504,21,17.08,90910720
42,135,135,135,0,0,0,0,135,5,15633,15306,544,21,15.44,90869760
43,135,134,134,0,0,0,0,134,5,15668,15336,438,20,16.82,90607616
44,135,136,136,0,0,0,0,136,6,15703,15375,511,20,18.86,90619904
45,135,134,134,0,0,0,0,134,4,15751,15421,453,17,15.93,90529792
46,135,134,134,0,0,0,0,134,4,15759,15432,427,20,17.42,90669056
47,135,136,136,0,0,0,0,136,4,15798,15475,367,21,17.58,96346112
48,135,128,128,0,0,0,0,128,12,15808,15464,647,35,15.62,95641600
49,135,131,131,0,0,0,0,131,14,0,0,0,0,0,0
50,135,129,129,0,0,0,0,129,23,15842,15469,614,47,18.67,95924224
51,135,135,135,0,0,0,0,135,27,15874,15500,650,61,15.96,96813056
52,135,137,137,0,0,0,0,137,24,15890,15504,659,61,18.39,98320384
53,135,149,149,0,0,0,0,149,18,15441,15073,594,40,17.03,96468992
54,135,137,137,0,0,0,0,137,4,15496,15160,620,23,17.93,96124928
55,135,135,135,0,0,0,0,135,5,15536,15209,417,20,17.97,96186368
56,135,135,135,0,0,0,0,135,5,15567,15241,371,22,17.43,97144832
57,135,134,134,0,0,0,0,134,4,15610,15283,635,20,16.51,96038912
58,135,135,135,0,0,0,0,135,4,15662,15335,584,22,18.91,95879168
59,135,136,136,0,0,0,0,136,4,15710,15376,526,18,17.92,95449088
60,135,135,135,0,0,0,0,135,8,15755,15427,428,19,16.63,95055872
61,135,133,134,0,0,0,0,134,5,15799,15471,418,19,18.8,96530432
62,135,136,135,0,0,0,0,135,4,15833,15509,687,23,16.34,97292288
63,135,136,136,0,0,0,0,136,4,0,0,0,0,0,0
64,135,134,134,0,0,0,0,134,4,15882,15553,682,22,17.24,97128448
65,135,134,134,0,0,0,0,134,12,15913,15582,690,20,16.68,97505280
66,135,131,132,0,0,0,0,132,10,15706,15382,651,23,17.43,97189888
67,135,141,140,0,0,0,0,140,9,15450,15128,563,25,19.37,96804864
68,135,133,133,0,0,0,0,133,11,15496,15169,524,20,15.39,92262400
69,135,135,135,0,0,0,0,135,4,15538,15215,456,23,18.55,91029504
70,135,137,137,0,0,0,0,137,5,15597,15276,409,22,16.15,92606464
71,135,135,135,0,0,0,0,135,5,15642,15321,418,20,17.72,91037696
72,135,135,135,0,0,0,0,135,7,15691,15367,440,22,18.79,92631040
73,135,135,135,0,0,0,0,135,4,15733,15410,400,22,19.35,92573696
74,135,134,134,0,0,0,0,134,4,15780,15454,385,23,17.13,92774400
75,135,136,136,0,0,0,0,136,4,15843,15519,578,21,17.03,91856896
76,135,134,134,0,0,0,0,134,4,0,0,0,0,0,0
77,135,136,136,0,0,0,0,136,5,15885,15566,621,22,15.39,91918336
78,135,135,135,0,0,0,0,135,4,15928,15611,569,23,16.47,92721152
79,135,135,135,0,0,0,0,135,4,16021,15706,480,19,17.27,91238400
80,135,135,135,0,0,0,0,135,5,15582,15257,475,27,21.42,96141312
81,135,134,134,0,0,0,0,134,5,15669,15349,562,29,16.54,96239616
82,135,136,136,0,0,0,0,136,4,15669,15353,403,24,17.42,96964608
83,135,135,135,0,0,0,0,135,4,15670,15353,756,21,17.36,96837632
84,135,135,135,0,0,0,0,135,5,15704,15386,614,22,18.38,96608256
85,135,134,134,0,0,0,0,134,5,15745,15425,681,23,17.06,96399360
86,135,135,135,0,0,0,0,135,4,15783,15462,751,22,18.8,97050624
87,135,135,135,0,0,0,0,135,9,15815,15498,653,20,18.44,97001472
88,135,136,136,0,0,0,0,136,5,15842,15525,571,22,17.52,95567872
89,135,135,135,0,0,0,0,135,4,0,0,0,0,0,0
90,135,133,133,0,0,0,0,133,4,15880,15556,520,19,19.58,91729920
91,135,137,137,0,0,0,0,137,4,15917,15592,594,25,19.35,91947008
92,135,135,135,0,0,0,0,135,4,15971,15650,625,22,18.02,92266496
93,135,134,135,0,0,0,0,135,5,15495,15175,647,23,16.01,93106176
94,135,135,134,0,0,0,0,134,4,15532,15212,665,22,19.38,92966912
95,135,136,136,0,0,0,0,136,5,15584,15267,631,25,18.28,92680192
96,135,135,135,0,0,0,0,135,5,15625,15306,701,20,17.96,93536256
97,135,134,134,0,0,0,0,134,4,15664,15342,641,23,15.96,92094464
98,135,135,135,0,0,0,0,135,5,15691,15373,548,25,17.29,92205056
99,135,135,135,0,0,0,0,135,5,15736,15414,513,25,15.44,96358400
100,135,135,135,0,0,0,0,135,4,15766,15447,439,23,19.94,95690752
101,135,136,136,0,0,0,0,136,5,15816,15494,386,26,17.07,97308672
102,135,135,135,0,0,0,0,135,4,15851,15530,644,20,17.98,96837632
103,135,133,134,0,0,0,0,134,5,0,0,0,0,0,0
104,135,136,135,0,0,0,0,135,5,15887,15570,600,21,15.21,96608256
105,135,136,136,0,0,0,0,136,5,15928,15609,614,22,19.35,96616448
106,135,135,135,0,0,0,0,135,4,15568,15246,634,21,16.3,96542720
107,135,135,135,0,0,0,0,135,7,15503,15182,690,23,15.94,97001472
108,135,135,135,0,0,0,0,135,4,15556,15235,592,24,20.17,92700672
109,135,134,134,0,0,0,0,134,4,15604,15282,474,24,19.12,91627520
110,135,136,136,0,0,0,0,136,4,15647,15322,406,21,19.41,92983296
111,135,133,133,0,0,0,0,133,5,15693,15370,503,24,19.94,91635712
112,135,137,137,0,0,0,0,137,4,15747,15429,510,21,19.46,91586560
113,135,135,135,0,0,0,0,135,4,15779,15461,372,23,14.18,96276480
114,135,134,134,0,0,0,0,134,4,15823,15503,670,24,17.6,98721792
115,135,136,136,0,0,0,0,136,4,15873,15551,514,24,17.21,95903744
116,135,135,135,0,0,0,0,135,4,0,0,0,0,0,0
117,135,134,134,0,0,0,0,134,4,15930,15611,477,24,17.76,95989760
118,135,135,135,0,0,0,0,135,4,15976,15655,397,24,17.47,97435648
119,135,136,136,0,0,0,0,136,6,15723,15402,458,21,20.71,95956992
120,135,135,135,0,0,0,0,135,4,15547,15227,431,21,20.25,96002048
121,135,135,135,0,0,0,0,135,5,15586,15262,449,26,16.65,98107392
122,135,135,135,0,0,0,0,135,5,15625,15303,506,20,15.23,98123776
123,135,134,135,0,0,0,0,135,4,15658,15338,515,20,16.68,92180480
124,135,136,135,0,0,0,0,135,4,15705,15381,593,21,16.63,92426240
125,135,134,135,0,0,0,0,135,4,15751,15430,563,21,17.77,92299264
126,135,136,135,0,0,0,0,135,4,15779,15455,613,20,16.67,92491776
127,135,135,135,0,0,0,0,135,4,15826,15503,689,21,17.62,93241344
128,135,135,135,0,0,0,0,135,13,15865,15544,629,24,17.85,92864512
129,135,135,135,0,0,0,0,135,4,0,0,0,0,0,0
